Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,7.1e-05,15.772772,[ 18 105] ; [42 71],[31.27118644 91.72881356] ; [28.72881356 84.27118644],1
s8,1,0.000106,15.033382,[24 99] ; [48 64],[37.68510638 85.31489362] ; [34.31489362 77.68510638],1
s2,1,0.001068,10.706258,[ 11 112] ; [28 85],[ 20.32627119 102.67372881] ; [18.67372881 94.32627119],0
s7,1,0.002195,9.378864,[26 88] ; [45 62],[36.62443439 77.37556561] ; [34.37556561 72.62443439],0
p10,1,0.010757,6.505045,[95 27] ; [101  11],[102.18803419  19.81196581] ; [93.81196581 18.18803419],0
a1,1,0.022478,5.20843,[  1 122] ; [  7 106],[  4.16949153 118.83050847] ; [  3.83050847 109.16949153],0
n3,1,0.024462,5.061601,[23  4] ; [13 10],[19.44  7.56] ; [16.56  6.44],0
u1,1,0.036752,4.361881,[ 13 110] ; [23 90],[ 18.76271186 104.23728814] ; [17.23728814 95.76271186],0
p9,1,0.040578,4.193561,[97 25] ; [100  12],[102.70940171  19.29059829] ; [94.29059829 17.70940171],0
u2,1,0.047095,3.942008,[19 21] ; [22  9],[23.09859155 16.90140845] ; [17.90140845 13.09859155],0
s4,1,0.057034,3.621602,[ 10 113] ; [18 93],[ 14.71794872 108.28205128] ; [13.28205128 97.71794872],0
a5,1,0.069359,3.29813,[84 39] ; [89 24],[90.16525424 32.83474576] ; [82.83474576 30.16525424],0
p4,1,0.078192,3.102082,[73 49] ; [80 33],[79.42978723 42.57021277] ; [73.57021277 39.42978723],0
n5,1,0.106463,2.605948,[84 39] ; [87 25],[89.50212766 33.49787234] ; [81.49787234 30.50212766],0
v1,1,0.111187,2.537266,[63 59] ; [70 43],[69.04680851 52.95319149] ; [63.95319149 49.04680851],0
d3,1,0.111258,2.536256,[76 45] ; [82 31],[81.7008547 39.2991453] ; [76.2991453 36.7008547],0
p12,1,0.112523,2.518425,[  4 118] ; [  9 103],[  6.77777778 115.22222222] ; [  6.22222222 105.77777778],0
d4,1,0.115139,2.482233,[92 31] ; [94 19],[96.94067797 26.05932203] ; [89.05932203 23.94067797],0
p6,1,0.140095,2.176916,[48 71] ; [56 56],[53.57575758 65.42424242] ; [50.42424242 61.57575758],0
p11,1,0.188297,1.730894,[104  19] ; [88 25],[100.06779661  22.93220339] ; [91.93220339 21.06779661],0
