Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,48.216465,[209  55] ; [43 60],[181.27520436  82.72479564] ; [70.72479564 32.27520436],1
a6,1,0.0,44.07017,[213  51] ; [47 56],[187.02997275  76.97002725] ; [72.97002725 30.02997275],1
a2,1,1.1e-05,19.316026,[ 70 194] ; [ 6 97],[ 54.67029973 209.32970027] ; [21.32970027 81.67029973],1
u1,1,0.000867,11.091891,[ 49 215] ; [ 5 98],[ 38.84468665 225.15531335] ; [15.15531335 87.84468665],1
d5,1,0.00222,9.358445,[220  44] ; [71 32],[209.32970027  54.67029973] ; [81.67029973 21.32970027],0
s5,1,0.006143,7.507763,[ 45 214] ; [30 68],[ 54.41176471 204.58823529] ; [20.58823529 77.41176471],0
d1,1,0.009411,6.743146,[155 109] ; [45 58],[143.86920981 120.13079019] ; [56.13079019 46.86920981],0
b1,1,0.018037,5.592514,[ 88 176] ; [48 55],[ 97.83106267 166.16893733] ; [38.16893733 64.83106267],0
r3,1,0.020027,5.409559,[251  13] ; [90 12],[245.96721311  18.03278689] ; [95.03278689  6.96721311],0
v2,1,0.022249,5.226213,[151 101] ; [46 53],[141.43589744 110.56410256] ; [55.56410256 43.43589744],0
s1,1,0.027352,4.868429,[  3 258] ; [ 5 96],[  5.7679558 255.2320442] ; [ 2.2320442 98.7679558],0
b3,1,0.032435,4.575362,[ 47 110] ; [28 34],[ 53.76712329 103.23287671] ; [21.23287671 40.76712329],0
b2,1,0.032435,4.575362,[ 47 110] ; [28 34],[ 53.76712329 103.23287671] ; [21.23287671 40.76712329],0
b5,1,0.049167,3.869631,[163 101] ; [52 51],[154.65940054 109.34059946] ; [60.34059946 42.65940054],0
v4,1,0.055664,3.662081,[251  12] ; [91 10],[247.1043956  15.8956044] ; [94.8956044  6.1043956],0
r4,1,0.06991,3.285144,[248  16] ; [91 12],[243.85831063  20.14168937] ; [95.14168937  7.85831063],0
u3,1,0.081471,3.035314,[50 31] ; [17 21],[45.60504202 35.39495798] ; [21.39495798 16.60504202],0
p8,1,0.090957,2.857361,[140 117] ; [45 56],[132.80726257 124.19273743] ; [52.19273743 48.80726257],0
d4,1,0.09892,2.722872,[217  47] ; [76 26],[211.3442623  52.6557377] ; [81.6557377 20.3442623],0
s3,1,0.123213,2.375999,[ 54 205] ; [29 73],[ 59.54847645 199.45152355] ; [23.45152355 78.54847645],0
a5,1,0.134811,2.236206,[202  62] ; [71 32],[196.38147139  67.61852861] ; [76.61852861 26.38147139],0
