Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,2e-06,22.844159,[ 7 19] ; [71 21],[17.18644068  8.81355932] ; [60.81355932 31.18644068],1
p8,1,2.2e-05,17.971353,[ 4 22] ; [58 35],[13.54621849 12.45378151] ; [48.45378151 44.54621849],1
p4,1,0.000209,13.748859,[ 9 17] ; [70 25],[16.97520661  9.02479339] ; [62.02479339 32.97520661],1
p3,1,0.001984,9.564058,[ 7 19] ; [58 37],[13.96694215 12.03305785] ; [51.03305785 43.96694215],0
p6,1,0.003816,8.369289,[ 5 21] ; [48 46],[11.48333333 14.51666667] ; [41.51666667 52.48333333],0
n5,1,0.015277,5.884233,[13 13] ; [71 24],[18.04958678  7.95041322] ; [65.95041322 29.04958678],0
a2,1,0.028241,4.813295,[ 2 24] ; [27 68],[ 6.23140496 19.76859504] ; [22.76859504 72.23140496],0
a6,1,0.028681,4.786671,[13 13] ; [69 26],[17.61983471  8.38016529] ; [64.38016529 30.61983471],0
s3,1,0.028931,4.771686,[15 10] ; [76 18],[19.11764706  5.88235294] ; [71.88235294 22.11764706],0
r3,1,0.034921,4.449052,[23  3] ; [91  2],[24.90756303  1.09243697] ; [89.09243697  3.90756303],0
s7,1,0.051329,3.797507,[10 13] ; [61 32],[14.07758621  8.92241379] ; [56.92241379 36.07758621],0
d5,1,0.060372,3.527126,[18  8] ; [81 14],[21.27272727  4.72727273] ; [77.72727273 17.27272727],0
p11,1,0.068899,3.309065,[15 11] ; [72 23],[18.69421488  7.30578512] ; [68.30578512 26.69421488],0
b4,1,0.087118,2.926833,[11 15] ; [58 37],[14.82644628 11.17355372] ; [54.17355372 40.82644628],0
a3,1,0.151151,2.060593,[17  9] ; [75 20],[19.76859504  6.23140496] ; [72.23140496 22.76859504],0
d1,1,0.155429,2.018143,[13 13] ; [62 33],[16.11570248  9.88429752] ; [58.88429752 36.11570248],0
v4,1,0.161811,1.957221,[24  2] ; [92  2],[25.13333333  0.86666667] ; [90.86666667  3.13333333],0
p10,1,0.163527,1.941302,[19  6] ; [82 12],[21.21848739  3.78151261] ; [79.78151261 14.21848739],0
b2,1,0.187324,1.73854,[ 1 14] ; [10 36],[ 2.70491803 12.29508197] ; [ 8.29508197 37.70491803],0
b3,1,0.187324,1.73854,[ 1 14] ; [10 36],[ 2.70491803 12.29508197] ; [ 8.29508197 37.70491803],0
n1,1,0.201134,1.63412,[5 6] ; [ 3 11],[3.52 7.48] ; [4.48 9.52],0
p5,1,0.242448,1.366304,[ 1 25] ; [11 84],[ 2.5785124 23.4214876] ; [ 9.4214876 85.5785124],0
n4,1,0.272942,1.201899,[16 10] ; [69 26],[18.26446281  7.73553719] ; [66.73553719 28.26446281],0
v2,1,0.280338,1.165451,[15 10] ; [44 48],[12.60683761 12.39316239] ; [46.39316239 45.60683761],0
s1,1,0.286842,1.134387,[ 2 23] ; [ 3 91],[ 1.05042017 23.94957983] ; [ 3.94957983 90.05042017],0
r4,1,0.303332,1.059489,[24  2] ; [92  3],[24.92561983  1.07438017] ; [91.07438017  3.92561983],0
a7,1,0.324826,0.969417,[16 10] ; [68 27],[18.04958678  7.95041322] ; [65.95041322 29.04958678],0
p12,1,0.337012,0.921764,[ 3 22] ; [ 6 89],[ 1.875 23.125] ; [ 7.125 87.875],0
u1,1,0.338186,0.917297,[ 4 22] ; [23 72],[ 5.80165289 20.19834711] ; [21.19834711 73.80165289],0
u2,1,0.403755,0.697115,[3 6] ; [10 10],[4.03448276 4.96551724] ; [ 8.96551724 11.03448276],0
n2,1,0.40905,0.681561,[7 4] ; [11  3],[7.92 3.08] ; [10.08  3.92],0
s6,1,0.426113,0.633394,[20  4] ; [83 10],[21.12820513  2.87179487] ; [81.87179487 11.12820513],0
d3,1,0.446336,0.579941,[19  7] ; [76 19],[20.41322314  5.58677686] ; [74.58677686 20.41322314],0
d2,1,0.457555,0.55187,[11 15] ; [48 47],[12.67768595 13.32231405] ; [46.32231405 48.67768595],0
d4,1,0.550688,0.356086,[20  6] ; [78 17],[21.05785124  4.94214876] ; [76.94214876 18.05785124],0
s8,1,0.558198,0.342835,[12 14] ; [50 45],[13.32231405 12.67768595] ; [48.67768595 46.32231405],0
a4,1,0.580029,0.306188,[11 15] ; [46 49],[12.24793388 13.75206612] ; [44.75206612 50.24793388],0
s2,1,0.583846,0.300058,[16  8] ; [68 26],[17.08474576  6.91525424] ; [66.91525424 27.08474576],0
r2,1,0.612971,0.255872,[25  1] ; [93  2],[25.3553719  0.6446281] ; [92.6446281  2.3553719],0
n6,1,0.664128,0.188548,[23  3] ; [80 14],[22.31666667  3.68333333] ; [80.68333333 13.31666667],0
p9,1,0.673548,0.17748,[21  4] ; [82 12],[21.63865546  3.36134454] ; [81.36134454 12.63865546],0
v3,1,0.683714,0.165975,[ 7 18] ; [30 63],[ 7.83898305 17.16101695] ; [29.16101695 63.83898305],0
a8,1,0.687833,0.161441,[ 1 25] ; [ 5 80],[ 1.40540541 24.59459459] ; [ 4.59459459 80.40540541],0
a5,1,0.776551,0.080552,[19  7] ; [72 23],[19.55371901  6.44628099] ; [71.44628099 23.55371901],0
p1,1,0.779504,0.078381,[ 2 24] ; [ 9 86],[ 2.36363636 23.63636364] ; [ 8.63636364 86.36363636],0
n3,1,0.791959,0.069573,[9 2] ; [12  2],[9.24 1.76] ; [11.76  2.24],0
s5,1,0.844887,0.038277,[12 10] ; [47 43],[11.58928571 10.41071429] ; [47.41071429 42.58928571],0
b1,1,0.87967,0.022918,[10 16] ; [35 60],[ 9.66942149 16.33057851] ; [35.33057851 59.66942149],0
u3,1,0.930386,0.007632,[6 3] ; [13  7],[5.89655172 3.10344828] ; [13.10344828  6.89655172],0
