Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,86.249849,[331  83] ; [67 99],[284.08965517 129.91034483] ; [113.91034483  52.08965517],1
d3,1,0.0,66.875225,[328  86] ; [74 92],[286.94482759 127.05517241] ; [115.05517241  50.94482759],1
a2,1,0.0,31.763131,[134 281] ; [ 16 150],[107.14285714 307.85714286] ; [ 42.85714286 123.14285714],1
u1,1,2e-06,23.109901,[103 312] ; [ 12 154],[ 82.14285714 332.85714286] ; [ 32.85714286 133.14285714],1
b5,1,7e-06,20.282182,[274 141] ; [76 90],[250. 165.] ; [100.  66.],1
r4,1,1.7e-05,18.456579,[393  22] ; [139  27],[380.  35.] ; [152.  14.],1
r1,1,0.001011,10.806933,[350  61] ; [122  44],[336.20797227  74.79202773] ; [135.79202773  30.20797227],0
d1,1,0.001423,10.176303,[267 148] ; [83 83],[250. 165.] ; [100.  66.],0
r2,1,0.001815,9.727916,[398  14] ; [147  16],[390.50434783  21.49565217] ; [154.49565217   8.50434783],0
r3,1,0.002156,9.411971,[399  11] ; [152  14],[392.20486111  17.79513889] ; [158.79513889   7.20486111],0
u3,1,0.002998,8.808825,[66 43] ; [15 29],[57.70588235 51.29411765] ; [23.29411765 20.70588235],0
p4,1,0.004881,7.923003,[299 115] ; [100  66],[284.80344828 129.19655172] ; [114.19655172  51.80344828],0
d5,1,0.016416,5.757739,[356  59] ; [128  37],[346.31034483  68.68965517] ; [137.68965517  27.31034483],0
b1,1,0.018512,5.547048,[144 271] ; [75 91],[156.42857143 258.57142857] ; [ 62.57142857 103.42857143],0
v2,1,0.018955,5.505617,[242 156] ; [81 81],[229.56071429 168.43928571] ; [93.43928571 68.56071429],0
v4,1,0.022147,5.2342,[402  11] ; [153  11],[397.25303293  15.74696707] ; [157.74696707   6.25303293],0
d4,1,0.033288,4.530898,[350  65] ; [126  38],[341.17443869  73.82556131] ; [134.82556131  29.17443869],0
n2,1,0.071067,3.258201,[57 11] ; [32 14],[53.0877193 14.9122807] ; [35.9122807 10.0877193],0
p8,1,0.109938,2.555111,[254 151] ; [91 73],[245.56239016 159.43760984] ; [99.43760984 64.56239016],0
s7,1,0.124149,2.364179,[206 186] ; [95 64],[214.1415608 177.8584392] ; [86.8584392 72.1415608],0
a5,1,0.1278,2.319028,[320  95] ; [118  48],[312.85714286 102.14285714] ; [125.14285714  40.85714286],0
s5,1,0.165992,1.918771,[138 259] ; [66 95],[145.13978495 251.86021505] ; [ 58.86021505 102.13978495],0
p1,1,0.211826,1.558903,[ 41 373] ; [ 11 155],[ 37.11724138 376.88275862] ; [ 14.88275862 151.11724138],0
b3,1,0.233477,1.419551,[ 92 152] ; [48 60],[ 97.04545455 146.95454545] ; [42.95454545 65.04545455],0
b2,1,0.233477,1.419551,[ 92 152] ; [48 60],[ 97.04545455 146.95454545] ; [42.95454545 65.04545455],0
s8,1,0.244044,1.357079,[188 222] ; [85 81],[194.32291667 215.67708333] ; [78.67708333 87.32291667],0
n3,1,0.258517,1.27668,[51 17] ; [30 16],[48.31578947 19.68421053] ; [32.68421053 13.31578947],0
a8,1,0.285627,1.140119,[ 63 303] ; [ 21 135],[ 58.89655172 307.10344828] ; [ 25.10344828 130.89655172],0
n6,1,0.305635,1.049445,[380  34] ; [147  18],[376.81865285  37.18134715] ; [150.18134715  14.81865285],0
p3,1,0.31547,1.007633,[231 183] ; [85 81],[225.55862069 188.44137931] ; [90.44137931 75.55862069],0
a1,1,0.322719,0.977895,[ 15 400] ; [  9 157],[ 17.14285714 397.85714286] ; [  6.85714286 159.14285714],0
b4,1,0.32712,0.960267,[241 174] ; [89 77],[235.71428571 179.28571429] ; [94.28571429 71.71428571],0
v1,1,0.381986,0.764302,[248 156] ; [93 69],[243.39929329 160.60070671] ; [97.60070671 64.39929329],0
s2,1,0.38266,0.762139,[226 181] ; [85 80],[221.28846154 185.71153846] ; [89.71153846 75.28846154],0
p12,1,0.417093,0.658493,[ 39 374] ; [ 12 152],[ 36.50433276 376.49566724] ; [ 14.49566724 149.50433276],0
p10,1,0.440155,0.595878,[363  48] ; [141  23],[360.25043478  50.74956522] ; [143.74956522  20.25043478],0
n1,1,0.459908,0.546118,[29 37] ; [17 29],[27.10714286 38.89285714] ; [18.89285714 27.10714286],0
p6,1,0.472146,0.516949,[177 232] ; [66 99],[173.14808362 235.85191638] ; [69.85191638 95.14808362],0
s6,1,0.480937,0.496738,[293 112] ; [111  49],[289.59292035 115.40707965] ; [114.40707965  45.59292035],0
u2,1,0.533149,0.388386,[60 48] ; [22 22],[58.26315789 49.73684211] ; [23.73684211 20.26315789],0
p5,1,0.563306,0.334012,[ 57 356] ; [ 26 140],[ 59.20379965 353.79620035] ; [ 23.79620035 142.20379965],0
s4,1,0.56875,0.324779,[ 66 341] ; [ 30 135],[ 68.30769231 338.69230769] ; [ 27.69230769 137.30769231],0
