Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.008236,6.981433,[53 14] ; [14 13],[47.75531915 19.24468085] ; [19.24468085  7.75531915],0
d2,1,0.0114,6.401805,[18 49] ; [ 1 26],[13.54255319 53.45744681] ; [ 5.45744681 21.54255319],0
r3,1,0.025195,5.010412,[47 19] ; [25  2],[51.09677419 14.90322581] ; [20.90322581  6.09677419],0
u2,1,0.041409,4.1592,[12 25] ; [10  6],[15.35849057 21.64150943] ; [6.64150943 9.35849057],0
p10,1,0.056434,3.639211,[45 20] ; [13 14],[40.97826087 24.02173913] ; [17.02173913  9.97826087],0
n6,1,0.111601,2.531408,[50 16] ; [16 11],[46.83870968 19.16129032] ; [19.16129032  7.83870968],0
v4,1,0.208653,1.580751,[52 15] ; [24  3],[54.17021277 12.82978723] ; [21.82978723  5.17021277],0
b5,1,0.228098,1.45268,[33 34] ; [17 10],[35.63829787 31.36170213] ; [14.36170213 12.63829787],0
p11,1,0.236492,1.401385,[41 26] ; [20  7],[43.4787234 23.5212766] ; [17.5212766  9.4787234],0
a5,1,0.254385,1.29906,[36 31] ; [11 16],[33.5 33.5] ; [13.5 13.5],0
v1,1,0.284013,1.147785,[27 38] ; [ 8 19],[24.72826087 40.27173913] ; [10.27173913 16.72826087],0
s8,1,0.289118,1.123725,[11 56] ; [ 7 20],[12.82978723 54.17021277] ; [ 5.17021277 21.82978723],0
p1,1,0.323009,0.976724,[10 57] ; [ 2 25],[ 8.55319149 58.44680851] ; [ 3.44680851 23.55319149],0
b2,1,0.324198,0.971935,[15 21] ; [8 6],[16.56 19.44] ; [6.44 7.56],0
b3,1,0.324198,0.971935,[15 21] ; [8 6],[16.56 19.44] ; [6.44 7.56],0
s7,1,0.347227,0.883564,[19 47] ; [ 5 21],[17.2173913 48.7826087] ; [ 6.7826087 19.2173913],0
s1,1,0.362571,0.828967,[ 6 59] ; [ 1 26],[ 4.94565217 60.05434783] ; [ 2.05434783 24.94565217],0
p4,1,0.374446,0.788858,[18 48] ; [ 5 22],[16.32258065 49.67741935] ; [ 6.67741935 20.32258065],0
n1,1,0.447006,0.578231,[12 15] ; [2 5],[11.11764706 15.88235294] ; [2.88235294 4.11764706],0
b1,1,0.447585,0.576761,[28 39] ; [ 9 18],[26.37234043 40.62765957] ; [10.62765957 16.37234043],0
r1,1,0.447585,0.576761,[39 28] ; [18  9],[40.62765957 26.37234043] ; [16.37234043 10.62765957],0
d3,1,0.467509,0.527859,[22 45] ; [11 16],[23.5212766 43.4787234] ; [ 9.4787234 17.5212766],0
v2,1,0.495581,0.464387,[18 45] ; [ 9 16],[19.32954545 43.67045455] ; [ 7.67045455 17.32954545],0
a1,1,0.49994,0.455065,[ 5 62] ; [ 1 26],[ 4.27659574 62.72340426] ; [ 1.72340426 25.27659574],0
r4,1,0.511634,0.430723,[45 22] ; [20  7],[46.32978723 20.67021277] ; [18.67021277  8.32978723],0
n2,1,0.545972,0.364583,[21  7] ; [6 1],[21.6  6.4] ; [5.4 1.6],0
s6,1,0.559147,0.341183,[29 38] ; [13 13],[30.25806452 36.74193548] ; [11.74193548 14.25806452],0
s4,1,0.630712,0.231096,[12 55] ; [ 6 21],[12.82978723 54.17021277] ; [ 5.17021277 21.82978723],0
p3,1,0.630712,0.231096,[12 55] ; [ 6 21],[12.82978723 54.17021277] ; [ 5.17021277 21.82978723],0
a3,1,0.634312,0.226258,[30 35] ; [11 16],[28.9673913 36.0326087] ; [12.0326087 14.9673913],0
v3,1,0.655897,0.198545,[17 48] ; [ 8 18],[17.85714286 47.14285714] ; [ 7.14285714 18.85714286],0
n3,1,0.678071,0.172306,[16 11] ; [3 3],[15.54545455 11.45454545] ; [3.45454545 2.54545455],0
p9,1,0.732912,0.116454,[48 17] ; [19  8],[47.33695652 17.66304348] ; [19.66304348  7.33695652],0
b4,1,0.757098,0.095663,[42 25] ; [16 11],[41.34042553 25.65957447] ; [16.65957447 10.34042553],0
p6,1,0.764857,0.089466,[ 6 60] ; [ 3 24],[ 6.38709677 59.61290323] ; [ 2.61290323 24.38709677],0
p8,1,0.780132,0.077923,[19 47] ; [ 7 20],[18.4516129 47.5483871] ; [ 7.5483871 19.4516129],0
u3,1,0.835415,0.043165,[15 22] ; [ 6 10],[14.66037736 22.33962264] ; [6.33962264 9.66037736],0
s3,1,0.881112,0.022368,[25 39] ; [11 16],[25.31868132 38.68131868] ; [10.68131868 16.31868132],0
s2,1,0.886856,0.020245,[21 44] ; [ 8 18],[20.71428571 44.28571429] ; [ 8.28571429 17.71428571],0
a4,1,0.896116,0.017048,[13 53] ; [ 5 22],[12.77419355 53.22580645] ; [ 5.22580645 21.77419355],0
d4,1,0.918208,0.010546,[29 38] ; [12 15],[29.22340426 37.77659574] ; [11.77659574 15.22340426],0
r2,1,0.921448,0.009724,[54 13] ; [22  5],[54.17021277 12.82978723] ; [21.82978723  5.17021277],0
s5,1,0.932246,0.007228,[12 54] ; [ 4 19],[11.86516854 54.13483146] ; [ 4.13483146 18.86516854],0
a8,1,0.94864,0.004149,[ 8 56] ; [ 3 22],[ 7.91011236 56.08988764] ; [ 3.08988764 21.91011236],0
a7,1,0.972892,0.001155,[32 35] ; [13 14],[32.07446809 34.92553191] ; [12.92553191 14.07446809],0
p2,1,0.972892,0.001155,[35 32] ; [14 13],[34.92553191 32.07446809] ; [14.07446809 12.92553191],0
a6,1,0.972892,0.001155,[35 32] ; [14 13],[34.92553191 32.07446809] ; [14.07446809 12.92553191],0
