Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,2.9e-05,17.488061,[ 37 120] ; [31 27],[ 49.65581395 107.34418605] ; [18.34418605 39.65581395],1
p5,1,0.000243,13.461587,[  6 152] ; [11 47],[ 12.43518519 145.56481481] ; [ 4.56481481 53.43518519],1
d4,1,0.000294,13.108617,[119  40] ; [57  2],[128.36697248  30.63302752] ; [47.63302752 11.36697248],1
s3,1,0.00395,8.30648,[ 50 107] ; [30 26],[58.96713615 98.03286385] ; [21.03286385 34.96713615],0
s6,1,0.006421,7.428249,[76 82] ; [40 18],[84.85185185 73.14814815] ; [31.14814815 26.85185185],0
s8,1,0.010196,6.600406,[ 26 133] ; [19 40],[ 32.82110092 126.17889908] ; [12.17889908 46.82110092],0
d5,1,0.010996,6.466033,[121  38] ; [54  5],[127.63761468  31.36238532] ; [47.36238532 11.63761468],0
p10,1,0.011233,6.428042,[119  38] ; [53  5],[125.6  31.4] ; [46.4 11.6],0
d1,1,0.014763,5.944499,[84 75] ; [42 17],[91.89908257 67.10091743] ; [34.10091743 24.89908257],0
b3,1,0.019839,5.42602,[32 61] ; [19 14],[37.64285714 55.35714286] ; [13.35714286 19.64285714],0
b2,1,0.019839,5.42602,[32 61] ; [19 14],[37.64285714 55.35714286] ; [13.35714286 19.64285714],0
d2,1,0.068925,3.308431,[63 96] ; [31 27],[68.87557604 90.12442396] ; [25.12442396 32.87557604],0
b4,1,0.070729,3.266028,[89 70] ; [41 18],[94.81651376 64.18348624] ; [35.18348624 23.81651376],0
s4,1,0.074328,3.18475,[ 14 144] ; [10 47],[ 17.6372093 140.3627907] ; [ 6.3627907 50.6372093],0
r2,1,0.083757,2.990442,[144  13] ; [57  1],[146.77674419  10.22325581] ; [54.22325581  3.77674419],0
r4,1,0.084065,2.984499,[134  25] ; [55  4],[137.84862385  21.15137615] ; [51.15137615  7.84862385],0
a4,1,0.091038,2.855927,[65 92] ; [32 27],[70.50462963 86.49537037] ; [26.49537037 32.50462963],0
a5,1,0.125711,2.344687,[110  49] ; [47 12],[114.50917431  44.49082569] ; [42.49082569 16.50917431],0
v4,1,0.136374,2.218399,[147  11] ; [57  1],[149.22222222   8.77777778] ; [54.77777778  3.22222222],0
a7,1,0.141156,2.165308,[117  40] ; [38 21],[112.66203704  44.33796296] ; [42.33796296 16.66203704],0
p12,1,0.162323,1.95245,[  8 150] ; [ 6 52],[ 10.24074074 147.75925926] ; [ 3.75925926 54.24074074],0
p9,1,0.169947,1.883407,[129  29] ; [51  6],[132.27906977  25.72093023] ; [47.72093023  9.27906977],0
p8,1,0.183502,1.769032,[75 80] ; [34 24],[79.31924883 75.68075117] ; [29.68075117 28.31924883],0
v2,1,0.20363,1.616148,[102  51] ; [32 24],[98.09569378 54.90430622] ; [35.90430622 20.09569378],0
a1,1,0.230695,1.436572,[  5 154] ; [ 4 55],[  6.56422018 152.43577982] ; [ 2.43577982 56.56422018],0
p1,1,0.238445,1.389763,[ 11 148] ; [ 7 52],[ 13.12844037 145.87155963] ; [ 4.87155963 54.12844037],0
n6,1,0.238752,1.387949,[125  33] ; [50  8],[128.00925926  29.99074074] ; [46.99074074 11.00925926],0
a2,1,0.240293,1.378876,[ 29 130] ; [15 44],[ 32.09174312 126.90825688] ; [11.90825688 47.09174312],0
b1,1,0.248145,1.333719,[62 97] ; [18 41],[ 58.34862385 100.65137615] ; [21.65137615 37.34862385],0
b5,1,0.251058,1.317406,[105  54] ; [34 25],[101.38073394  57.61926606] ; [37.61926606 21.38073394],0
u1,1,0.2698,1.217765,[ 18 141] ; [10 49],[ 20.42201835 138.57798165] ; [ 7.57798165 51.42201835],0
p6,1,0.320019,0.98887,[ 44 110] ; [20 36],[ 46.93333333 107.06666667] ; [17.06666667 38.93333333],0
p3,1,0.328459,0.954965,[69 87] ; [30 28],[72.1682243 83.8317757] ; [26.8317757 31.1682243],0
n3,1,0.394605,0.724706,[28  6] ; [7 3],[27.04545455  6.95454545] ; [7.95454545 2.04545455],0
a3,1,0.40388,0.696745,[103  55] ; [42 17],[105.57603687  52.42396313] ; [39.42396313 19.57603687],0
a8,1,0.428433,0.627067,[ 12 130] ; [ 7 51],[ 13.49 128.51] ; [ 5.51 52.49],0
u3,1,0.4946,0.466504,[31 25] ; [11  6],[32.21917808 23.78082192] ; [9.78082192 7.21917808],0
d3,1,0.502193,0.450298,[100  59] ; [40 19],[102.11009174  56.88990826] ; [37.88990826 21.11009174],0
a6,1,0.547826,0.361226,[104  55] ; [36 23],[102.11009174  56.88990826] ; [37.88990826 21.11009174],0
p7,1,0.548718,0.359619,[94 60] ; [38 20],[95.88679245 58.11320755] ; [36.11320755 21.88679245],0
u2,1,0.567799,0.326379,[27 28] ; [ 7 10],[25.97222222 29.02777778] ; [8.02777778 8.97222222],0
r1,1,0.627193,0.235886,[123  34] ; [48 11],[124.29166667  32.70833333] ; [46.70833333 12.29166667],0
n1,1,0.634153,0.226471,[13 21] ; [3 7],[12.36363636 21.63636364] ; [3.63636364 6.36363636],0
p11,1,0.668881,0.182914,[128  31] ; [49 10],[129.09633028  29.90366972] ; [47.90366972 11.09633028],0
v3,1,0.702724,0.145654,[60 91] ; [21 36],[58.80288462 92.19711538] ; [22.19711538 34.80288462],0
s1,1,0.717677,0.130729,[  4 152] ; [ 1 57],[  3.64485981 152.35514019] ; [ 1.35514019 56.64485981],0
p2,1,0.727348,0.121561,[133  24] ; [48 10],[132.17209302  24.82790698] ; [48.82790698  9.17209302],0
n5,1,0.801781,0.063023,[120  38] ; [45 13],[120.69444444  37.30555556] ; [44.30555556 13.69444444],0
n2,1,0.814896,0.05481,[26  8] ; [8 2],[26.27272727  7.72727273] ; [7.72727273 2.27272727],0
n4,1,0.937244,0.006199,[117  41] ; [44 15],[117.22580645  40.77419355] ; [43.77419355 15.22580645],0
p4,1,0.940573,0.005558,[89 69] ; [33 25],[89.24074074 68.75925926] ; [32.75925926 25.24074074],0
r3,1,0.953429,0.003411,[146  11] ; [55  4],[146.09722222  10.90277778] ; [54.90277778  4.09722222],0
