Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,5e-06,20.81963,[4 5] ; [88  6],[8.03883495 0.96116505] ; [83.96116505 10.03883495],1
r2,1,7.2e-05,15.767124,[5 4] ; [89  5],[8.21359223 0.78640777] ; [85.78640777  8.21359223],1
s8,1,0.010205,6.598805,[1 8] ; [52 41],[4.67647059 4.32352941] ; [48.32352941 44.67647059],0
v4,1,0.01222,6.278735,[6 3] ; [87  7],[8.12621359 0.87378641] ; [84.87378641  9.12621359],0
p8,1,0.036158,4.389624,[5 4] ; [22 72],[2.3592233 6.6407767] ; [24.6407767 69.3592233],0
s3,1,0.05883,3.570059,[2 5] ; [60 33],[4.34 2.66] ; [57.66 35.34],0
p10,1,0.066044,3.378707,[3 6] ; [60 33],[5.55882353 3.44117647] ; [57.44117647 35.55882353],0
p3,1,0.089339,2.886248,[1 8] ; [37 56],[3.35294118 5.64705882] ; [34.64705882 58.35294118],0
v2,1,0.10372,2.647388,[3 6] ; [54 34],[5.28865979 3.71134021] ; [51.71134021 36.28865979],0
r1,1,0.116272,2.466838,[5 4] ; [74 20],[6.90291262 2.09708738] ; [72.09708738 21.90291262],0
p9,1,0.119175,2.428124,[4 5] ; [65 28],[6.08823529 2.91176471] ; [62.91176471 30.08823529],0
p1,1,0.133733,2.248622,[2 7] ; [ 7 87],[0.78640777 8.21359223] ; [ 8.21359223 85.78640777],0
s1,1,0.14193,2.156907,[2 7] ; [ 7 85],[0.8019802 8.1980198] ; [ 8.1980198 83.8019802],0
s2,1,0.182837,1.774411,[4 5] ; [62 31],[5.82352941 3.17647059] ; [60.17647059 32.82352941],0
d5,1,0.208399,1.582513,[5 4] ; [69 23],[6.59405941 2.40594059] ; [67.40594059 24.59405941],0
s5,1,0.220225,1.502902,[2 7] ; [39 51],[3.72727273 5.27272727] ; [37.27272727 52.72727273],0
n1,1,0.222423,1.488668,[3 1] ; [11 15],[1.86666667 2.13333333] ; [12.13333333 13.86666667],0
p11,1,0.224521,1.475238,[4 5] ; [61 33],[5.67961165 3.32038835] ; [59.32038835 34.67961165],0
p4,1,0.239609,1.382894,[2 7] ; [39 53],[3.65346535 5.34653465] ; [37.34653465 54.65346535],0
v1,1,0.294507,1.098901,[6 3] ; [44 47],[4.5 4.5] ; [45.5 45.5],0
d2,1,0.309296,1.033679,[3 6] ; [47 45],[4.45544554 4.54455446] ; [45.54455446 46.45544554],0
b1,1,0.309469,1.032942,[6 3] ; [46 48],[4.54368932 4.45631068] ; [47.45631068 46.54368932],0
p5,1,0.315096,1.009196,[2 7] ; [10 82],[1.06930693 7.93069307] ; [10.93069307 81.06930693],0
b3,1,0.31735,0.999837,[1 5] ; [23 39],[2.11764706 3.88235294] ; [21.88235294 40.11764706],0
b2,1,0.31735,0.999837,[1 5] ; [23 39],[2.11764706 3.88235294] ; [21.88235294 40.11764706],0
b4,1,0.339666,0.911691,[7 2] ; [58 36],[5.67961165 3.32038835] ; [59.32038835 34.67961165],0
u2,1,0.392945,0.729809,[1 2] ; [20 14],[1.7027027 1.2972973] ; [19.2972973 14.7027027],0
a5,1,0.403784,0.697029,[5 4] ; [65 29],[6.11650485 2.88349515] ; [63.88349515 30.11650485],0
a6,1,0.409236,0.681018,[4 5] ; [54 38],[5.16831683 3.83168317] ; [52.83168317 39.16831683],0
b5,1,0.435627,0.607775,[7 2] ; [61 33],[5.94174757 3.05825243] ; [62.05825243 31.94174757],0
p7,1,0.450526,0.569328,[2 6] ; [35 56],[2.98989899 5.01010101] ; [34.01010101 56.98989899],0
s7,1,0.476629,0.506567,[4 5] ; [50 38],[5.01030928 3.98969072] ; [48.98969072 39.01030928],0
v3,1,0.489832,0.476896,[3 6] ; [39 47],[3.97894737 5.02105263] ; [38.02105263 47.97894737],0
p6,1,0.496277,0.46289,[2 7] ; [31 62],[2.91176471 6.08823529] ; [30.08823529 62.91176471],0
n3,1,0.515579,0.422727,[2 2] ; [18  9],[2.58064516 1.41935484] ; [17.41935484  9.58064516],0
a3,1,0.525644,0.402805,[6 2] ; [60 34],[5.17647059 2.82352941] ; [60.82352941 33.17647059],0
d4,1,0.531987,0.390595,[6 3] ; [70 22],[6.77227723 2.22772277] ; [69.22772277 22.77227723],0
d1,1,0.615695,0.251965,[4 5] ; [50 44],[4.7184466 4.2815534] ; [49.2815534 44.7184466],0
a4,1,0.683081,0.166678,[4 4] ; [40 54],[3.45098039 4.54901961] ; [40.54901961 53.45098039],0
a1,1,0.69479,0.153949,[1 8] ; [ 7 87],[0.69902913 8.30097087] ; [ 7.30097087 86.69902913],0
s4,1,0.748197,0.103053,[3 6] ; [26 66],[2.58415842 6.41584158] ; [26.41584158 65.58415842],0
n6,1,0.771746,0.084153,[7 2] ; [76 17],[7.32352941 1.67647059] ; [75.67647059 17.32352941],0
d3,1,0.805326,0.060742,[5 4] ; [55 37],[5.34653465 3.65346535] ; [54.65346535 37.34653465],0
a7,1,0.816782,0.053678,[6 3] ; [59 35],[5.67961165 3.32038835] ; [59.32038835 34.67961165],0
a2,1,0.886334,0.020433,[2 7] ; [19 75],[1.83495146 7.16504854] ; [19.16504854 74.83495146],0
n2,1,0.901312,0.015377,[3 1] ; [21  6],[3.09677419 0.90322581] ; [20.90322581  6.09677419],0
u3,1,0.94563,0.004651,[2 1] ; [22 12],[1.94594595 1.05405405] ; [22.05405405 11.94594595],0
n5,1,0.96577,0.001842,[6 3] ; [62 32],[5.94174757 3.05825243] ; [62.05825243 31.94174757],0
n4,1,0.982758,0.000467,[6 3] ; [63 31],[6.02912621 2.97087379] ; [62.97087379 31.02912621],0
