Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,5.9e-05,16.1326,[69  8] ; [4 6],[64.6091954 12.3908046] ; [8.3908046 1.6091954],1
v4,1,0.000378,12.638866,[72  4] ; [6 4],[68.93023256  7.06976744] ; [9.06976744 0.93023256],1
p11,1,0.000545,11.956159,[62 15] ; [3 7],[57.52873563 19.47126437] ; [7.47126437 2.52873563],1
v2,1,0.000956,10.91027,[48 26] ; [1 9],[43.16666667 30.83333333] ; [5.83333333 4.16666667],1
r1,1,0.003109,8.742497,[63 14] ; [4 6],[59.29885057 17.70114943] ; [7.70114943 2.29885057],0
n6,1,0.02365,5.120106,[62 14] ; [5 5],[59.20930233 16.79069767] ; [7.79069767 2.20930233],0
p10,1,0.048345,3.897941,[59 16] ; [5 5],[56.47058824 18.52941176] ; [7.52941176 2.47058824],0
s8,1,0.058279,3.585691,[31 45] ; [1 9],[28.27906977 47.72093023] ; [3.72093023 6.27906977],0
p9,1,0.114826,2.486515,[62 14] ; [6 4],[60.09302326 15.90697674] ; [7.90697674 2.09302326],0
p2,1,0.121014,2.404142,[56 20] ; [5 5],[53.90697674 22.09302326] ; [7.09302326 2.90697674],0
n4,1,0.139657,2.181732,[56 21] ; [5 5],[53.98850575 23.01149425] ; [7.01149425 2.98850575],0
s1,1,0.149661,2.075702,[ 5 70] ; [2 8],[ 6.17647059 68.82352941] ; [0.82352941 9.17647059],0
p4,1,0.178445,1.810526,[40 36] ; [3 7],[38. 38.] ; [5. 5.],0
b5,1,0.203783,1.61505,[47 30] ; [4 6],[45.13793103 31.86206897] ; [5.86206897 4.13793103],0
s3,1,0.208912,1.578947,[46 30] ; [3 5],[44.33333333 31.66666667] ; [4.66666667 3.33333333],0
n5,1,0.212771,1.552471,[60 17] ; [6 4],[58.4137931 18.5862069] ; [7.5862069 2.4137931],0
r2,1,0.215381,1.534885,[70  6] ; [8 2],[68.93023256  7.06976744] ; [9.06976744 0.93023256],0
s7,1,0.251082,1.317274,[36 37] ; [3 7],[34.30120482 38.69879518] ; [4.69879518 5.30120482],0
b2,1,0.265375,1.240496,[24 32] ; [4 2],[25.29032258 30.70967742] ; [2.70967742 3.29032258],0
b3,1,0.265375,1.240496,[24 32] ; [4 2],[25.29032258 30.70967742] ; [2.70967742 3.29032258],0
d3,1,0.281221,1.161182,[37 40] ; [3 7],[35.40229885 41.59770115] ; [4.59770115 5.40229885],0
a5,1,0.305128,1.051648,[44 33] ; [4 6],[42.48275862 34.51724138] ; [5.51724138 4.48275862],0
b4,1,0.316251,1.004389,[41 36] ; [7 3],[42.48275862 34.51724138] ; [5.51724138 4.48275862],0
a4,1,0.317294,1.00007,[20 56] ; [1 8],[18.77647059 57.22352941] ; [2.22352941 6.77647059],0
u3,1,0.334679,0.930709,[18 11] ; [1 2],[17.21875 11.78125] ; [1.78125 1.21875],0
a3,1,0.361316,0.833313,[48 29] ; [7 2],[49.24418605 27.75581395] ; [5.75581395 3.24418605],0
b1,1,0.386005,0.751489,[35 42] ; [6 4],[36.28735632 40.71264368] ; [4.71264368 5.28735632],0
d4,1,0.386005,0.751489,[42 35] ; [4 6],[40.71264368 36.28735632] ; [5.28735632 4.71264368],0
n1,1,0.410117,0.678462,[5 8] ; [3 2],[5.77777778 7.22222222] ; [2.22222222 2.77777778],0
p6,1,0.471924,0.517468,[23 51] ; [2 8],[22.02380952 51.97619048] ; [2.97619048 7.02380952],0
s6,1,0.491967,0.472222,[46 29] ; [5 5],[45. 30.] ; [6. 4.],0
p7,1,0.491967,0.472222,[46 29] ; [5 5],[45. 30.] ; [6. 4.],0
a1,1,0.53907,0.377266,[ 4 73] ; [1 9],[ 4.42528736 72.57471264] ; [0.57471264 9.42528736],0
p3,1,0.562498,0.335398,[30 46] ; [3 7],[29.1627907 46.8372093] ; [3.8372093 6.1627907],0
p8,1,0.579012,0.307834,[38 37] ; [6 4],[38.82352941 36.17647059] ; [5.17647059 4.82352941],0
a6,1,0.668333,0.183558,[44 33] ; [5 5],[43.36781609 33.63218391] ; [5.63218391 4.36781609],0
p5,1,0.690555,0.158486,[11 64] ; [1 9],[10.58823529 64.41176471] ; [1.41176471 8.58823529],0
s5,1,0.816482,0.053857,[17 56] ; [2 8],[16.71084337 56.28915663] ; [2.28915663 7.71084337],0
p1,1,0.820601,0.051426,[13 63] ; [2 8],[13.25581395 62.74418605] ; [1.74418605 8.25581395],0
s2,1,0.872393,0.025799,[35 39] ; [5 5],[35.23809524 38.76190476] ; [4.76190476 5.23809524],0
a7,1,0.94949,0.004013,[47 30] ; [6 4],[46.90804598 30.09195402] ; [6.09195402 3.90804598],0
v3,1,0.987427,0.000248,[31 46] ; [4 6],[30.97701149 46.02298851] ; [4.02298851 5.97701149],0
