Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,5.8e-05,16.165675,[ 6 21] ; [13  2],[12.21428571 14.78571429] ; [6.78571429 8.21428571],1
p8,1,0.000388,12.589456,[ 2 25] ; [9 7],[ 6.90697674 20.09302326] ; [ 4.09302326 11.90697674],1
p2,1,0.002927,8.852381,[ 8 20] ; [12  4],[12.72727273 15.27272727] ; [7.27272727 8.72727273],0
u3,1,0.005012,7.875,[ 1 11] ; [6 3],[4. 8.] ; [3. 6.],0
p11,1,0.006442,7.422194,[ 6 22] ; [10  6],[10.18181818 17.81818182] ; [ 5.81818182 10.18181818],0
v4,1,0.007162,7.231845,[11 17] ; [13  3],[15.27272727 12.72727273] ; [8.72727273 7.27272727],0
v1,1,0.008533,6.918027,[ 5 23] ; [9 7],[ 8.90909091 19.09090909] ; [ 5.09090909 10.90909091],0
r2,1,0.013776,6.066667,[13 13] ; [14  2],[16.71428571  9.28571429] ; [10.28571429  5.71428571],0
p6,1,0.014243,6.007771,[ 2 25] ; [ 6 10],[ 5.02325581 21.97674419] ; [ 2.97674419 13.02325581],0
p4,1,0.019075,5.494581,[ 6 22] ; [9 7],[ 9.54545455 18.45454545] ; [ 5.45454545 10.54545455],0
s2,1,0.029913,4.714286,[ 4 24] ; [7 9],[ 7. 21.] ; [ 4. 12.],0
s8,1,0.031203,4.641758,[ 1 27] ; [ 4 12],[ 3.18181818 24.81818182] ; [ 1.81818182 14.18181818],0
n2,1,0.087375,2.922078,[2 9] ; [4 3],[3.66666667 7.33333333] ; [2.33333333 4.66666667],0
s5,1,0.100936,2.690699,[ 3 24] ; [ 5 11],[ 5.02325581 21.97674419] ; [ 2.97674419 13.02325581],0
p7,1,0.109369,2.563316,[ 8 20] ; [8 7],[10.41860465 17.58139535] ; [5.58139535 9.41860465],0
u2,1,0.130134,2.290909,[4 8] ; [6 3],[5.71428571 6.28571429] ; [4.28571429 4.71428571],0
a6,1,0.138069,2.199349,[17 11] ; [ 6 10],[14.63636364 13.36363636] ; [8.36363636 7.63636364],0
a1,1,0.185444,1.753447,[ 6 22] ; [ 1 15],[ 4.45454545 23.54545455] ; [ 2.54545455 13.45454545],0
d3,1,0.185867,1.750075,[10 18] ; [9 7],[12.09090909 15.90909091] ; [6.90909091 9.09090909],0
n6,1,0.220095,1.503751,[10 17] ; [9 7],[11.93023256 15.06976744] ; [7.06976744 8.93023256],0
s3,1,0.2217,1.493333,[ 6 21] ; [6 9],[ 7.71428571 19.28571429] ; [ 4.28571429 10.71428571],0
s7,1,0.223654,1.480769,[ 4 22] ; [ 5 11],[ 5.57142857 20.42857143] ; [ 3.42857143 12.57142857],0
a4,1,0.295177,1.095855,[11 16] ; [ 4 12],[ 9.41860465 17.58139535] ; [ 5.58139535 10.41860465],0
p3,1,0.307841,1.039916,[ 5 23] ; [ 5 11],[ 6.36363636 21.63636364] ; [ 3.63636364 12.36363636],0
d2,1,0.361757,0.831783,[14 13] ; [ 6 10],[12.55813953 14.44186047] ; [7.44186047 8.55813953],0
