Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.014423,5.985583,[12 10] ; [37 94],[ 7.04575163 14.95424837] ; [41.95424837 89.04575163],0
s6,1,0.015457,5.863584,[15  7] ; [53 78],[ 9.77777778 12.22222222] ; [58.22222222 72.77777778],0
n4,1,0.026012,4.955254,[10 12] ; [92 40],[14.57142857  7.42857143] ; [87.42857143 44.57142857],0
s3,1,0.032473,4.57337,[14  7] ; [55 77],[ 9.47058824 11.52941176] ; [59.52941176 72.47058824],0
a6,1,0.036505,4.373345,[ 9 13] ; [85 47],[13.42857143  8.57142857] ; [80.57142857 51.42857143],0
v2,1,0.055048,3.68062,[ 5 17] ; [57 71],[ 9.09333333 12.90666667] ; [52.90666667 75.09333333],0
p4,1,0.055215,3.675568,[13  9] ; [49 82],[ 8.91503268 13.08496732] ; [53.08496732 77.91503268],0
u3,1,0.099314,2.71652,[8 2] ; [28 26],[5.625 4.375] ; [30.375 23.625],0
n3,1,0.109463,2.561953,[8 2] ; [23 21],[5.74074074 4.25925926] ; [25.25925926 18.74074074],0
p2,1,0.110612,2.545455,[16  6] ; [72 60],[12.57142857  9.42857143] ; [75.42857143 56.57142857],0
r1,1,0.120038,2.416824,[14  8] ; [104  28],[16.85714286  5.14285714] ; [101.14285714  30.85714286],0
s2,1,0.121864,2.393197,[10 11] ; [40 91],[ 6.90789474 14.09210526] ; [43.09210526 87.90789474],0
r4,1,0.139727,2.18096,[15  7] ; [108  24],[17.57142857  4.42857143] ; [105.42857143  26.57142857],0
s7,1,0.145948,2.1141,[ 9 11] ; [36 89],[ 6.20689655 13.79310345] ; [38.79310345 86.20689655],0
b4,1,0.27734,1.180077,[16  6] ; [80 52],[13.71428571  8.28571429] ; [82.28571429 49.71428571],0
p11,1,0.292305,1.108973,[ 9 13] ; [70 62],[11.28571429 10.71428571] ; [67.71428571 64.28571429],0
d4,1,0.32199,0.980847,[14  8] ; [96 34],[15.92105263  6.07894737] ; [94.07894737 35.92105263],0
a2,1,0.326433,0.962997,[ 2 20] ; [ 23 109],[ 3.57142857 18.42857143] ; [ 21.42857143 110.57142857],0
b1,1,0.354985,0.855556,[10 12] ; [74 58],[12. 10.] ; [72. 60.],0
b5,1,0.389794,0.739585,[14  8] ; [71 61],[12.14285714  9.85714286] ; [72.85714286 59.14285714],0
n5,1,0.424112,0.638894,[11 11] ; [78 54],[12.71428571  9.28571429] ; [76.28571429 55.71428571],0
r3,1,0.442251,0.590436,[18  4] ; [115  16],[19.12418301  2.87581699] ; [113.87581699  17.12418301],0
a5,1,0.456652,0.554089,[12 10] ; [83 49],[13.57142857  8.42857143] ; [81.42857143 50.57142857],0
n6,1,0.514599,0.424705,[16  6] ; [86 45],[14.66666667  7.33333333] ; [87.33333333 43.66666667],0
p1,1,0.534101,0.386583,[ 1 21] ; [ 11 120],[ 1.7254902 20.2745098] ; [ 10.2745098 120.7254902],0
p7,1,0.555357,0.347806,[ 9 13] ; [62 68],[10.27631579 11.72368421] ; [60.72368421 69.27631579],0
d5,1,0.557439,0.344158,[17  5] ; [94 38],[15.85714286  6.14285714] ; [95.14285714 36.85714286],0
v3,1,0.55924,0.341021,[ 6 16] ; [43 85],[ 7.18666667 14.81333333] ; [41.81333333 86.18666667],0
u2,1,0.562244,0.335833,[4 6] ; [26 26],[4.83870968 5.16129032] ; [25.16129032 26.83870968],0
v4,1,0.595641,0.281621,[19  2] ; [113  18],[18.23684211  2.76315789] ; [113.76315789  17.23684211],0
a4,1,0.597344,0.279021,[ 7 15] ; [49 81],[ 8.10526316 13.89473684] ; [47.89473684 82.10526316],0
p8,1,0.621014,0.244444,[ 8 14] ; [41 91],[ 7. 15.] ; [42. 90.],0
s5,1,0.625594,0.238083,[ 5 16] ; [ 25 105],[ 4.17218543 16.82781457] ; [ 25.82781457 104.17218543],0
d3,1,0.639518,0.219373,[14  8] ; [77 55],[13.  9.] ; [78. 54.],0
d2,1,0.644747,0.212587,[10 12] ; [66 64],[11. 11.] ; [65. 65.],0
s8,1,0.654639,0.200101,[ 6 16] ; [ 30 101],[ 5.17647059 16.82352941] ; [ 30.82352941 100.17647059],0
n2,1,0.677336,0.17314,[7 3] ; [29 17],[6.42857143 3.57142857] ; [29.57142857 16.42857143],0
a1,1,0.688773,0.160417,[ 1 21] ; [  9 123],[ 1.42857143 20.57142857] ; [  8.57142857 123.42857143],0
a3,1,0.688773,0.160417,[12 10] ; [78 54],[12.85714286  9.14285714] ; [77.14285714 54.85714286],0
p10,1,0.733612,0.115821,[ 5 17] ; [34 96],[ 5.64473684 16.35526316] ; [33.35526316 96.64473684],0
s1,1,0.821995,0.050616,[ 2 20] ; [ 10 120],[ 1.73684211 20.26315789] ; [ 10.26315789 119.73684211],0
p6,1,0.907811,0.01341,[ 4 18] ; [ 25 105],[ 4.19736842 17.80263158] ; [ 24.80263158 105.19736842],0
n1,1,0.936359,0.006375,[4 6] ; [17 27],[3.88888889 6.11111111] ; [17.11111111 26.88888889],0
v1,1,0.945263,0.004714,[ 8 14] ; [47 85],[ 7.85714286 14.14285714] ; [47.14285714 84.85714286],0
d1,1,0.947381,0.004355,[10 12] ; [61 71],[10.14285714 11.85714286] ; [60.85714286 71.14285714],0
a7,1,0.964954,0.00193,[14  8] ; [84 47],[14.09150327  7.90849673] ; [83.90849673 47.09150327],0
u1,1,1.0,0.0,[ 3 19] ; [ 18 114],[ 3. 19.] ; [ 18. 114.],0
