Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,6e-06,20.359186,[300  50] ; [32 21],[288.33746898  61.66253102] ; [43.66253102  9.33746898],1
s6,1,7.4e-05,15.695427,[308  36] ; [37 16],[298.94206549  45.05793451] ; [46.05793451  6.94206549],1
s7,1,0.000183,14.000467,[245  93] ; [22 26],[233.79792746 104.20207254] ; [33.20207254 14.79792746],1
r2,1,0.000519,12.046389,[337  10] ; [46  7],[332.2525  14.7475] ; [50.7475  2.2525],1
p11,1,0.001131,10.600101,[282  69] ; [32 21],[272.80693069  78.19306931] ; [41.19306931 11.80693069],0
p9,1,0.005487,7.711387,[311  34] ; [40 12],[305.02518892  39.97481108] ; [45.97481108  6.02518892],0
n1,1,0.005711,7.639199,[34 36] ; [ 2 15],[28.96551724 41.03448276] ; [7.03448276 9.96551724],0
r4,1,0.015967,5.806526,[326  25] ; [44  9],[321.46039604  29.53960396] ; [48.53960396  4.46039604],0
p12,1,0.018309,5.5663,[ 46 302] ; [ 1 51],[ 40.89 307.11] ; [ 6.11 45.89],0
n3,1,0.037369,4.333515,[52 19] ; [8 9],[48.40909091 22.59090909] ; [11.59090909  5.40909091],0
s8,1,0.040699,4.188509,[223 127] ; [26 27],[216.25310174 133.74689826] ; [32.74689826 20.25310174],0
v4,1,0.056051,3.650535,[341   9] ; [49  4],[338.70967742  11.29032258] ; [51.29032258  1.70967742],0
u2,1,0.077845,3.109332,[53 20] ; [8 8],[50.03370787 22.96629213] ; [10.96629213  5.03370787],0
p2,1,0.0905,2.865461,[300  49] ; [40 12],[295.91022444  53.08977556] ; [44.08977556  7.91022444],0
s5,1,0.103463,2.651339,[167 163] ; [20 32],[161.54450262 168.45549738] ; [25.45549738 26.54450262],0
s4,1,0.14729,2.100097,[ 85 262] ; [ 8 44],[ 80.87969925 266.12030075] ; [12.12030075 39.87969925],0
a3,1,0.155182,2.020561,[275  75] ; [37 16],[270.96774194  79.03225806] ; [41.03225806 11.96774194],0
n4,1,0.167392,1.906148,[280  70] ; [38 15],[276.17866005  73.82133995] ; [41.82133995 11.17866005],0
a1,1,0.176996,1.822671,[ 22 329] ; [ 6 47],[ 24.32673267 326.67326733] ; [ 3.67326733 49.32673267],0
n5,1,0.178056,1.813779,[272  76] ; [37 16],[268.159601  79.840399] ; [40.840399 12.159601],0
r3,1,0.221079,1.497354,[339   9] ; [50  3],[337.58603491  10.41396509] ; [51.41396509  1.58603491],0
p7,1,0.277901,1.177328,[226 110] ; [31 21],[222.55670103 113.44329897] ; [34.44329897 17.55670103],0
a2,1,0.294576,1.098587,[104 247] ; [12 41],[100.78217822 250.21782178] ; [15.21782178 37.78217822],0
d1,1,0.297109,1.087127,[256  95] ; [35 18],[252.82425743  98.17574257] ; [38.17574257 14.82425743],0
p10,1,0.303065,1.060659,[299  48] ; [42 10],[296.55889724  50.44110276] ; [44.44110276  7.55889724],0
u3,1,0.338306,0.91684,[55 19] ; [10  6],[53.44444444 20.55555556] ; [11.55555556  4.44444444],0
a8,1,0.365044,0.820466,[ 53 278] ; [ 5 41],[ 50.92307692 280.07692308] ; [ 7.07692308 38.92307692],0
a6,1,0.375833,0.784289,[233 117] ; [32 21],[230.14888337 119.85111663] ; [34.85111663 18.14888337],0
d5,1,0.406721,0.688365,[306  45] ; [44  9],[304.08415842  46.91584158] ; [45.91584158  7.08415842],0
d2,1,0.409021,0.681646,[200 151] ; [27 26],[197.22029703 153.77970297] ; [29.77970297 23.22029703],0
p1,1,0.429133,0.62517,[ 31 317] ; [ 3 50],[ 29.50623441 318.49376559] ; [ 4.49376559 48.50623441],0
v3,1,0.437413,0.603059,[141 192] ; [25 27],[143.57922078 189.42077922] ; [22.42077922 29.57922078],0
p5,1,0.455099,0.557922,[ 46 299] ; [ 5 47],[ 44.31989924 300.68010076] ; [ 6.68010076 45.31989924],0
n6,1,0.474529,0.511411,[293  53] ; [46  6],[294.70854271  51.29145729] ; [44.29145729  7.70854271],0
p6,1,0.507777,0.438645,[149 196] ; [25 27],[151.20906801 193.79093199] ; [22.79093199 29.20906801],0
b4,1,0.567924,0.326169,[204 147] ; [33 20],[205.90841584 145.09158416] ; [31.09158416 21.90841584],0
n2,1,0.571055,0.320921,[54 16] ; [12  5],[53.10344828 16.89655172] ; [12.89655172  4.10344828],0
p3,1,0.58098,0.304652,[196 154] ; [27 25],[194.15422886 155.84577114] ; [28.84577114 23.15422886],0
s1,1,0.63931,0.219646,[ 15 332] ; [ 3 49],[ 15.65413534 331.34586466] ; [ 2.34586466 49.65413534],0
v1,1,0.675247,0.175526,[199 137] ; [33 20],[200.3907455 135.6092545] ; [31.6092545 21.3907455],0
a7,1,0.722805,0.125821,[259  91] ; [38 15],[257.94044665  92.05955335] ; [39.05955335 13.94044665],0
b5,1,0.744716,0.106025,[217 134] ; [34 19],[218.07178218 132.92821782] ; [32.92821782 20.07178218],0
p8,1,0.758501,0.094526,[187 158] ; [27 25],[185.9697733 159.0302267] ; [28.0302267 23.9697733],0
b2,1,0.803772,0.061736,[ 91 127] ; [11 17],[ 90.3902439 127.6097561] ; [11.6097561 16.3902439],0
b3,1,0.803772,0.061736,[ 91 127] ; [11 17],[ 90.3902439 127.6097561] ; [11.6097561 16.3902439],0
p4,1,0.844245,0.038599,[233 116] ; [34 18],[232.3765586 116.6234414] ; [34.6234414 17.3765586],0
b1,1,0.877214,0.023871,[143 208] ; [21 32],[142.48514851 208.51485149] ; [21.51485149 31.48514851],0
u1,1,0.888225,0.019754,[ 83 268] ; [13 40],[ 83.40594059 267.59405941] ; [12.59405941 40.40594059],0
d3,1,0.907906,0.013382,[269  82] ; [41 12],[269.33168317  81.66831683] ; [40.66831683 12.33168317],0
a5,1,0.944044,0.004926,[270  81] ; [41 12],[270.20049505  80.79950495] ; [40.79950495 12.20049505],0
a4,1,0.944163,0.004905,[177 174] ; [27 26],[177.23762376 173.76237624] ; [26.76237624 26.23762376],0
v2,1,0.994971,4e-05,[200 131] ; [32 21],[199.97916667 131.02083333] ; [32.02083333 20.97916667],0
