Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.0,32.097063,[ 8 52] ; [60 42],[25.18518519 34.81481481] ; [42.81481481 59.18518519],1
a3,1,1e-06,24.789083,[23 37] ; [79 23],[37.77777778 22.22222222] ; [64.22222222 37.77777778],1
a6,1,2e-06,22.18636,[20 41] ; [72 30],[34.42944785 26.57055215] ; [57.57055215 44.42944785],1
d2,1,0.000124,14.733755,[17 44] ; [59 41],[28.79503106 32.20496894] ; [47.20496894 52.79503106],1
d1,1,0.000572,11.864725,[18 43] ; [59 44],[28.6402439 32.3597561] ; [48.3597561 54.6402439],1
d5,1,0.00076,11.33713,[31 30] ; [78 24],[40.79141104 20.20858896] ; [68.20858896 33.79141104],1
d4,1,0.025744,4.973138,[38 23] ; [80 22],[44.1595092 16.8404908] ; [73.8404908 28.1595092],0
d3,1,0.03335,4.527726,[26 35] ; [61 41],[32.55828221 28.44171779] ; [54.44171779 47.55828221],0
n5,1,0.037643,4.321087,[32 28] ; [71 31],[38.14814815 21.85185185] ; [64.85185185 37.14814815],0
a7,1,0.037755,4.316014,[30 31] ; [67 35],[36.3006135 24.6993865] ; [60.6993865 41.3006135],0
s8,1,0.050393,3.82832,[11 50] ; [33 70],[16.36585366 44.63414634] ; [27.63414634 75.36585366],0
s7,1,0.055535,3.665956,[12 45] ; [34 61],[17.25 39.75] ; [28.75 66.25],0
p3,1,0.066473,3.368023,[10 51] ; [30 73],[14.87804878 46.12195122] ; [25.12195122 77.87804878],0
p4,1,0.101313,2.684759,[10 49] ; [29 73],[14.29192547 44.70807453] ; [24.70807453 77.29192547],0
s1,1,0.10313,2.656462,[ 8 52] ; [ 6 96],[ 5.18518519 54.81481481] ; [ 8.81481481 93.18518519],0
s5,1,0.124297,2.362319,[ 7 50] ; [22 77],[10.59615385 46.40384615] ; [18.40384615 80.59615385],0
p5,1,0.139309,2.185581,[ 1 58] ; [ 7 93],[ 2.96855346 56.03144654] ; [ 5.03144654 94.96855346],0
n4,1,0.18672,1.743307,[35 26] ; [69 33],[38.9202454 22.0797546] ; [65.0797546 36.9202454],0
v4,1,0.196444,1.668619,[43 18] ; [81 21],[46.40490798 14.59509202] ; [77.59509202 24.40490798],0
a8,1,0.201193,1.633695,[ 3 55] ; [11 87],[ 5.20512821 52.79487179] ; [ 8.79487179 89.20512821],0
p12,1,0.20657,1.595301,[ 1 59] ; [ 6 97],[ 2.57668712 57.42331288] ; [ 4.42331288 98.57668712],0
b1,1,0.224731,1.473903,[26 35] ; [54 49],[29.75609756 31.24390244] ; [50.24390244 52.75609756],0
b2,1,0.229484,1.444058,[10 25] ; [28 41],[12.78846154 22.21153846] ; [25.21153846 43.78846154],0
b3,1,0.229484,1.444058,[10 25] ; [28 41],[12.78846154 22.21153846] ; [25.21153846 43.78846154],0
s6,1,0.242053,1.3686,[22 38] ; [47 55],[25.55555556 34.44444444] ; [43.44444444 58.55555556],0
r2,1,0.248786,1.330106,[48 12] ; [86 13],[50.56603774  9.43396226] ; [83.43396226 15.56603774],0
r3,1,0.287397,1.131776,[44 17] ; [81 21],[46.7791411 14.2208589] ; [78.2208589 23.7791411],0
a1,1,0.288044,1.128743,[ 4 57] ; [12 91],[ 5.95121951 55.04878049] ; [10.04878049 92.95121951],0
p7,1,0.346044,0.88791,[16 42] ; [21 79],[13.58227848 44.41772152] ; [23.41772152 76.58227848],0
s4,1,0.378909,0.774237,[13 48] ; [16 85],[10.91975309 50.08024691] ; [18.08024691 82.91975309],0
v2,1,0.384349,0.756745,[21 37] ; [42 55],[23.57419355 34.42580645] ; [39.42580645 57.57419355],0
b4,1,0.412445,0.671743,[36 25] ; [54 49],[33.47560976 27.52439024] ; [56.52439024 46.47560976],0
u4,1,0.419131,0.652752,[ 1 60] ; [ 4 99],[ 1.8597561 59.1402439] ; [ 3.1402439 99.8597561],0
b5,1,0.432247,0.616779,[37 24] ; [56 47],[34.59146341 26.40853659] ; [58.40853659 44.59146341],0
p8,1,0.444408,0.584873,[ 8 53] ; [18 84],[ 9.73006135 51.26993865] ; [16.26993865 85.73006135],0
v3,1,0.487504,0.482031,[17 41] ; [33 62],[18.95424837 39.04575163] ; [31.04575163 63.95424837],0
p9,1,0.556312,0.34613,[28 29] ; [54 46],[29.77070064 27.22929936] ; [52.22929936 47.77070064],0
r1,1,0.571136,0.320785,[38 23] ; [68 34],[39.66871166 21.33128834] ; [66.33128834 35.66871166],0
n2,1,0.591827,0.2875,[14  9] ; [31 15],[15.  8.] ; [30. 16.],0
u3,1,0.60204,0.27193,[20 18] ; [11 13],[19. 19.] ; [12. 12.],0
u2,1,0.621079,0.244354,[19 19] ; [10 13],[18.06557377 19.93442623] ; [10.93442623 12.06557377],0
s2,1,0.637764,0.221678,[19 41] ; [36 66],[20.37037037 39.62962963] ; [34.62962963 67.37037037],0
p11,1,0.654478,0.200301,[33 28] ; [52 51],[31.61585366 29.38414634] ; [53.38414634 49.61585366],0
r4,1,0.656718,0.197534,[40 21] ; [71 32],[41.28658537 19.71341463] ; [69.71341463 33.28658537],0
s3,1,0.705018,0.143305,[23 35] ; [44 59],[24.13664596 33.86335404] ; [42.86335404 60.13664596],0
p10,1,0.720388,0.128121,[29 29] ; [54 48],[30.0875 27.9125] ; [52.9125 49.0875],0
p1,1,0.773729,0.082657,[ 4 57] ; [ 8 95],[ 4.46341463 56.53658537] ; [ 7.53658537 95.46341463],0
v1,1,0.845942,0.037752,[20 41] ; [31 68],[19.44375 41.55625] ; [31.55625 67.44375],0
n1,1,0.853344,0.034171,[11 12] ; [20 24],[10.64179104 12.35820896] ; [20.35820896 23.64179104],0
n3,1,0.915662,0.011215,[14  9] ; [25 17],[13.8  9.2] ; [25.2 16.8],0
n6,1,0.976493,0.000868,[40 21] ; [66 35],[39.91358025 21.08641975] ; [66.08641975 34.91358025],0
