Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.000117,14.834972,[21 79] ; [15 10],[28.8 71.2] ; [ 7.2 17.8],1
s4,1,0.000259,13.344227,[ 8 92] ; [ 9 16],[13.6 86.4] ; [ 3.4 21.6],1
s6,1,0.002313,9.282938,[31 69] ; [16  9],[37.6 62.4] ; [ 9.4 15.6],0
s5,1,0.005143,7.828625,[ 9 88] ; [ 7 15],[13.04201681 83.95798319] ; [ 2.95798319 19.04201681],0
s3,1,0.005787,7.615407,[37 62] ; [17  8],[43.11290323 55.88709677] ; [10.88709677 14.11290323],0
p6,1,0.027606,4.852535,[13 80] ; [ 8 16],[16.69230769 76.30769231] ; [ 4.30769231 19.69230769],0
p3,1,0.04048,4.197649,[23 75] ; [11 14],[27.08943089 70.91056911] ; [ 6.91056911 18.08943089],0
r3,1,0.063041,3.455516,[74 26] ; [22  2],[77.41935484 22.58064516] ; [18.58064516  5.41935484],0
n2,1,0.065934,3.381453,[23 16] ; [9 1],[25.46938776 13.53061224] ; [6.53061224 3.46938776],0
a2,1,0.067278,3.348214,[13 87] ; [ 7 18],[16. 84.] ; [ 4. 21.],0
u2,1,0.079539,3.074307,[20 20] ; [6 1],[22.12765957 17.87234043] ; [3.87234043 3.12765957],0
n4,1,0.08874,2.897085,[49 51] ; [17  8],[52.8 47.2] ; [13.2 11.8],0
p7,1,0.097323,2.748869,[38 58] ; [14 10],[41.6 54.4] ; [10.4 13.6],0
p4,1,0.101738,2.678082,[30 68] ; [12 13],[33.46341463 64.53658537] ; [ 8.53658537 16.46341463],0
v2,1,0.125916,2.342147,[37 58] ; [13 10],[40.25423729 54.74576271] ; [ 9.74576271 13.25423729],0
d5,1,0.132887,2.258451,[63 37] ; [19  5],[66.12903226 33.87096774] ; [15.87096774  8.12903226],0
p9,1,0.136928,2.212145,[53 45] ; [17  7],[56.2295082 41.7704918] ; [13.7704918 10.2295082],0
v1,1,0.153018,2.041902,[32 66] ; [12 13],[35.05691057 62.94308943] ; [ 8.94308943 16.05691057],0
a6,1,0.171909,1.866221,[60 40] ; [18  6],[62.90322581 37.09677419] ; [15.09677419  8.90322581],0
u3,1,0.218152,1.516484,[18 21] ; [5 2],[19.5 19.5] ; [3.5 3.5],0
r4,1,0.231942,1.42891,[59 41] ; [18  7],[61.6 38.4] ; [15.4  9.6],0
p10,1,0.254703,1.297322,[44 53] ; [14 10],[46.49586777 50.50413223] ; [11.50413223 12.49586777],0
d1,1,0.269845,1.217532,[36 64] ; [12 13],[38.4 61.6] ; [ 9.6 15.4],0
