Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,26.995665,[108  32] ; [94 98],[85.18072289 54.81927711] ; [116.81927711  75.18072289],1
s6,1,1e-06,24.826726,[127  14] ; [128  64],[107.97297297  33.02702703] ; [147.02702703  44.97297297],1
p5,1,2.4e-05,17.810803,[ 36 106] ; [ 16 175],[ 22.17417417 119.82582583] ; [ 29.82582583 161.17417417],1
s7,1,5.9e-05,16.135916,[95 39] ; [89 95],[77.53459119 56.46540881] ; [106.46540881  77.53459119],1
s3,1,0.000161,14.237014,[101  37] ; [100  90],[84.56707317 53.43292683] ; [116.43292683  73.56707317],1
s4,1,0.000246,13.44009,[ 39 101] ; [ 23 169],[ 26.14457831 113.85542169] ; [ 35.85542169 156.14457831],1
s8,1,0.001215,10.466829,[92 49] ; [ 91 101],[77.48648649 63.51351351] ; [105.51351351  86.48648649],0
a5,1,0.012272,6.271201,[131  11] ; [160  33],[123.34925373  18.65074627] ; [167.65074627  25.34925373],0
p7,1,0.014049,6.031946,[113  28] ; [130  61],[103.20180723  37.79819277] ; [139.79819277  51.20180723],0
n6,1,0.019714,5.437086,[131   9] ; [164  28],[124.39759036  15.60240964] ; [170.60240964  21.39759036],0
a7,1,0.022455,5.210188,[103  39] ; [160  33],[111.48059701  30.51940299] ; [151.51940299  41.48059701],0
p10,1,0.026907,4.89676,[130  12] ; [159  32],[123.23723724  18.76276276] ; [165.76276276  25.23723724],0
v1,1,0.027418,4.864325,[99 43] ; [107  78],[89.45565749 52.54434251] ; [116.54434251  68.45565749],0
p9,1,0.033981,4.495655,[132   9] ; [165  26],[126.13554217  14.86445783] ; [170.86445783  20.13554217],0
p6,1,0.034111,4.489125,[81 59] ; [ 88 103],[71.48036254 68.51963746] ; [97.51963746 93.48036254],0
p1,1,0.040114,4.213054,[ 20 121] ; [ 14 178],[ 14.3963964 126.6036036] ; [ 19.6036036 172.3963964],0
a6,1,0.042223,4.126259,[93 49] ; [146  47],[101.30746269  40.69253731] ; [137.69253731  55.30746269],0
a3,1,0.04261,4.110798,[122  20] ; [148  44],[114.79041916  27.20958084] ; [155.20958084  36.79041916],0
p3,1,0.049561,3.856239,[106  36] ; [124  68],[97.78443114 44.21556886] ; [132.21556886  59.78443114],0
a4,1,0.051297,3.798559,[92 50] ; [104  88],[83.32934132 58.67065868] ; [112.67065868  79.32934132],0
v3,1,0.057456,3.609335,[72 67] ; [ 74 106],[63.61755486 75.38244514] ; [82.38244514 97.61755486],0
b5,1,0.153516,2.036964,[75 67] ; [117  76],[81.38507463 60.61492537] ; [110.61492537  82.38507463],0
p8,1,0.171456,1.870169,[98 44] ; [118  73],[92.10810811 49.89189189] ; [123.89189189  67.10810811],0
r2,1,0.20501,1.606318,[139   3] ; [181   9],[136.86746988   5.13253012] ; [183.13253012   6.86746988],0
n5,1,0.234347,1.414279,[119  22] ; [153  40],[114.82634731  26.17365269] ; [157.17365269  35.82634731],0
n2,1,0.23437,1.414141,[21  6] ; [21 12],[18.9  8.1] ; [23.1  9.9],0
r4,1,0.247627,1.336641,[136   6] ; [179  14],[133.52238806   8.47761194] ; [181.47761194  11.52238806],0
u2,1,0.289315,1.122807,[10  9] ; [30 15],[11.875  7.125] ; [28.125 16.875],0
p11,1,0.297948,1.083354,[117  25] ; [167  26],[120.38208955  21.61791045] ; [163.61791045  29.38208955],0
u4,1,0.302288,1.064074,[  3 139] ; [  8 185],[  4.66268657 137.33731343] ; [  6.33731343 186.66268657],0
p12,1,0.327945,0.956998,[ 18 124] ; [ 18 175],[ 15.25970149 126.74029851] ; [ 20.74029851 172.25970149],0
u1,1,0.328115,0.956325,[46 96] ; [ 53 140],[ 41.9641791 100.0358209] ; [ 57.0358209 135.9641791],0
a1,1,0.338491,0.916138,[ 11 131] ; [ 10 183],[  8.90149254 133.09850746] ; [ 12.09850746 180.90149254],0
a8,1,0.352484,0.864494,[ 13 120] ; [ 22 144],[ 15.56856187 117.43143813] ; [ 19.43143813 146.56856187],0
n1,1,0.354971,0.855607,[11 16] ; [10 24],[ 9.29508197 17.70491803] ; [11.70491803 22.29508197],0
a2,1,0.411073,0.675695,[54 88] ; [ 65 128],[50.44179104 91.55820896] ; [ 68.55820896 124.44179104],0
d3,1,0.414166,0.66681,[131  11] ; [173  20],[128.85970149  13.14029851] ; [175.14029851  17.85970149],0
b2,1,0.462952,0.538749,[41 54] ; [49 79],[38.34080717 56.65919283] ; [51.65919283 76.34080717],0
b3,1,0.462952,0.538749,[41 54] ; [49 79],[38.34080717 56.65919283] ; [51.65919283 76.34080717],0
n4,1,0.463503,0.537423,[118  24] ; [166  27],[120.38208955  21.61791045] ; [163.61791045  29.38208955],0
s1,1,0.575782,0.313103,[  6 134] ; [  6 186],[  5.06024096 134.93975904] ; [  6.93975904 185.06024096],0
p2,1,0.610619,0.259274,[127  15] ; [174  17],[128.35435435  13.64564565] ; [172.64564565  18.35435435],0
r3,1,0.612828,0.256078,[136   5] ; [188   5],[136.77844311   4.22155689] ; [187.22155689   5.77844311],0
r1,1,0.623248,0.241329,[123  17] ; [166  27],[121.5015015  18.4984985] ; [167.4984985  25.5015015],0
n3,1,0.649246,0.206852,[19  7] ; [23 11],[18.2  7.8] ; [23.8 10.2],0
d5,1,0.651826,0.203605,[137   4] ; [189   4],[137.62275449   3.37724551] ; [188.37724551   4.62275449],0
d4,1,0.751148,0.100569,[139   2] ; [191   2],[139.31137725   1.68862275] ; [190.68862275   2.31137725],0
d2,1,0.773284,0.082991,[101  40] ; [141  52],[102.16167665  38.83832335] ; [139.83832335  53.16167665],0
v2,1,0.877587,0.023725,[88 53] ; [117  68],[88.66564417 52.33435583] ; [116.33435583  68.66564417],0
v4,1,0.885479,0.020744,[137   4] ; [187   6],[136.77844311   4.22155689] ; [187.22155689   5.77844311],0
b4,1,0.904715,0.01433,[87 55] ; [117  76],[86.47164179 55.52835821] ; [117.52835821  75.47164179],0
u3,1,0.92862,0.008025,[14  6] ; [31 14],[13.84615385  6.15384615] ; [31.15384615 13.84615385],0
b1,1,0.942149,0.005266,[55 87] ; [ 74 119],[54.68059701 87.31940299] ; [ 74.31940299 118.68059701],0
