Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,70.208069,[360  98] ; [79 99],[316.13522013 141.86477987] ; [122.86477987  55.13522013],1
d3,1,0.0,67.331769,[360  99] ; [80 98],[317.04866562 141.95133438] ; [122.95133438  55.04866562],1
a2,1,0.0,32.3927,[137 322] ; [ 15 163],[109.52590267 349.47409733] ; [ 42.47409733 135.52590267],1
b5,1,0.0,25.496689,[292 167] ; [ 74 104],[263.72684458 195.27315542] ; [102.27315542  75.72684458],1
u1,1,1e-06,23.181367,[107 352] ; [ 12 166],[ 85.74725275 373.25274725] ; [ 33.25274725 144.74725275],1
d1,1,0.000373,12.660688,[295 164] ; [87 91],[275.25588697 183.74411303] ; [106.74411303  71.25588697],1
r4,1,0.000543,11.962282,[431  28] ; [152  26],[420.08948195  38.91051805] ; [162.91051805  15.08948195],1
v4,1,0.001192,10.502589,[443  12] ; [163  15],[435.59241706  19.40758294] ; [170.40758294   7.59241706],0
v2,1,0.002369,9.23945,[273 167] ; [83 88],[256.36661211 183.63338789] ; [99.63338789 71.36661211],0
p4,1,0.005596,7.676151,[300 156] ; [96 82],[284.82018927 171.17981073] ; [111.17981073  66.82018927],0
r3,1,0.006473,7.413667,[447   9] ; [167  11],[441.61514196  14.38485804] ; [172.38485804   5.61514196],0
r1,1,0.007868,7.063385,[379  78] ; [131  47],[367.03937008  89.96062992] ; [142.96062992  35.03937008],0
d4,1,0.009613,6.705223,[390  69] ; [135  42],[378.89150943  80.10849057] ; [146.10849057  30.89150943],0
u3,1,0.012494,6.239451,[76 49] ; [20 30],[68.57142857 56.42857143] ; [27.42857143 22.57142857],0
b4,1,0.01531,5.880478,[288 171] ; [93 85],[274.53532182 184.46467818] ; [106.46467818  71.53532182],0
b1,1,0.016804,5.716752,[140 319] ; [ 72 106],[152.75981162 306.24018838] ; [ 59.24018838 118.75981162],0
p2,1,0.025698,4.976207,[402  54] ; [144  33],[393.32701422  62.67298578] ; [152.67298578  24.32701422],0
