Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,95.873772,[16 60] ; [240  61],[51.60742706 24.39257294] ; [204.39257294  96.60742706],1
d1,1,0.0,93.68394,[ 4 73] ; [201 100],[41.75925926 35.24074074] ; [163.24074074 137.75925926],1
d5,1,0.0,61.285396,[34 42] ; [260  41],[59.26790451 16.73209549] ; [234.73209549  66.26790451],1
a3,1,4e-06,21.331803,[35 42] ; [220  81],[51.94444444 25.05555556] ; [203.05555556  97.94444444],1
d2,1,9e-06,19.748962,[18 59] ; [155 145],[35.33421751 41.66578249] ; [137.66578249 162.33421751],1
a5,1,1.5e-05,18.777728,[37 40] ; [222  79],[52.75925926 24.24074074] ; [206.24074074  94.75925926],1
a4,1,7.9e-05,15.571287,[16 61] ; [137 164],[31.16666667 45.83333333] ; [121.83333333 179.16666667],1
a7,1,0.000547,11.94821,[43 33] ; [230  71],[55.03448276 20.96551724] ; [217.96551724  83.03448276],1
a2,1,0.00059,11.807813,[ 5 72] ; [ 73 228],[15.88888889 61.11111111] ; [ 62.11111111 238.88888889],1
u1,1,0.00072,11.437054,[ 2 75] ; [ 54 247],[11.40740741 65.59259259] ; [ 44.59259259 256.40740741],1
r1,1,0.001911,9.632926,[53 24] ; [253  47],[62.49867374 14.50132626] ; [243.50132626  56.49867374],0
u2,1,0.002419,9.200814,[15 27] ; [51 28],[22.90909091 19.09090909] ; [43.09090909 35.90909091],0
b3,1,0.030404,4.686296,[ 6 33] ; [ 56 114],[11.56937799 27.43062201] ; [ 50.43062201 119.56937799],0
b2,1,0.030404,4.686296,[ 6 33] ; [ 56 114],[11.56937799 27.43062201] ; [ 50.43062201 119.56937799],0
p12,1,0.073859,3.195101,[ 8 68] ; [ 15 284],[ 4.66133333 71.33866667] ; [ 18.33866667 280.66133333],0
n4,1,0.093172,2.818703,[49 28] ; [220  80],[54.94164456 22.05835544] ; [214.05835544  85.94164456],0
u3,1,0.102041,2.673344,[19 23] ; [48 31],[23.25619835 18.74380165] ; [43.74380165 35.25619835],0
s2,1,0.111802,2.528559,[28 48] ; [141 159],[34.15957447 41.84042553] ; [134.84042553 165.15957447],0
n3,1,0.128034,2.316176,[18  2] ; [63 22],[15.42857143  4.57142857] ; [65.57142857 19.42857143],0
r2,1,0.149955,2.072708,[72  5] ; [290   9],[74.13297872  2.86702128] ; [287.86702128  11.13297872],0
a6,1,0.153502,2.037102,[48 29] ; [213  88],[53.16666667 23.83333333] ; [207.83333333  93.16666667],0
p5,1,0.161395,1.961105,[ 9 67] ; [ 21 280],[ 6.04774536 69.95225464] ; [ 23.95225464 277.04774536],0
s6,1,0.172341,1.862461,[42 33] ; [191 105],[47.10242588 27.89757412] ; [185.89757412 110.10242588],0
p1,1,0.177758,1.81627,[ 8 69] ; [ 18 281],[ 5.32446809 71.67553191] ; [ 20.67553191 278.32446809],0
v4,1,0.178708,1.808334,[76  1] ; [287  14],[73.94444444  3.05555556] ; [289.05555556  11.94444444],0
a1,1,0.178708,1.808334,[ 1 76] ; [ 14 287],[ 3.05555556 73.94444444] ; [ 11.94444444 289.05555556],0
v2,1,0.179591,1.801006,[25 46] ; [128 163],[30.00828729 40.99171271] ; [122.99171271 168.00828729],0
n5,1,0.189004,1.725367,[55 22] ; [189 109],[50.10133333 26.89866667] ; [193.89866667 104.10133333],0
p10,1,0.21667,1.526289,[52 23] ; [228  71],[56.14973262 18.85026738] ; [223.85026738  75.14973262],0
s7,1,0.230256,1.439281,[26 45] ; [129 161],[30.48476454 40.51523546] ; [124.51523546 165.48476454],0
n2,1,0.290879,1.115548,[18  4] ; [60 25],[16.03738318  5.96261682] ; [61.96261682 23.03738318],0
s3,1,0.29659,1.089466,[37 39] ; [165 133],[41.04812834 34.95187166] ; [160.95187166 137.04812834],0
b4,1,0.301955,1.065539,[40 37] ; [176 125],[44. 33.] ; [172. 129.],0
p2,1,0.30708,1.043194,[57 20] ; [239  62],[60.2962963 16.7037037] ; [235.7037037  65.2962963],0
r3,1,0.330909,0.945338,[74  3] ; [294   6],[75.16180371  1.83819629] ; [292.83819629   7.16180371],0
p4,1,0.366513,0.815454,[36 41] ; [156 141],[39.52941176 37.47058824] ; [152.47058824 144.52941176],0
p9,1,0.436188,0.606289,[56 18] ; [237  60],[58.44204852 15.55795148] ; [234.55795148  62.44204852],0
s8,1,0.452408,0.564613,[25 51] ; [113 188],[27.81962865 48.18037135] ; [110.18037135 190.81962865],0
b5,1,0.475284,0.509665,[40 37] ; [170 131],[42.77777778 34.22222222] ; [167.22222222 133.77777778],0
