Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-06,24.198881,[10 21] ; [96 27],[21.33766234  9.66233766] ; [84.66233766 38.33766234],1
n4,1,4.1e-05,16.81851,[14 17] ; [100  23],[22.94805195  8.05194805] ; [91.05194805 31.94805195],1
s6,1,0.007448,7.161637,[21  9] ; [108  13],[25.62913907  4.37086093] ; [103.37086093  17.62913907],0
d2,1,0.00835,6.956796,[12 19] ; [79 43],[18.4379085 12.5620915] ; [72.5620915 49.4379085],0
p4,1,0.014079,6.028204,[10 21] ; [70 53],[16.1038961 14.8961039] ; [63.8961039 59.1038961],0
b5,1,0.020562,5.363527,[16 15] ; [90 33],[21.33766234  9.66233766] ; [84.66233766 38.33766234],0
a2,1,0.022968,5.170907,[ 2 29] ; [31 92],[ 6.64285714 24.35714286] ; [26.35714286 96.64285714],0
u1,1,0.027805,4.840122,[ 2 29] ; [30 93],[ 6.44155844 24.55844156] ; [25.55844156 97.44155844],0
p11,1,0.066933,3.356668,[16 15] ; [85 38],[20.33116883 10.66883117] ; [80.66883117 42.33116883],0
n1,1,0.06814,3.327259,[9 4] ; [13 20],[6.2173913 6.7826087] ; [15.7826087 17.2173913],0
a4,1,0.083549,2.994473,[10 21] ; [61 62],[14.29220779 16.70779221] ; [56.70779221 66.29220779],0
s8,1,0.087443,2.920836,[13 18] ; [72 50],[17.22222222 13.77777778] ; [67.77777778 54.22222222],0
a7,1,0.088453,2.902306,[19 12] ; [94 29],[22.74675325  8.25324675] ; [90.25324675 32.74675325],0
s7,1,0.112607,2.517245,[14 15] ; [74 41],[17.72222222 11.27777778] ; [70.27777778 44.72222222],0
u3,1,0.123658,2.37037,[11  1] ; [25 11],[9. 3.] ; [27.  9.],0
b3,1,0.13897,2.189331,[7 7] ; [22 52],[4.61363636 9.38636364] ; [24.38636364 49.61363636],0
b2,1,0.13897,2.189331,[7 7] ; [22 52],[4.61363636 9.38636364] ; [24.38636364 49.61363636],0
d1,1,0.158802,1.985598,[17 14] ; [84 39],[20.33116883 10.66883117] ; [80.66883117 42.33116883],0
p10,1,0.165269,1.92534,[20 10] ; [96 26],[22.89473684  7.10526316] ; [93.10526316 28.89473684],0
d5,1,0.218105,1.516799,[23  8] ; [103  20],[25.36363636  5.63636364] ; [100.63636364  22.36363636],0
p9,1,0.220595,1.500496,[23  7] ; [103  17],[25.2  4.8] ; [100.8  19.2],0
p2,1,0.293663,1.10275,[20 11] ; [91 32],[22.34415584  8.65584416] ; [88.65584416 34.34415584],0
n3,1,0.299489,1.076466,[11  2] ; [23 10],[9.60869565 3.39130435] ; [24.39130435  8.60869565],0
