Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p12,1,3e-06,21.531209,[ 1 67] ; [3 4],[ 3.62666667 64.37333333] ; [0.37333333 6.62666667],1
p5,1,0.000401,12.529788,[ 3 64] ; [3 4],[ 5.43243243 61.56756757] ; [0.56756757 6.43243243],1
p8,1,0.000768,11.317495,[11 56] ; [5 2],[14.48648649 52.51351351] ; [1.51351351 5.48648649],1
a2,1,0.003231,8.672482,[14 54] ; [5 2],[17.22666667 50.77333333] ; [1.77333333 5.22666667],0
s7,1,0.004094,8.241439,[18 41] ; [6 1],[21.45454545 37.54545455] ; [2.54545455 4.45454545],0
p6,1,0.011731,6.35104,[11 55] ; [4 3],[13.56164384 52.43835616] ; [1.43835616 5.56164384],0
p4,1,0.012271,6.271216,[25 43] ; [6 1],[28.10666667 39.89333333] ; [2.89333333 4.10666667],0
p3,1,0.012271,6.271216,[25 43] ; [6 1],[28.10666667 39.89333333] ; [2.89333333 4.10666667],0
v1,1,0.020122,5.40124,[20 48] ; [4 1],[22.35616438 45.64383562] ; [1.64383562 3.35616438],0
u1,1,0.02682,4.902359,[ 8 60] ; [3 4],[ 9.97333333 58.02666667] ; [1.02666667 5.97333333],0
a4,1,0.032394,4.577542,[29 38] ; [6 1],[31.68918919 35.31081081] ; [3.31081081 3.68918919],0
v3,1,0.032821,4.555116,[16 47] ; [3 1],[17.86567164 45.13432836] ; [1.13432836 2.86567164],0
d2,1,0.051226,3.800867,[31 35] ; [6 1],[33.45205479 32.54794521] ; [3.54794521 3.45205479],0
a6,1,0.055922,3.654372,[32 35] ; [6 1],[34.40540541 32.59459459] ; [3.59459459 3.40540541],0
s6,1,0.060827,3.514683,[32 34] ; [6 1],[34.35616438 31.64383562] ; [3.64383562 3.35616438],0
r1,1,0.126963,2.329253,[38 30] ; [6 1],[39.89333333 28.10666667] ; [4.10666667 2.89333333],0
a5,1,0.144714,2.127101,[39 29] ; [6 1],[40.8 27.2] ; [4.2 2.8],0
s5,1,0.152875,2.043332,[10 56] ; [2 3],[11.15492958 54.84507042] ; [0.84507042 4.15492958],0
v2,1,0.163085,1.945389,[20 47] ; [3 2],[21.40277778 45.59722222] ; [1.59722222 3.40277778],0
p2,1,0.19257,1.697843,[31 37] ; [5 2],[32.64 35.36] ; [3.36 3.64],0
p7,1,0.255131,1.294986,[24 44] ; [4 3],[25.38666667 42.61333333] ; [2.61333333 4.38666667],0
n4,1,0.291351,1.113368,[45 23] ; [6 1],[46.24 21.76] ; [4.76 2.24],0
d3,1,0.297003,1.087601,[34 33] ; [5 2],[35.31081081 31.68918919] ; [3.68918919 3.31081081],0
a7,1,0.428441,0.627046,[38 30] ; [5 2],[38.98666667 29.01333333] ; [4.01333333 2.98666667],0
b4,1,0.46192,0.541239,[39 29] ; [3 4],[38.08 29.92] ; [3.92 3.08],0
d5,1,0.468467,0.525589,[49 18] ; [6 1],[49.7972973 17.2027027] ; [5.2027027 1.7972973],0
b5,1,0.632507,0.228677,[45 23] ; [4 3],[44.42666667 23.57333333] ; [4.57333333 2.42666667],0
s1,1,0.636185,0.223766,[ 6 62] ; [1 6],[ 6.34666667 61.65333333] ; [0.65333333 6.34666667],0
p1,1,0.636185,0.223766,[ 6 62] ; [1 6],[ 6.34666667 61.65333333] ; [0.65333333 6.34666667],0
s4,1,0.74221,0.108194,[13 54] ; [1 6],[12.67567568 54.32432432] ; [1.32432432 5.67567568],0
a1,1,0.744606,0.10612,[ 7 61] ; [1 6],[ 7.25333333 60.74666667] ; [0.74666667 6.25333333],0
a8,1,0.814484,0.055059,[ 7 55] ; [1 6],[ 7.1884058 54.8115942] ; [0.8115942 6.1884058],0
