Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,3e-06,21.701627,[19 40] ; [28  6],[29.8172043 29.1827957] ; [17.1827957 16.8172043],1
s6,1,4.6e-05,16.625427,[12 48] ; [22 14],[21.25 38.75] ; [12.75 23.25],1
d5,1,0.001745,9.8,[33 27] ; [31  5],[40. 20.] ; [24. 12.],0
p6,1,0.004199,8.195826,[ 3 55] ; [ 9 26],[ 7.48387097 50.51612903] ; [ 4.51612903 30.48387097],0
d1,1,0.00475,7.972328,[19 41] ; [22 14],[25.625 34.375] ; [15.375 20.625],0
b5,1,0.008351,6.956522,[25 35] ; [25 11],[31.25 28.75] ; [18.75 17.25],0
p11,1,0.010297,6.582857,[19 41] ; [21 15],[25. 35.] ; [15. 21.],0
a7,1,0.020931,5.332566,[23 37] ; [22 13],[28.42105263 31.57894737] ; [16.57894737 18.42105263],0
d3,1,0.02153,5.283413,[25 34] ; [24 12],[30.43157895 28.56842105] ; [18.56842105 17.43157895],0
v4,1,0.024993,5.024406,[28 32] ; [24 10],[33.19148936 26.80851064] ; [18.80851064 15.19148936],0
d4,1,0.030509,4.680394,[37 23] ; [29  6],[41.68421053 18.31578947] ; [24.31578947 10.68421053],0
v3,1,0.035413,4.425143,[ 9 51] ; [12 24],[13.125 46.875] ; [ 7.875 28.125],0
s2,1,0.043779,4.065055,[12 48] ; [14 22],[16.25 43.75] ; [ 9.75 26.25],0
n1,1,0.061022,3.509394,[11 17] ; [ 2 14],[ 8.27272727 19.72727273] ; [ 4.72727273 11.27272727],0
v1,1,0.074331,3.184687,[16 43] ; [15 18],[19.88043478 39.11956522] ; [11.11956522 21.88043478],0
b2,1,0.08056,3.053571,[17 21] ; [ 4 15],[14. 24.] ; [ 7. 12.],0
b3,1,0.08056,3.053571,[17 21] ; [ 4 15],[14. 24.] ; [ 7. 12.],0
u3,1,0.10065,2.695221,[ 5 21] ; [5 6],[ 7.02702703 18.97297297] ; [2.97297297 8.02702703],0
a1,1,0.111017,2.539683,[10 50] ; [ 2 34],[ 7.5 52.5] ; [ 4.5 31.5],0
u2,1,0.118826,2.432723,[ 7 19] ; [5 4],[ 8.91428571 17.08571429] ; [3.08571429 5.91428571],0
s7,1,0.152872,2.043356,[13 43] ; [12 20],[15.90909091 40.09090909] ; [ 9.09090909 22.90909091],0
s8,1,0.167903,1.901564,[ 7 53] ; [ 8 28],[ 9.375 50.625] ; [ 5.625 30.375],0
n6,1,0.197276,1.662425,[29 30] ; [22 13],[32.0106383 26.9893617] ; [18.9893617 16.0106383],0
s5,1,0.212768,1.552491,[ 9 50] ; [ 9 26],[11.29787234 47.70212766] ; [ 6.70212766 28.29787234],0
p7,1,0.225006,1.472155,[13 46] ; [12 24],[15.52631579 43.47368421] ; [ 9.47368421 26.52631579],0
p2,1,0.225385,1.469753,[28 30] ; [22 14],[30.85106383 27.14893617] ; [19.14893617 16.85106383],0
u1,1,0.26489,1.243018,[ 3 57] ; [ 4 32],[ 4.375 55.625] ; [ 2.625 33.375],0
a3,1,0.29132,1.11351,[34 24] ; [25 11],[36.40425532 21.59574468] ; [22.59574468 13.40425532],0
s3,1,0.298698,1.079998,[19 40] ; [15 20],[21.34042553 37.65957447] ; [12.65957447 22.34042553],0
p1,1,0.319983,0.989017,[ 7 53] ; [ 2 34],[ 5.625 54.375] ; [ 3.375 32.625],0
r1,1,0.329229,0.95193,[16 44] ; [13 23],[18.125 41.875] ; [10.875 25.125],0
b4,1,0.332063,0.940835,[34 26] ; [24 12],[36.25 23.75] ; [21.75 14.25],0
b1,1,0.33898,0.914286,[36 24] ; [18 18],[33.75 26.25] ; [20.25 15.75],0
n5,1,0.35327,0.861678,[40 20] ; [20 15],[37.89473684 22.10526316] ; [22.10526316 12.89473684],0
d2,1,0.363374,0.826199,[23 36] ; [17 18],[25.10638298 33.89361702] ; [14.89361702 20.10638298],0
a5,1,0.367652,0.811584,[31 29] ; [22 14],[33.125 26.875] ; [19.875 16.125],0
r2,1,0.406813,0.688095,[31 27] ; [20 12],[32.86666667 25.13333333] ; [18.13333333 13.86666667],0
n2,1,0.530801,0.392857,[13 15] ; [9 7],[14. 14.] ; [8. 8.],0
n3,1,0.530931,0.392609,[14 14] ; [9 6],[14.97674419 13.02325581] ; [8.02325581 6.97674419],0
a4,1,0.553873,0.350424,[21 38] ; [15 21],[22.35789474 36.64210526] ; [13.64210526 22.35789474],0
a2,1,0.562496,0.335401,[ 6 54] ; [ 5 31],[ 6.875 53.125] ; [ 4.125 31.875],0
s4,1,0.589811,0.290639,[ 9 51] ; [ 4 32],[ 8.125 51.875] ; [ 4.875 31.125],0
a8,1,0.718996,0.129456,[ 4 55] ; [ 3 31],[ 4.44086022 54.55913978] ; [ 2.55913978 31.44086022],0
p9,1,0.810561,0.057457,[30 28] ; [19 16],[30.55913978 27.44086022] ; [18.44086022 16.55913978],0
p3,1,0.815817,0.054256,[13 46] ; [ 7 28],[12.55319149 46.44680851] ; [ 7.44680851 27.55319149],0
n4,1,0.827638,0.047407,[37 23] ; [23 13],[37.5 22.5] ; [22.5 13.5],0
p10,1,0.832455,0.044755,[27 33] ; [17 19],[27.5 32.5] ; [16.5 19.5],0
p4,1,0.853057,0.034306,[14 46] ; [ 9 27],[14.375 45.625] ; [ 8.625 27.375],0
s1,1,0.905592,0.014066,[ 3 57] ; [ 2 34],[ 3.125 56.875] ; [ 1.875 34.125],0
a6,1,1.0,0.0,[30 30] ; [18 18],[30. 30.] ; [18. 18.],0
