Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,56.87133,[101   8] ; [18 31],[82.09493671 26.90506329] ; [36.90506329 12.09493671],1
p11,1,0.000269,13.276082,[88 21] ; [27 24],[78.34375 30.65625] ; [36.65625 14.34375],1
s6,1,0.000818,11.199528,[71 36] ; [19 31],[61.33757962 45.66242038] ; [28.66242038 21.33757962],1
a7,1,0.006656,7.363616,[89 19] ; [32 19],[82.18867925 25.81132075] ; [38.81132075 12.18867925],0
u2,1,0.006807,7.323232,[23 13] ; [ 6 16],[18. 18.] ; [11. 11.],0
p7,1,0.006935,7.28979,[71 37] ; [22 29],[63.16981132 44.83018868] ; [29.83018868 21.16981132],0
d5,1,0.007812,7.076086,[87 21] ; [31 20],[80.1509434 27.8490566] ; [37.8490566 13.1509434],0
p2,1,0.008802,6.862626,[90 18] ; [33 18],[83.54716981 24.45283019] ; [39.45283019 11.54716981],0
a5,1,0.01142,6.39883,[76 33] ; [25 26],[68.80625 40.19375] ; [32.19375 18.80625],0
r1,1,0.017522,5.643344,[84 25] ; [30 21],[77.6625 31.3375] ; [36.3375 14.6625],0
s3,1,0.026416,4.928556,[54 52] ; [16 34],[47.56410256 58.43589744] ; [22.43589744 27.56410256],0
s2,1,0.033384,4.525998,[51 57] ; [15 36],[44.83018868 63.16981132] ; [21.16981132 29.83018868],0
s8,1,0.035253,4.432889,[40 69] ; [10 40],[34.27672956 74.72327044] ; [15.72327044 34.27672956],0
r2,1,0.040436,4.199501,[102   5] ; [43  7],[98.82165605  8.17834395] ; [46.17834395  3.82165605],0
s4,1,0.058132,3.589899,[27 82] ; [ 6 45],[22.48125 86.51875] ; [10.51875 40.48125],0
u3,1,0.067239,3.349158,[22 14] ; [ 8 14],[18.62068966 17.37931034] ; [11.37931034 10.62068966],0
p8,1,0.074216,3.187222,[49 60] ; [15 35],[43.87421384 65.12578616] ; [20.12578616 29.87421384],0
r4,1,0.076048,3.147394,[97 12] ; [40 11],[93.33125 15.66875] ; [43.66875  7.33125],0
p6,1,0.099198,2.718387,[36 72] ; [10 39],[31.6433121 76.3566879] ; [14.3566879 34.6433121],0
b1,1,0.106837,2.600401,[29 80] ; [20 31],[33.38125 75.61875] ; [15.61875 35.38125],0
n2,1,0.114198,2.495147,[18 14] ; [12  3],[20.42553191 11.57446809] ; [9.57446809 5.42553191],0
v4,1,0.12025,2.41406,[104   4] ; [46  5],[101.88679245   6.11320755] ; [48.11320755  2.88679245],0
p4,1,0.167393,1.906136,[52 57] ; [18 32],[47.98742138 61.01257862] ; [22.01257862 27.98742138],0
s5,1,0.169267,1.889426,[35 70] ; [11 38],[31.36363636 73.63636364] ; [14.63636364 34.36363636],0
a8,1,0.18381,1.766549,[ 8 94] ; [ 7 40],[10.26845638 91.73154362] ; [ 4.73154362 42.26845638],0
p1,1,0.223522,1.481614,[  7 101] ; [ 1 50],[  5.43396226 102.56603774] ; [ 2.56603774 48.43396226],0
a2,1,0.259608,1.270845,[18 91] ; [ 5 46],[15.66875 93.33125] ; [ 7.33125 43.66875],0
p3,1,0.26162,1.260164,[42 67] ; [15 36],[38.83125 70.16875] ; [18.16875 32.83125],0
a4,1,0.323749,0.973739,[43 66] ; [16 35],[40.19375 68.80625] ; [18.80625 32.19375],0
a3,1,0.327238,0.959799,[72 37] ; [29 21],[69.23899371 39.76100629] ; [31.76100629 18.23899371],0
r3,1,0.331486,0.943083,[106   3] ; [48  3],[104.9125   4.0875] ; [49.0875  1.9125],0
a1,1,0.331486,0.943083,[  3 106] ; [ 3 48],[  4.0875 104.9125] ; [ 1.9125 49.0875],0
b4,1,0.371911,0.797269,[70 39] ; [29 22],[67.44375 41.55625] ; [31.55625 19.44375],0
d1,1,0.404277,0.695568,[59 50] ; [24 27],[56.54375 52.45625] ; [26.45625 24.54375],0
a6,1,0.435876,0.607116,[69 40] ; [29 22],[66.7625 42.2375] ; [31.2375 19.7625],0
s7,1,0.457677,0.551571,[40 69] ; [15 34],[37.94303797 71.05696203] ; [17.05696203 31.94303797],0
b5,1,0.469873,0.522275,[64 45] ; [33 18],[66.08125 42.91875] ; [30.91875 20.08125],0
d3,1,0.554744,0.348887,[79 29] ; [35 16],[77.43396226 30.56603774] ; [36.56603774 14.43396226],0
s1,1,0.562629,0.335173,[  4 105] ; [ 1 50],[  3.40625 105.59375] ; [ 1.59375 49.40625],0
b3,1,0.563606,0.333499,[18 40] ; [ 7 21],[16.86046512 41.13953488] ; [ 8.13953488 19.86046512],0
b2,1,0.563606,0.333499,[18 40] ; [ 7 21],[16.86046512 41.13953488] ; [ 8.13953488 19.86046512],0
n1,1,0.627203,0.235872,[ 8 24] ; [ 3 13],[ 7.33333333 24.66666667] ; [ 3.66666667 12.33333333],0
d2,1,0.720682,0.12784,[46 63] ; [20 31],[44.9625 64.0375] ; [21.0375 29.9625],0
v3,1,0.804748,0.061111,[28 77] ; [14 35],[28.63636364 76.36363636] ; [13.36363636 35.63636364],0
n4,1,0.816808,0.053663,[47 62] ; [21 30],[46.325 62.675] ; [21.675 29.325],0
d4,1,0.849181,0.036162,[89 20] ; [41 10],[88.5625 20.4375] ; [41.4375  9.5625],0
n3,1,0.852737,0.034457,[24  7] ; [12  4],[23.74468085  7.25531915] ; [12.25531915  3.74468085],0
v1,1,0.856733,0.032593,[38 67] ; [17 32],[37.5 67.5] ; [17.5 31.5],0
v2,1,0.874442,0.02497,[57 48] ; [27 24],[56.53846154 48.46153846] ; [27.46153846 23.53846154],0
u1,1,0.976466,0.00087,[13 96] ; [ 6 45],[12.94375 96.05625] ; [ 6.05625 44.94375],0
