Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,44.969675,[27 37] ; [100  12],[46.18181818 17.81818182] ; [80.81818182 31.18181818],1
n6,1,0.000131,14.628477,[42 22] ; [100  12],[51.63636364 12.36363636] ; [90.36363636 21.63636364],1
p11,1,0.003175,8.704348,[39 25] ; [91 21],[47.27272727 16.72727273] ; [82.72727273 29.27272727],0
a8,1,0.003348,8.607266,[ 1 60] ; [16 81],[ 6.56329114 54.43670886] ; [10.43670886 86.56329114],0
p10,1,0.005865,7.59138,[42 22] ; [93 18],[49.37142857 14.62857143] ; [85.62857143 25.37142857],0
a4,1,0.010892,6.482895,[18 46] ; [53 58],[25.96571429 38.03428571] ; [45.03428571 65.96571429],0
s7,1,0.013991,6.039216,[21 42] ; [54 48],[28.63636364 34.36363636] ; [46.36363636 55.63636364],0
n2,1,0.014037,6.033428,[11  7] ; [23  2],[14.23255814  3.76744186] ; [19.76744186  5.23255814],0
v3,1,0.018992,5.502219,[22 40] ; [60 51],[29.38728324 32.61271676] ; [52.61271676 58.38728324],0
p9,1,0.021914,5.252628,[44 20] ; [92 18],[50.02298851 13.97701149] ; [85.97701149 24.02298851],0
p4,1,0.02389,5.1026,[26 37] ; [65 45],[33.13872832 29.86127168] ; [57.86127168 52.13872832],0
a2,1,0.052583,3.757133,[10 54] ; [32 80],[15.27272727 48.72727273] ; [26.72727273 85.27272727],0
p8,1,0.055535,3.665958,[23 39] ; [57 52],[29.00584795 32.99415205] ; [50.99415205 58.00584795],0
s8,1,0.060832,3.514567,[18 46] ; [47 64],[23.77142857 40.22857143] ; [41.22857143 69.77142857],0
s4,1,0.07626,3.142857,[16 48] ; [16 96],[11.63636364 52.36363636] ; [20.36363636 91.63636364],0
p2,1,0.088413,2.90303,[42 22] ; [86 25],[46.81142857 17.18857143] ; [81.18857143 29.81142857],0
r3,1,0.100999,2.68969,[63  1] ; [102   8],[60.68965517  3.31034483] ; [104.31034483   5.68965517],0
p3,1,0.102777,2.661913,[23 41] ; [54 57],[28.16 35.84] ; [48.84 62.16],0
a5,1,0.102809,2.66142,[43 21] ; [87 24],[47.54285714 16.45714286] ; [82.45714286 28.54285714],0
p6,1,0.107462,2.591155,[12 50] ; [34 77],[16.48554913 45.51445087] ; [29.51445087 81.48554913],0
r1,1,0.113201,2.508961,[48 15] ; [96 16],[51.84 11.16] ; [92.16 19.84],0
a7,1,0.146512,2.10819,[45 19] ; [88 22],[48.91954023 15.08045977] ; [84.08045977 25.91954023],0
v4,1,0.15864,1.987143,[56  8] ; [104   7],[58.51428571  5.48571429] ; [101.48571429   9.51428571],0
s3,1,0.159014,1.983576,[30 33] ; [64 45],[34.43023256 28.56976744] ; [59.56976744 49.43023256],0
