Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,4e-06,21.435819,[53  3] ; [14 13],[45.20481928 10.79518072] ; [21.79518072  5.20481928],1
p6,1,0.000155,14.309423,[41 15] ; [ 8 19],[33.06024096 22.93975904] ; [15.93975904 11.06024096],1
p2,1,0.000199,13.840632,[53  3] ; [17 10],[47.22891566  8.77108434] ; [22.77108434  4.22891566],1
p10,1,0.001822,9.720844,[51  5] ; [17 10],[45.87951807 10.12048193] ; [22.12048193  4.87951807],0
p4,1,0.0021,9.459655,[52  4] ; [18  9],[47.22891566  8.77108434] ; [22.77108434  4.22891566],0
n5,1,0.010139,6.610372,[46 10] ; [15 12],[41.15662651 14.84337349] ; [19.84337349  7.15662651],0
s6,1,0.021824,5.25974,[50  4] ; [20  7],[46.66666667  7.33333333] ; [23.33333333  3.66666667],0
p11,1,0.024663,5.047398,[46 10] ; [16 11],[41.8313253 14.1686747] ; [20.1686747  6.8313253],0
n6,1,0.057428,3.610153,[49  7] ; [19  8],[45.87951807 10.12048193] ; [22.12048193  4.87951807],0
a3,1,0.068345,3.322331,[37 19] ; [23  4],[40.48192771 15.51807229] ; [19.51807229  7.48192771],0
p5,1,0.074812,3.174159,[10 46] ; [ 1 26],[ 7.42168675 48.57831325] ; [ 3.57831325 23.42168675],0
p9,1,0.125948,2.341754,[49  7] ; [20  7],[46.55421687  9.44578313] ; [22.44578313  4.55421687],0
b4,1,0.190425,1.714329,[31 25] ; [19  8],[33.73493976 22.26506024] ; [16.26506024 10.73493976],0
r1,1,0.222752,1.486553,[46 10] ; [19  8],[43.85542169 12.14457831] ; [21.14457831  5.85542169],0
s5,1,0.223181,1.483799,[30 21] ; [11 14],[27.51315789 23.48684211] ; [13.48684211 11.51315789],0
n4,1,0.242495,1.36603,[44 12] ; [18  9],[41.8313253 14.1686747] ; [20.1686747  6.8313253],0
a4,1,0.273368,1.199766,[26 30] ; [16 11],[28.3373494 27.6626506] ; [13.6626506 13.3373494],0
v2,1,0.279358,1.170211,[23 33] ; [14 12],[25.26829268 30.73170732] ; [11.73170732 14.26829268],0
b5,1,0.337168,0.921171,[29 27] ; [17 10],[31.03614458 24.96385542] ; [14.96385542 12.03614458],0
v4,1,0.342959,0.899338,[53  3] ; [24  3],[51.95180723  4.04819277] ; [25.04819277  1.95180723],0
s1,1,0.342959,0.899338,[ 3 53] ; [ 3 24],[ 4.04819277 51.95180723] ; [ 1.95180723 25.04819277],0
s8,1,0.351262,0.868892,[31 25] ; [12 15],[29.01204819 26.98795181] ; [13.98795181 13.01204819],0
n3,1,0.405187,0.692877,[6 4] ; [7 2],[6.84210526 3.15789474] ; [6.15789474 2.84210526],0
a5,1,0.409335,0.680731,[41 15] ; [22  5],[42.5060241 13.4939759] ; [20.4939759  6.5060241],0
u2,1,0.412086,0.672773,[ 9 10] ; [1 3],[ 8.26086957 10.73913043] ; [1.73913043 2.26086957],0
u1,1,0.413092,0.669883,[12 44] ; [ 8 19],[13.4939759 42.5060241] ; [ 6.5060241 20.4939759],0
d3,1,0.426798,0.631522,[42 14] ; [18  9],[40.48192771 15.51807229] ; [19.51807229  7.48192771],0
d5,1,0.428236,0.627603,[46 10] ; [24  3],[47.22891566  8.77108434] ; [22.77108434  4.22891566],0
v1,1,0.44097,0.593756,[32 24] ; [13 14],[30.36144578 25.63855422] ; [14.63855422 12.36144578],0
a1,1,0.444601,0.58438,[ 2 54] ; [ 2 25],[ 2.69879518 53.30120482] ; [ 1.30120482 25.69879518],0
r3,1,0.456274,0.55502,[53  2] ; [25  2],[52.31707317  2.68292683] ; [25.68292683  1.31707317],0
s7,1,0.457821,0.551216,[37 17] ; [15 10],[35.5443038 18.4556962] ; [16.4556962  8.5443038],0
s3,1,0.458497,0.549561,[41 15] ; [21  5],[42.34146341 13.65853659] ; [19.65853659  6.34146341],0
u3,1,0.482016,0.494298,[13  6] ; [2 2],[12.39130435  6.60869565] ; [2.60869565 1.39130435],0
a7,1,0.497416,0.460445,[33 23] ; [18  9],[34.40963855 21.59036145] ; [16.59036145 10.40963855],0
p1,1,0.590824,0.289059,[ 6 50] ; [ 4 23],[ 6.74698795 49.25301205] ; [ 3.25301205 23.74698795],0
s2,1,0.632803,0.228278,[38 18] ; [19  7],[38.92682927 17.07317073] ; [18.07317073  7.92682927],0
a2,1,0.647755,0.208742,[12 44] ; [ 7 20],[12.81927711 43.18072289] ; [ 6.18072289 20.81927711],0
d1,1,0.658627,0.195195,[38 18] ; [17 10],[37.10843373 18.89156627] ; [17.89156627  9.10843373],0
n2,1,0.700668,0.147778,[7 3] ; [7 2],[7.36842105 2.63157895] ; [6.63157895 2.36842105],0
d2,1,0.736827,0.112935,[31 25] ; [16 11],[31.71084337 24.28915663] ; [15.28915663 11.71084337],0
n1,1,0.844674,0.038384,[4 6] ; [4 5],[4.21052632 5.78947368] ; [3.78947368 5.21052632],0
r4,1,0.855501,0.033162,[49  7] ; [24  3],[49.25301205  6.74698795] ; [23.74698795  3.25301205],0
b1,1,0.874386,0.024992,[28 28] ; [13 14],[27.6626506 28.3373494] ; [13.3373494 13.6626506],0
d4,1,0.882683,0.021777,[47  9] ; [23  4],[47.22891566  8.77108434] ; [22.77108434  4.22891566],0
v3,1,0.951335,0.003725,[19 37] ; [ 9 17],[19.12195122 36.87804878] ; [ 8.87804878 17.12195122],0
b2,1,0.955404,0.003127,[ 8 25] ; [ 4 13],[ 7.92 25.08] ; [ 4.08 12.92],0
b3,1,0.955404,0.003127,[ 8 25] ; [ 4 13],[ 7.92 25.08] ; [ 4.08 12.92],0
