Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,30.94382,[65 88] ; [113  40],[89. 64.] ; [89. 64.],1
p7,1,0.0,27.515532,[71 80] ; [116  36],[93.19141914 57.80858086] ; [93.80858086 58.19141914],1
p3,1,1e-06,24.827461,[ 50 102] ; [95 60],[71.79153094 80.20846906] ; [73.20846906 81.79153094],1
p2,1,0.000381,12.62258,[112  41] ; [138  17],[124.18831169  28.81168831] ; [125.81168831  29.18831169],1
p6,1,0.001424,10.174405,[ 38 113] ; [65 88],[51.16118421 99.83881579] ; [ 51.83881579 101.16118421],0
p11,1,0.00298,8.819937,[114  39] ; [136  19],[124.18831169  28.81168831] ; [125.81168831  29.18831169],0
r4,1,0.00756,7.134816,[127  26] ; [144  11],[134.62012987  18.37987013] ; [136.37987013  18.62012987],0
a5,1,0.025259,5.006058,[102  51] ; [121  34],[110.77597403  42.22402597] ; [112.22402597  42.77597403],0
n2,1,0.038566,4.279891,[25 15] ; [20  3],[28.57142857 11.42857143] ; [16.42857143  6.57142857],0
n1,1,0.057567,3.606127,[ 7 33] ; [ 9 14],[10.15873016 29.84126984] ; [ 5.84126984 17.15873016],0
r1,1,0.064198,3.425478,[120  33] ; [134  21],[126.17532468  26.82467532] ; [127.82467532  27.17532468],0
p12,1,0.066494,3.36751,[  6 147] ; [ 14 140],[  9.96742671 143.03257329] ; [ 10.03257329 143.96742671],0
v4,1,0.094385,2.797942,[140  13] ; [148   6],[143.53094463   9.46905537] ; [144.46905537   9.53094463],0
p9,1,0.095881,2.772751,[119  33] ; [131  22],[124.59016393  27.40983607] ; [125.40983607  27.59016393],0
p1,1,0.103382,2.652577,[  6 147] ; [ 13 142],[  9.43831169 143.56168831] ; [  9.56168831 145.43831169],0
p10,1,0.119904,2.418577,[116  37] ; [127  26],[121.5  31.5] ; [121.5  31.5],0
s2,1,0.122854,2.380558,[67 84] ; [55 99],[60.4 90.6] ; [61.6 92.4],0
v1,1,0.124878,2.355052,[87 61] ; [103  50],[93.42192691 54.57807309] ; [96.57807309 56.42192691],0
p5,1,0.194332,1.684467,[  5 148] ; [ 10 145],[  7.4512987 145.5487013] ; [  7.5487013 147.4512987],0
d4,1,0.204706,1.608475,[123  30] ; [133  22],[127.16883117  25.83116883] ; [128.83116883  26.16883117],0
s4,1,0.227233,1.4581,[ 17 136] ; [ 11 143],[ 13.95439739 139.04560261] ; [ 14.04560261 139.95439739],0
s1,1,0.240588,1.377145,[  5 146] ; [  2 152],[  3.46557377 147.53442623] ; [  3.53442623 150.46557377],0
d1,1,0.254276,1.299658,[87 66] ; [98 57],[91.89935065 61.10064935] ; [93.10064935 61.89935065],0
a3,1,0.279631,1.16888,[105  48] ; [115  40],[109.28571429  43.71428571] ; [110.71428571  44.28571429],0
n5,1,0.314567,1.011402,[106  45] ; [116  38],[109.90819672  41.09180328] ; [112.09180328  41.90819672],0
s6,1,0.329237,0.951896,[92 61] ; [83 69],[87.78688525 65.21311475] ; [87.21311475 64.78688525],0
u1,1,0.335029,0.92936,[ 29 124] ; [ 23 132],[ 25.83116883 127.16883117] ; [ 26.16883117 128.83116883],0
d2,1,0.358706,0.842417,[69 84] ; [78 77],[73.02272727 79.97727273] ; [73.97727273 81.02272727],0
s8,1,0.367518,0.812041,[ 53 100] ; [61 93],[56.81433225 96.18566775] ; [57.18566775 96.81433225],0
a8,1,0.371594,0.798326,[ 17 124] ; [ 21 112],[ 19.55474453 121.44525547] ; [ 18.44525547 114.55474453],0
b5,1,0.396508,0.71889,[98 55] ; [92 63],[94.38311688 58.61688312] ; [95.61688312 59.38311688],0
d3,1,0.404829,0.693935,[107  46] ; [115  40],[110.27922078  42.72077922] ; [111.72077922  43.27922078],0
v3,1,0.449044,0.573063,[74 75] ; [80 68],[77.25925926 71.74074074] ; [76.74074074 71.25925926],0
u4,1,0.485254,0.487034,[  3 150] ; [  5 150],[  3.97402597 149.02597403] ; [  4.02597403 150.97402597],0
r2,1,0.525907,0.402294,[139  13] ; [141  10],[140.4620462  11.5379538] ; [139.5379538  11.4620462],0
u2,1,0.548289,0.360391,[24 23] ; [23 17],[25.3908046 21.6091954] ; [21.6091954 18.3908046],0
b4,1,0.576548,0.311849,[91 62] ; [97 58],[93.38961039 59.61038961] ; [94.61038961 60.38961039],0
d5,1,0.591111,0.288612,[127  26] ; [125  30],[125.18181818  27.81818182] ; [126.81818182  28.18181818],0
b1,1,0.606404,0.265445,[ 51 102] ; [56 99],[53.1525974 99.8474026] ; [ 53.8474026 101.1525974],0
a2,1,0.63436,0.226194,[ 34 119] ; [ 38 117],[ 35.76623377 117.23376623] ; [ 36.23376623 118.76623377],0
n4,1,0.661835,0.191302,[116  37] ; [120  34],[117.61563518  35.38436482] ; [118.38436482  35.61563518],0
a4,1,0.766513,0.088173,[64 89] ; [67 87],[65.28664495 87.71335505] ; [65.71335505 88.28664495],0
a1,1,0.771421,0.0844,[  8 145] ; [  7 148],[  7.4512987 145.5487013] ; [  7.5487013 147.4512987],0
s7,1,0.774597,0.082006,[62 84] ; [60 87],[60.79180887 85.20819113] ; [61.20819113 85.79180887],0
b2,1,0.801129,0.063447,[32 62] ; [34 61],[32.82539683 61.17460317] ; [33.17460317 61.82539683],0
b3,1,0.801129,0.063447,[32 62] ; [34 61],[32.82539683 61.17460317] ; [33.17460317 61.82539683],0
a7,1,0.809516,0.058106,[119  34] ; [118  36],[118.11400651  34.88599349] ; [118.88599349  35.11400651],0
s3,1,0.82352,0.049738,[72 79] ; [71 82],[71.02960526 79.97039474] ; [71.97039474 81.02960526],0
a6,1,0.842988,0.039233,[109  44] ; [112  43],[109.78246753  43.21753247] ; [111.21753247  43.78246753],0
u3,1,0.845647,0.037898,[25 23] ; [20 20],[24.54545455 23.45454545] ; [20.45454545 19.54545455],0
n3,1,0.880442,0.022623,[31 10] ; [17  6],[30.75 10.25] ; [17.25  5.75],0
n6,1,0.978964,0.000695,[126  27] ; [127  27],[126.08794788  26.91205212] ; [126.91205212  27.08794788],0
r3,1,0.981693,0.000527,[147   6] ; [149   6],[147.03896104   5.96103896] ; [148.96103896   6.03896104],0
