Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.00502,7.872255,[31  1] ; [28 11],[26.5915493  5.4084507] ; [32.4084507  6.5915493],0
d1,1,0.005869,7.589985,[22 10] ; [14 25],[16.22535211 15.77464789] ; [19.77464789 19.22535211],0
s2,1,0.007844,7.068766,[28  4] ; [23 16],[22.98591549  9.01408451] ; [28.01408451 10.98591549],0
p10,1,0.00791,7.053716,[31  1] ; [28 10],[26.97142857  5.02857143] ; [32.02857143  5.97142857],0
d4,1,0.009168,6.789801,[29  3] ; [25 14],[24.33802817  7.66197183] ; [29.66197183  9.33802817],0
v1,1,0.010657,6.521682,[21 10] ; [14 24],[15.72463768 15.27536232] ; [19.27536232 18.72463768],0
p9,1,0.025595,4.983163,[31  1] ; [30  8],[27.88571429  4.11428571] ; [33.11428571  4.88571429],0
d3,1,0.026058,4.952199,[26  6] ; [22 17],[21.63380282 10.36619718] ; [26.36619718 12.63380282],0
v3,1,0.026408,4.929096,[13 18] ; [ 6 29],[ 8.92424242 22.07575758] ; [10.07575758 24.92424242],0
a5,1,0.033076,4.541833,[25  7] ; [21 18],[20.73239437 11.26760563] ; [25.26760563 13.73239437],0
s4,1,0.034556,4.467005,[13 19] ; [ 7 32],[ 9.01408451 22.98591549] ; [10.98591549 28.01408451],0
d5,1,0.054879,3.685767,[27  5] ; [25 14],[23.43661972  8.56338028] ; [28.56338028 10.43661972],0
p1,1,0.077027,3.126551,[ 7 24] ; [ 3 36],[ 4.42857143 26.57142857] ; [ 5.57142857 33.42857143],0
v2,1,0.082101,3.022805,[18 12] ; [13 21],[14.53125 15.46875] ; [16.46875 17.53125],0
b5,1,0.164242,1.934726,[17 15] ; [27 12],[19.83098592 12.16901408] ; [24.16901408 14.83098592],0
a4,1,0.179469,1.802013,[13 19] ; [10 29],[10.36619718 21.63380282] ; [12.63380282 26.36619718],0
p6,1,0.179469,1.802013,[13 19] ; [10 29],[10.36619718 21.63380282] ; [12.63380282 26.36619718],0
n2,1,0.180812,1.790936,[10  5] ; [9 1],[11.4  3.6] ; [7.6 2.4],0
p5,1,0.230996,1.434717,[ 1 31] ; [ 4 34],[ 2.28571429 29.71428571] ; [ 2.71428571 35.28571429],0
r2,1,0.242577,1.365557,[31  1] ; [35  4],[29.74647887  2.25352113] ; [36.25352113  2.74647887],0
s3,1,0.285535,1.140554,[25  7] ; [26 13],[22.98591549  9.01408451] ; [28.01408451 10.98591549],0
u1,1,0.305988,1.047914,[ 6 26] ; [ 4 35],[ 4.50704225 27.49295775] ; [ 5.49295775 33.50704225],0
p2,1,0.310957,1.026605,[24  8] ; [33  6],[25.69014085  6.30985915] ; [31.30985915  7.69014085],0
a2,1,0.310957,1.026605,[ 8 24] ; [ 6 33],[ 6.30985915 25.69014085] ; [ 7.69014085 31.30985915],0
b4,1,0.315065,1.009325,[21 11] ; [21 18],[18.92957746 13.07042254] ; [23.07042254 15.92957746],0
p8,1,0.370344,0.802508,[19 13] ; [19 20],[17.12676056 14.87323944] ; [20.87323944 18.12676056],0
b2,1,0.385429,0.753313,[9 8] ; [ 9 14],[7.65 9.35] ; [10.35 12.65],0
b3,1,0.385429,0.753313,[9 8] ; [ 9 14],[7.65 9.35] ; [10.35 12.65],0
p11,1,0.422361,0.643736,[21 11] ; [29 10],[22.53521127  9.46478873] ; [27.46478873 11.53521127],0
p3,1,0.423563,0.640408,[17 15] ; [17 22],[15.32394366 16.67605634] ; [18.67605634 20.32394366],0
b1,1,0.429231,0.624904,[11 21] ; [17 22],[12.61971831 19.38028169] ; [15.38028169 23.61971831],0
p12,1,0.442379,0.590105,[ 2 30] ; [ 1 38],[ 1.35211268 30.64788732] ; [ 1.64788732 37.35211268],0
p7,1,0.544145,0.367911,[20 10] ; [22 15],[18.80597015 11.19402985] ; [23.19402985 13.80597015],0
s7,1,0.562497,0.335399,[21  8] ; [25 13],[19.91044776  9.08955224] ; [26.08955224 11.91044776],0
n1,1,0.586214,0.296296,[ 5 10] ; [4 5],[5.625 9.375] ; [3.375 5.625],0
n3,1,0.609834,0.260417,[9 6] ; [7 3],[9.6 5.4] ; [6.4 3.6],0
n6,1,0.636109,0.223867,[20 11] ; [23 16],[19.04285714 11.95714286] ; [23.95714286 15.04285714],0
a6,1,0.636784,0.222973,[23  9] ; [26 13],[22.08450704  9.91549296] ; [26.91549296 12.08450704],0
r4,1,0.647778,0.208713,[29  3] ; [34  5],[28.3943662  3.6056338] ; [34.6056338  4.3943662],0
d2,1,0.65194,0.203462,[14 18] ; [15 24],[13.07042254 18.92957746] ; [15.92957746 23.07042254],0
r3,1,0.67632,0.174298,[31  1] ; [37  2],[30.64788732  1.35211268] ; [37.35211268  1.64788732],0
a3,1,0.68041,0.169664,[22 10] ; [25 14],[21.18309859 10.81690141] ; [25.81690141 13.18309859],0
