Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,3e-06,21.967786,[60 19] ; [14 29],[47.91803279 31.08196721] ; [26.08196721 16.91803279],1
a2,1,0.000186,13.968297,[28 52] ; [ 2 41],[19.51219512 60.48780488] ; [10.48780488 32.51219512],1
d5,1,0.000461,12.265175,[69 11] ; [25 18],[61.13821138 18.86178862] ; [32.86178862 10.13821138],1
r3,1,0.001138,10.587726,[65 15] ; [23 20],[57.23577236 22.76422764] ; [30.76422764 12.23577236],0
a6,1,0.00197,9.577117,[53 27] ; [16 27],[44.87804878 35.12195122] ; [24.12195122 18.87804878],0
r4,1,0.003224,8.6763,[57 23] ; [19 24],[49.43089431 30.56910569] ; [26.56910569 16.43089431],0
r2,1,0.006917,7.29448,[72  8] ; [29 12],[66.7768595 13.2231405] ; [34.2231405  6.7768595],0
u2,1,0.013265,6.133413,[13 11] ; [ 3 15],[ 9.14285714 14.85714286] ; [ 6.85714286 11.14285714],0
u1,1,0.014192,6.014128,[14 66] ; [ 1 42],[ 9.75609756 70.24390244] ; [ 5.24390244 37.75609756],0
d1,1,0.0342,4.484686,[42 38] ; [14 29],[36.42276423 43.57723577] ; [19.57723577 23.42276423],0
d4,1,0.038039,4.303271,[64 16] ; [27 16],[59.18699187 20.81300813] ; [31.81300813 11.18699187],0
b5,1,0.03862,4.277496,[56 24] ; [22 21],[50.73170732 29.26829268] ; [27.26829268 15.73170732],0
s1,1,0.039025,4.259762,[ 2 77] ; [ 5 38],[ 4.53278689 74.46721311] ; [ 2.46721311 40.53278689],0
r1,1,0.04353,4.074705,[55 24] ; [22 21],[49.86065574 29.13934426] ; [27.13934426 15.86065574],0
u3,1,0.04881,3.88189,[13 12] ; [ 4 14],[ 9.88372093 15.11627907] ; [ 7.11627907 10.88372093],0
a4,1,0.058801,3.570886,[41 39] ; [14 28],[36.06557377 43.93442623] ; [18.93442623 23.06557377],0
b1,1,0.061726,3.490383,[38 42] ; [28 15],[42.92682927 37.07317073] ; [23.07317073 19.92682927],0
n3,1,0.087107,2.927039,[17 10] ; [ 8 13],[14.0625 12.9375] ; [10.9375 10.0625],0
p3,1,0.114839,2.486335,[30 49] ; [10 32],[26.11570248 52.88429752] ; [13.88429752 28.11570248],0
v4,1,0.125543,2.346764,[67 13] ; [31 12],[63.7398374 16.2601626] ; [34.2601626  8.7398374],0
a1,1,0.1534,2.03811,[ 5 75] ; [ 6 37],[ 7.15447154 72.84552846] ; [ 3.84552846 39.15447154],0
a3,1,0.16872,1.894282,[55 23] ; [25 18],[51.57024793 26.42975207] ; [28.42975207 14.57024793],0
