Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,110.287818,[ 92 177] ; [183  42],[149.74696356 119.25303644] ; [125.25303644  99.74696356],1
p7,1,0.0,42.844805,[121 145] ; [166  56],[156.43852459 109.56147541] ; [130.56147541  91.43852459],1
p8,1,0.0,34.684468,[ 97 170] ; [140  82],[129.40490798 137.59509202] ; [107.59509202 114.40490798],1
p6,1,1e-06,24.584,[ 59 210] ; [ 95 127],[ 84.3706721 184.6293279] ; [ 69.6293279 152.3706721],1
s7,1,8.5e-05,15.448693,[ 87 174] ; [110 105],[108.01890756 152.98109244] ; [ 88.98109244 126.01890756],1
v1,1,0.000186,13.967279,[112 155] ; [127  88],[132.39211618 134.60788382] ; [106.60788382 108.39211618],1
p12,1,0.000263,13.31866,[  6 264] ; [ 22 201],[ 15.3346856 254.6653144] ; [ 12.6653144 210.3346856],1
s8,1,0.000284,13.170651,[ 82 190] ; [103 121],[101.4516129 170.5483871] ; [ 83.5483871 140.4516129],1
p5,1,0.000611,11.740986,[  7 264] ; [ 22 201],[ 15.90890688 255.09109312] ; [ 13.09109312 209.90890688],1
p10,1,0.000674,11.559057,[194  74] ; [189  33],[209.47755102  58.52244898] ; [173.52244898  48.47755102],1
p9,1,0.000933,10.956859,[202  63] ; [196  27],[216.12704918  48.87295082] ; [181.87295082  41.12704918],1
n4,1,0.001683,9.866615,[200  71] ; [192  33],[214.17741935  56.82258065] ; [177.82258065  47.17741935],0
n5,1,0.005148,7.826698,[197  73] ; [187  37],[209.87854251  60.12145749] ; [174.12145749  49.87854251],0
v3,1,0.007277,7.203411,[ 85 180] ; [ 95 121],[ 99.16839917 165.83160083] ; [ 80.83160083 135.16839917],0
p2,1,0.007855,7.066294,[210  62] ; [193  30],[221.44646465  50.55353535] ; [181.55353535  41.44646465],0
p1,1,0.014081,6.027917,[ 10 262] ; [ 20 203],[ 16.48484848 255.51515152] ; [ 13.51515152 209.48484848],0
b1,1,0.015441,5.865413,[ 84 188] ; [ 93 132],[ 96.86921529 175.13078471] ; [ 80.13078471 144.86921529],0
p11,1,0.016318,5.768233,[206  66] ; [190  35],[216.72434608  55.27565392] ; [179.27565392  45.72434608],0
s6,1,0.018632,5.535773,[141 128] ; [141  83],[153.87018256 115.12981744] ; [128.12981744  95.87018256],0
a5,1,0.01923,5.480477,[174  98] ; [166  59],[186.07645875  85.92354125] ; [153.92354125  71.07645875],0
s3,1,0.020831,5.340862,[112 156] ; [116 106],[124.70204082 143.29795918] ; [103.29795918 118.70204082],0
u1,1,0.022814,5.182633,[ 33 239] ; [ 44 181],[ 42.14084507 229.85915493] ; [ 34.85915493 190.14084507],0
r4,1,0.024308,5.07249,[228  44] ; [204  21],[236.42655936  35.57344064] ; [195.57344064  29.42655936],0
