Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.042754,4.105114,[23 21] ; [13  3],[26.4 17.6] ; [9.6 6.4],0
b4,1,0.056342,3.641925,[18 26] ; [11  5],[21.26666667 22.73333333] ; [7.73333333 8.26666667],0
p9,1,0.093372,2.815255,[24 19] ; [ 5 11],[21.13559322 21.86440678] ; [7.86440678 8.13559322],0
a4,1,0.098648,2.727273,[12 32] ; [8 8],[14.66666667 29.33333333] ; [ 5.33333333 10.66666667],0
d1,1,0.141844,2.157842,[13 31] ; [8 8],[15.4 28.6] ; [ 5.6 10.4],0
n3,1,0.171188,1.872513,[10  8] ; [4 9],[8.12903226 9.87096774] ; [5.87096774 7.12903226],0
s3,1,0.188237,1.731359,[16 27] ; [9 7],[18.22033898 24.77966102] ; [6.77966102 9.22033898],0
d3,1,0.21095,1.564896,[19 24] ; [10  6],[21.13559322 21.86440678] ; [7.86440678 8.13559322],0
p2,1,0.260542,1.265873,[20 22] ; [ 5 11],[18.10344828 23.89655172] ; [6.89655172 9.10344828],0
r2,1,0.299759,1.075267,[22 19] ; [11  5],[23.73684211 17.26315789] ; [9.26315789 6.73684211],0
a2,1,0.302705,1.06224,[ 4 40] ; [ 3 13],[ 5.13333333 38.86666667] ; [ 1.86666667 14.13333333],0
s5,1,0.314695,1.010869,[ 6 37] ; [ 4 12],[ 7.28813559 35.71186441] ; [ 2.71186441 13.28813559],0
d5,1,0.323678,0.974026,[24 20] ; [11  5],[25.66666667 18.33333333] ; [9.33333333 6.66666667],0
p11,1,0.327429,0.959041,[17 27] ; [ 4 12],[15.4 28.6] ; [ 5.6 10.4],0
a7,1,0.39075,0.736607,[22 22] ; [10  6],[23.46666667 20.53333333] ; [8.53333333 7.46666667],0
b1,1,0.391504,0.734266,[30 14] ; [9 7],[28.6 15.4] ; [10.4  5.6],0
u3,1,0.393454,0.728241,[ 7 13] ; [1 5],[ 6.15384615 13.84615385] ; [1.84615385 4.15384615],0
a3,1,0.411979,0.673084,[24 20] ; [10  5],[25.3559322 18.6440678] ; [8.6440678 6.3559322],0
b2,1,0.414216,0.666667,[10 17] ; [2 7],[ 9. 18.] ; [3. 6.],0
b3,1,0.414216,0.666667,[10 17] ; [2 7],[ 9. 18.] ; [3. 6.],0
n5,1,0.459309,0.547578,[24 20] ; [7 9],[22.73333333 21.26666667] ; [8.26666667 7.73333333],0
u2,1,0.472607,0.515873,[10 10] ; [4 2],[10.76923077  9.23076923] ; [3.23076923 2.76923077],0
s4,1,0.481321,0.495868,[ 9 35] ; [ 2 14],[ 8.06666667 35.93333333] ; [ 2.93333333 13.06666667],0
s1,1,0.481321,0.495868,[ 3 41] ; [ 2 14],[ 3.66666667 40.33333333] ; [ 1.33333333 14.66666667],0
v4,1,0.505928,0.44248,[23 20] ; [7 9],[21.86440678 21.13559322] ; [8.13559322 7.86440678],0
n2,1,0.524116,0.405785,[9 9] ; [8 5],[9.87096774 8.12903226] ; [7.12903226 5.87096774],0
p6,1,0.531674,0.391191,[ 8 33] ; [ 2 14],[ 7.19298246 33.80701754] ; [ 2.80701754 13.19298246],0
n4,1,0.559305,0.340909,[21 23] ; [9 7],[22. 22.] ; [8. 8.],0
p4,1,0.58345,0.30069,[11 32] ; [ 3 13],[10.20338983 32.79661017] ; [ 3.79661017 12.20338983],0
p10,1,0.594816,0.282886,[19 23] ; [ 6 10],[18.10344828 23.89655172] ; [6.89655172 9.10344828],0
s2,1,0.628299,0.234375,[11 33] ; [ 5 11],[11.73333333 32.26666667] ; [ 4.26666667 11.73333333],0
a5,1,0.638746,0.220386,[19 25] ; [8 8],[19.8 24.2] ; [7.2 8.8],0
n1,1,0.641039,0.217385,[ 7 11] ; [4 9],[ 6.38709677 11.61290323] ; [4.61290323 8.38709677],0
p8,1,0.648372,0.207959,[10 31] ; [ 3 13],[ 9.35087719 31.64912281] ; [ 3.64912281 12.35087719],0
p7,1,0.662374,0.190653,[20 23] ; [6 9],[19.27586207 23.72413793] ; [6.72413793 8.27586207],0
a6,1,0.668351,0.183537,[22 22] ; [9 7],[22.73333333 21.26666667] ; [8.26666667 7.73333333],0
v1,1,0.670819,0.180646,[16 27] ; [ 5 11],[15.30508475 27.69491525] ; [ 5.69491525 10.30508475],0
p3,1,0.69527,0.153439,[ 7 35] ; [ 2 14],[ 6.51724138 35.48275862] ; [ 2.48275862 13.51724138],0
s7,1,0.72158,0.126984,[10 32] ; [ 4 10],[10.5 31.5] ; [ 3.5 10.5],0
