Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,46.57753,[10 96] ; [21 10],[23.98540146 82.01459854] ; [ 7.01459854 23.98540146],1
s2,1,1e-05,19.519863,[29 77] ; [22  9],[39.45985401 66.54014599] ; [11.54014599 19.45985401],1
s6,1,1.2e-05,19.238651,[41 64] ; [26  5],[51.72794118 53.27205882] ; [15.27205882 15.72794118],1
b3,1,6.1e-05,16.056612,[ 7 38] ; [11  5],[13.27868852 31.72131148] ; [ 4.72131148 11.27868852],1
b2,1,6.1e-05,16.056612,[ 7 38] ; [11  5],[13.27868852 31.72131148] ; [ 4.72131148 11.27868852],1
s3,1,0.000244,13.454423,[36 70] ; [22  9],[44.87591241 61.12408759] ; [13.12408759 17.87591241],1
s4,1,0.004973,7.889083,[19 88] ; [13 18],[24.8115942 82.1884058] ; [ 7.1884058 23.8115942],0
s5,1,0.009416,6.742137,[21 84] ; [13 17],[26.44444444 78.55555556] ; [ 7.55555556 22.44444444],0
a7,1,0.014797,5.940497,[68 38] ; [27  4],[73.50364964 32.49635036] ; [21.49635036  9.50364964],0
u3,1,0.023485,5.132273,[23 29] ; [9 2],[26.41269841 25.58730159] ; [5.58730159 5.41269841],0
v1,1,0.039228,4.250952,[36 69] ; [17 14],[40.91911765 64.08088235] ; [12.08088235 18.91911765],0
p10,1,0.043567,4.073276,[63 42] ; [24  6],[67.66666667 37.33333333] ; [19.33333333 10.66666667],0
n1,1,0.072518,3.225096,[ 8 38] ; [5 7],[10.31034483 35.68965517] ; [2.68965517 9.31034483],0
d5,1,0.083622,2.993064,[68 38] ; [25  6],[71.95620438 34.04379562] ; [21.04379562  9.95620438],0
r4,1,0.085083,2.965028,[77 30] ; [27  4],[80.63768116 26.36231884] ; [23.36231884  7.63768116],0
u2,1,0.107986,2.583458,[22 30] ; [7 3],[24.32258065 27.67741935] ; [4.67741935 5.32258065],0
p9,1,0.166019,1.918528,[74 32] ; [24  5],[76.94814815 29.05185185] ; [21.05185185  7.94814815],0
v2,1,0.201363,1.632462,[42 63] ; [14 12],[44.88549618 60.11450382] ; [11.11450382 14.88549618],0
a3,1,0.213998,1.544174,[55 51] ; [20 11],[58.02919708 47.97080292] ; [16.97080292 14.02919708],0
v3,1,0.223381,1.482516,[22 82] ; [ 9 19],[24.42424242 79.57575758] ; [ 6.57575758 21.42424242],0
n6,1,0.24014,1.379773,[71 36] ; [17 14],[68.23188406 38.76811594] ; [19.76811594 11.23188406],0
r2,1,0.252726,1.308169,[91 15] ; [29  2],[92.84671533 13.15328467] ; [27.15328467  3.84671533],0
b5,1,0.270508,1.214167,[67 40] ; [16 15],[64.35507246 42.64492754] ; [18.64492754 12.35507246],0
a6,1,0.326525,0.96263,[62 45] ; [21 10],[64.35507246 42.64492754] ; [18.64492754 12.35507246],0
r1,1,0.392238,0.731993,[67 40] ; [22  9],[69.00724638 37.99275362] ; [19.99275362 11.00724638],0
r3,1,0.395351,0.72242,[94 13] ; [28  2],[95.28467153 11.71532847] ; [26.71532847  3.28467153],0
n2,1,0.437728,0.602231,[29 17] ; [9 3],[30.13793103 15.86206897] ; [7.86206897 4.13793103],0
d1,1,0.493163,0.469618,[41 66] ; [14 17],[42.64492754 64.35507246] ; [12.35507246 18.64492754],0
a5,1,0.506748,0.440776,[48 59] ; [16 15],[49.62318841 57.37681159] ; [14.37681159 16.62318841],0
p1,1,0.52158,0.410767,[  4 102] ; [ 2 29],[  4.64233577 101.35766423] ; [ 1.35766423 29.64233577],0
b1,1,0.534827,0.385213,[35 72] ; [12 19],[36.44202899 70.55797101] ; [10.55797101 20.44202899],0
a2,1,0.563492,0.333694,[10 97] ; [ 4 27],[10.85507246 96.14492754] ; [ 3.14492754 27.85507246],0
p3,1,0.569817,0.32299,[16 90] ; [ 6 25],[17.02189781 88.97810219] ; [ 4.97810219 26.02189781],0
p6,1,0.606985,0.264589,[14 90] ; [ 5 24],[14.85714286 89.14285714] ; [ 4.14285714 24.85714286],0
d3,1,0.613927,0.254496,[59 46] ; [19 12],[60.22058824 44.77941176] ; [17.77941176 13.22058824],0
p2,1,0.675839,0.174848,[71 35] ; [22  9],[71.95620438 34.04379562] ; [21.04379562  9.95620438],0
b4,1,0.688238,0.161,[63 44] ; [17 14],[62.02898551 44.97101449] ; [17.97101449 13.02898551],0
p7,1,0.693786,0.155017,[41 62] ; [10 18],[40.09923664 62.90076336] ; [10.90076336 17.09923664],0
d2,1,0.698153,0.1504,[34 73] ; [11 20],[34.89130435 72.10869565] ; [10.10869565 20.89130435],0
v4,1,0.70466,0.14367,[94 11] ; [27  4],[93.41911765 11.58088235] ; [27.58088235  3.41911765],0
p8,1,0.708334,0.139947,[33 74] ; [10 19],[33.83088235 73.16911765] ; [ 9.16911765 19.83088235],0
p11,1,0.744465,0.106241,[69 38] ; [19 12],[68.23188406 38.76811594] ; [19.76811594 11.23188406],0
d4,1,0.762765,0.091114,[80 27] ; [24  7],[80.63768116 26.36231884] ; [23.36231884  7.63768116],0
a4,1,0.778961,0.078777,[25 82] ; [ 8 23],[25.58695652 81.41304348] ; [ 7.41304348 23.58695652],0
n3,1,0.865534,0.028674,[28 18] ; [7 4],[28.24561404 17.75438596] ; [6.75438596 4.24561404],0
a8,1,0.88206,0.02201,[ 4 98] ; [ 1 29],[ 3.86363636 98.13636364] ; [ 1.13636364 28.86363636],0
n5,1,0.959528,0.002575,[34 73] ; [10 21],[34.11594203 72.88405797] ; [ 9.88405797 21.11594203],0
u1,1,0.985672,0.000323,[  7 100] ; [ 2 29],[  6.97826087 100.02173913] ; [ 2.02173913 28.97826087],0
