Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.000138,14.523517,[ 1 15] ; [6 1],[ 4.86956522 11.13043478] ; [2.13043478 4.86956522],1
s8,1,0.003896,8.331823,[ 5 24] ; [9 6],[ 9.22727273 19.77272727] ; [ 4.77272727 10.22727273],0
r1,1,0.006027,7.542133,[ 7 22] ; [10  5],[11.20454545 17.79545455] ; [5.79545455 9.20454545],0
n3,1,0.02767,4.848485,[9 3] ; [2 6],[6.6 5.4] ; [4.4 3.6],0
d4,1,0.036699,4.364307,[16 13] ; [13  2],[19.11363636  9.88636364] ; [9.88636364 5.11363636],0
b3,1,0.036966,4.351974,[ 3 15] ; [5 4],[ 5.33333333 12.66666667] ; [2.66666667 6.33333333],0
b2,1,0.036966,4.351974,[ 3 15] ; [5 4],[ 5.33333333 12.66666667] ; [2.66666667 6.33333333],0
s5,1,0.049265,3.866288,[ 4 25] ; [6 9],[ 6.59090909 22.40909091] ; [ 3.40909091 11.59090909],0
v3,1,0.049265,3.866288,[ 4 25] ; [6 9],[ 6.59090909 22.40909091] ; [ 3.40909091 11.59090909],0
p10,1,0.058319,3.584543,[17 12] ; [13  2],[19.77272727  9.22727273] ; [10.22727273  4.77272727],0
a4,1,0.067504,3.342691,[ 9 20] ; [ 1 14],[ 6.59090909 22.40909091] ; [ 3.40909091 11.59090909],0
v1,1,0.092393,2.832184,[ 8 21] ; [8 7],[10.54545455 18.45454545] ; [5.45454545 9.54545455],0
p3,1,0.092393,2.832184,[ 8 21] ; [8 7],[10.54545455 18.45454545] ; [5.45454545 9.54545455],0
s3,1,0.098416,2.731034,[ 5 24] ; [6 9],[ 7.25 21.75] ; [ 3.75 11.25],0
s6,1,0.11179,2.528736,[12 17] ; [10  5],[14.5 14.5] ; [7.5 7.5],0
d1,1,0.135397,2.229502,[10 19] ; [ 2 13],[ 7.90909091 21.09090909] ; [ 4.09090909 10.90909091],0
d5,1,0.166993,1.909736,[15 14] ; [11  4],[17.13636364 11.86363636] ; [8.86363636 6.13636364],0
p4,1,0.166993,1.909736,[15 14] ; [11  4],[17.13636364 11.86363636] ; [8.86363636 6.13636364],0
p9,1,0.198672,1.652107,[20  9] ; [13  2],[21.75  7.25] ; [11.25  3.75],0
b5,1,0.241126,1.373999,[17 12] ; [6 9],[15.15909091 13.84090909] ; [7.84090909 7.15909091],0
p8,1,0.241126,1.373999,[12 17] ; [9 6],[13.84090909 15.15909091] ; [7.15909091 7.84090909],0
b1,1,0.245513,1.348659,[14 15] ; [10  5],[15.81818182 13.18181818] ; [8.18181818 6.81818182],0
s2,1,0.27433,1.194969,[ 7 22] ; [6 9],[ 8.56818182 20.43181818] ; [ 4.43181818 10.56818182],0
d2,1,0.318236,0.996184,[10 19] ; [ 3 12],[ 8.56818182 20.43181818] ; [ 4.43181818 10.56818182],0
v4,1,0.318236,0.996184,[19 10] ; [12  3],[20.43181818  8.56818182] ; [10.56818182  4.43181818],0
b4,1,0.340023,0.910345,[16 13] ; [6 9],[14.5 14.5] ; [7.5 7.5],0
a5,1,0.340023,0.910345,[13 16] ; [9 6],[14.5 14.5] ; [7.5 7.5],0
