Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,5e-06,20.937539,[40  2] ; [10 12],[32.8125  9.1875] ; [17.1875  4.8125],1
s7,1,0.00011,14.957895,[26 12] ; [ 3 17],[19. 19.] ; [10. 10.],1
s3,1,0.000145,14.442044,[24 17] ; [ 2 20],[16.92063492 24.07936508] ; [ 9.07936508 12.92063492],1
s2,1,0.000229,13.57412,[26 16] ; [ 3 19],[19.03125 22.96875] ; [ 9.96875 12.03125],1
s8,1,0.000277,13.217281,[23 18] ; [ 2 20],[16.26984127 24.73015873] ; [ 8.73015873 13.26984127],1
r1,1,0.002618,9.056159,[37  5] ; [12 10],[32.15625  9.84375] ; [16.84375  5.15625],0
n6,1,0.003129,8.730599,[36  5] ; [12 10],[31.23809524  9.76190476] ; [16.76190476  5.23809524],0
r3,1,0.003251,8.660979,[39  3] ; [14  8],[34.78125  7.21875] ; [18.21875  3.78125],0
p6,1,0.015218,5.891008,[13 29] ; [ 1 21],[ 9.1875 32.8125] ; [ 4.8125 17.1875],0
b5,1,0.033066,4.542358,[27 15] ; [ 8 14],[22.96875 19.03125] ; [12.03125  9.96875],0
p4,1,0.039349,4.245757,[16 24] ; [ 3 18],[12.45901639 27.54098361] ; [ 6.54098361 14.45901639],0
v1,1,0.065846,3.383663,[23 18] ; [ 7 15],[19.52380952 21.47619048] ; [10.47619048 11.52380952],0
a6,1,0.065898,3.382362,[30 11] ; [11 11],[26.68253968 14.31746032] ; [14.31746032  7.68253968],0
a5,1,0.076003,3.148367,[32 10] ; [12 10],[28.875 13.125] ; [15.125  6.875],0
d3,1,0.116922,2.458072,[27 14] ; [10 12],[24.07936508 16.92063492] ; [12.92063492  9.07936508],0
a3,1,0.144814,2.126042,[27 15] ; [18  4],[29.53125 12.46875] ; [15.46875  6.53125],0
p11,1,0.147382,2.099138,[27 15] ; [10 12],[24.28125 17.71875] ; [12.71875  9.28125],0
a2,1,0.151901,2.053058,[10 32] ; [ 2 20],[ 7.875 34.125] ; [ 4.125 17.875],0
p1,1,0.17898,1.806074,[ 3 39] ; [ 4 18],[ 4.59375 37.40625] ; [ 2.40625 19.59375],0
n1,1,0.196667,1.666955,[1 6] ; [4 5],[2.1875 4.8125] ; [2.8125 6.1875],0
n4,1,0.198837,1.650895,[33  9] ; [14  8],[30.84375 11.15625] ; [16.15625  5.84375],0
v4,1,0.257404,1.282668,[37  5] ; [17  5],[35.4375  6.5625] ; [18.5625  3.4375],0
p3,1,0.259958,1.268982,[15 26] ; [ 5 17],[13.01587302 27.98412698] ; [ 6.98412698 15.01587302],0
b1,1,0.299159,1.07794,[19 23] ; [ 7 15],[17.0625 24.9375] ; [ 8.9375 13.0625],0
d4,1,0.31592,1.005765,[31 10] ; [14  8],[29.28571429 11.71428571] ; [15.71428571  6.28571429],0
a7,1,0.318074,0.99685,[30 12] ; [13  9],[28.21875 13.78125] ; [14.78125  7.21875],0
b2,1,0.354052,0.858879,[10 19] ; [6 6],[11.31707317 17.68292683] ; [4.68292683 7.31707317],0
b3,1,0.354052,0.858879,[10 19] ; [6 6],[11.31707317 17.68292683] ; [4.68292683 7.31707317],0
p7,1,0.369874,0.804088,[14 26] ; [ 5 16],[12.45901639 27.54098361] ; [ 6.54098361 14.45901639],0
u3,1,0.372374,0.795726,[11  4] ; [2 2],[10.26315789  4.73684211] ; [2.73684211 1.26315789],0
u2,1,0.372374,0.795726,[11  4] ; [2 2],[10.26315789  4.73684211] ; [2.73684211 1.26315789],0
a4,1,0.42572,0.634471,[13 29] ; [ 9 13],[14.4375 27.5625] ; [ 7.5625 14.4375],0
b4,1,0.448111,0.575425,[27 15] ; [12 10],[25.59375 16.40625] ; [13.40625  8.59375],0
v2,1,0.482864,0.492387,[27 15] ; [11  9],[25.74193548 16.25806452] ; [12.25806452  7.74193548],0
d1,1,0.48881,0.479144,[21 21] ; [ 9 13],[19.6875 22.3125] ; [10.3125 11.6875],0
p9,1,0.492742,0.470533,[26 15] ; [12 10],[24.73015873 16.26984127] ; [13.26984127  8.73015873],0
s1,1,0.616604,0.25067,[ 4 38] ; [ 3 19],[ 4.59375 37.40625] ; [ 2.40625 19.59375],0
p10,1,0.621161,0.244239,[25 16] ; [12 10],[24.07936508 16.92063492] ; [12.92063492  9.07936508],0
p8,1,0.634359,0.226196,[11 31] ; [ 7 15],[11.8125 30.1875] ; [ 6.1875 15.8125],0
r2,1,0.74172,0.108621,[39  3] ; [19  2],[38.66666667  3.33333333] ; [19.33333333  1.66666667],0
n5,1,0.787147,0.07291,[30 12] ; [15  7],[29.53125 12.46875] ; [15.46875  6.53125],0
a1,1,0.842305,0.039579,[ 5 37] ; [ 3 19],[ 5.25 36.75] ; [ 2.75 19.25],0
d5,1,0.851758,0.034922,[27 14] ; [15  7],[27.33333333 13.66666667] ; [14.66666667  7.33333333],0
n2,1,0.857596,0.032197,[5 3] ; [6 3],[5.17647059 2.82352941] ; [5.82352941 3.17647059],0
s4,1,0.914081,0.011641,[ 6 35] ; [ 3 19],[ 5.85714286 35.14285714] ; [ 3.14285714 18.85714286],0
d2,1,0.926459,0.008519,[20 21] ; [11 11],[20.17460317 20.82539683] ; [10.82539683 11.17460317],0
n3,1,1.0,0.0,[4 4] ; [4 4],[4. 4.] ; [4. 4.],0
