Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.000129,14.656815,[56 26] ; [32 51],[43.73333333 38.26666667] ; [44.26666667 38.73333333],1
d5,1,0.000344,12.81395,[50 33] ; [27 56],[38.5 44.5] ; [38.5 44.5],1
v1,1,0.002189,9.383868,[46 35] ; [27 55],[36.27607362 44.72392638] ; [36.72392638 45.27607362],0
r1,1,0.002517,9.128104,[60 23] ; [41 42],[50.5 32.5] ; [50.5 32.5],0
a5,1,0.003149,8.719046,[49 34] ; [30 53],[39.5 43.5] ; [39.5 43.5],0
p9,1,0.009687,6.691596,[64 18] ; [48 33],[56.34355828 25.65644172] ; [55.65644172 25.34355828],0
s5,1,0.010292,6.583715,[28 51] ; [14 66],[20.86792453 58.13207547] ; [21.13207547 58.86792453],0
p10,1,0.012285,6.269199,[60 22] ; [44 37],[52.3190184 29.6809816] ; [51.6809816 29.3190184],0
r3,1,0.018223,5.574627,[73 10] ; [61 22],[67. 16.] ; [67. 16.],0
v2,1,0.020064,5.406342,[38 42] ; [23 55],[30.88607595 49.11392405] ; [30.11392405 47.88607595],0
p3,1,0.020843,5.339892,[38 44] ; [24 59],[30.81212121 51.18787879] ; [31.18787879 51.81212121],0
b3,1,0.029562,4.734588,[27 26] ; [16 37],[21.5 31.5] ; [21.5 31.5],0
b2,1,0.029562,4.734588,[27 26] ; [16 37],[21.5 31.5] ; [21.5 31.5],0
s2,1,0.029643,4.72988,[39 44] ; [25 57],[32.19393939 50.80606061] ; [31.80606061 50.19393939],0
s7,1,0.043037,4.093947,[39 42] ; [26 54],[32.70186335 48.29813665] ; [32.29813665 47.70186335],0
v3,1,0.046482,3.964032,[31 50] ; [19 61],[25.1552795 55.8447205] ; [24.8447205 55.1552795],0
p7,1,0.046751,3.954324,[50 30] ; [39 44],[43.6809816 36.3190184] ; [45.3190184 37.6809816],0
n2,1,0.047182,3.938899,[20  2] ; [26 12],[16.86666667  5.13333333] ; [29.13333333  8.86666667],0
d2,1,0.059418,3.553567,[12 70] ; [22 61],[16.8969697 65.1030303] ; [17.1030303 65.8969697],0
r4,1,0.064227,3.424723,[63 20] ; [52 31],[57.5 25.5] ; [57.5 25.5],0
b1,1,0.117322,2.452719,[31 52] ; [41 42],[36. 47.] ; [36. 47.],0
a1,1,0.118728,2.434018,[ 8 75] ; [ 3 80],[ 5.5 77.5] ; [ 5.5 77.5],0
s3,1,0.183402,1.769835,[46 36] ; [37 44],[41.75460123 40.24539877] ; [41.24539877 39.75460123],0
n6,1,0.195958,1.672248,[62 19] ; [56 27],[58.2804878 22.7195122] ; [59.7195122 23.2804878],0
u3,1,0.200732,1.637037,[13 14] ; [17 34],[10.38461538 16.61538462] ; [19.61538462 31.38461538],0
a4,1,0.215196,1.53612,[23 60] ; [16 66],[19.61818182 63.38181818] ; [19.38181818 62.61818182],0
p2,1,0.222482,1.488289,[58 23] ; [52 31],[54.32926829 26.67073171] ; [55.67073171 27.32926829],0
u2,1,0.225548,1.468721,[15 12] ; [21 30],[12.46153846 14.53846154] ; [23.53846154 27.46153846],0
a8,1,0.251722,1.313719,[ 7 74] ; [11 65],[ 9.2866242 71.7133758] ; [ 8.7133758 67.2866242],0
s6,1,0.264342,1.245871,[45 34] ; [39 42],[41.475 37.525] ; [42.525 38.475],0
s8,1,0.297275,1.086378,[31 51] ; [25 58],[27.83030303 54.16969697] ; [28.16969697 54.83030303],0
n5,1,0.335783,0.926466,[55 26] ; [62 21],[57.78658537 23.21341463] ; [59.21341463 23.78658537],0
p1,1,0.398586,0.712589,[ 5 77] ; [ 8 75],[ 6.46060606 75.53939394] ; [ 6.53939394 76.46060606],0
p5,1,0.411438,0.67464,[ 5 76] ; [ 8 75],[ 6.42073171 74.57926829] ; [ 6.57926829 76.42073171],0
n3,1,0.42086,0.647913,[13  9] ; [25 11],[14.4137931  7.5862069] ; [23.5862069 12.4137931],0
b4,1,0.436459,0.605574,[42 41] ; [47 36],[44.5 38.5] ; [44.5 38.5],0
d3,1,0.441724,0.5918,[19 64] ; [15 68],[17. 66.] ; [17. 66.],0
p8,1,0.443697,0.586703,[33 48] ; [29 54],[30.62195122 50.37804878] ; [31.37804878 51.62195122],0
s1,1,0.488614,0.479577,[ 4 79] ; [ 6 75],[ 5.06097561 77.93902439] ; [ 4.93902439 76.06097561],0
n4,1,0.507531,0.439153,[54 29] ; [58 25],[56. 27.] ; [56. 27.],0
s4,1,0.528082,0.398082,[12 71] ; [15 68],[13.5 69.5] ; [13.5 69.5],0
a6,1,0.531022,0.392435,[34 49] ; [38 45],[36. 47.] ; [36. 47.],0
b5,1,0.534622,0.385598,[44 39] ; [40 43],[42. 41.] ; [42. 41.],0
u1,1,0.560136,0.339468,[ 1 82] ; [ 2 81],[ 1.5 81.5] ; [ 1.5 81.5],0
p11,1,0.609711,0.260597,[60 23] ; [57 26],[58.5 24.5] ; [58.5 24.5],0
p4,1,0.652314,0.202996,[36 45] ; [34 49],[34.57317073 46.42682927] ; [35.42682927 47.57317073],0
n1,1,0.750401,0.101194,[ 8 14] ; [15 22],[ 8.57627119 13.42372881] ; [14.42372881 22.57627119],0
p6,1,0.783743,0.07532,[19 61] ; [21 61],[19.75308642 60.24691358] ; [20.24691358 61.75308642],0
p12,1,0.786924,0.073066,[ 5 76] ; [ 6 77],[ 5.43292683 75.56707317] ; [ 5.56707317 77.43292683],0
r2,1,0.812851,0.05605,[68 15] ; [66 16],[67.40606061 15.59393939] ; [66.59393939 15.40606061],0
v4,1,0.879959,0.022807,[70 13] ; [69 12],[70.34756098 12.65243902] ; [68.65243902 12.34756098],0
a2,1,1.0,0.0,[ 3 80] ; [ 3 80],[ 3. 80.] ; [ 3. 80.],0
