Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,50.600945,[ 1 11] ; [129  16],[9.93630573 2.06369427] ; [120.06369427  24.93630573],1
r3,1,1e-06,24.093015,[5 7] ; [131  13],[10.46153846  1.53846154] ; [125.53846154  18.46153846],1
a7,1,2.9e-05,17.481359,[ 2 10] ; [107  37],[8.38461538 3.61538462] ; [100.61538462  43.38461538],1
v4,1,0.000201,13.821915,[8 4] ; [138   7],[11.15923567  0.84076433] ; [134.84076433  10.15923567],1
a5,1,0.000204,13.79054,[ 2 10] ; [101  44],[7.87261146 4.12738854] ; [95.12738854 49.87261146],1
p10,1,0.000214,13.704635,[ 1 11] ; [89 52],[7.05882353 4.94117647] ; [82.94117647 58.05882353],1
r1,1,0.001323,10.309612,[4 8] ; [109  34],[8.7483871 3.2516129] ; [104.2516129  38.7483871],0
d5,1,0.001418,10.182498,[5 7] ; [117  27],[9.38461538 2.61538462] ; [112.61538462  31.38461538],0
d2,1,0.002659,9.027778,[ 1 11] ; [77 67],[6. 6.] ; [72. 72.],0
v2,1,0.005472,7.71652,[ 1 11] ; [71 71],[5.61038961 6.38961039] ; [66.38961039 75.61038961],0
p9,1,0.005509,7.704278,[3 8] ; [96 44],[7.21192053 3.78807947] ; [91.78807947 48.21192053],0
s6,1,0.006437,7.423687,[4 8] ; [100  40],[8.21052632 3.78947368] ; [95.78947368 44.21052632],0
d1,1,0.008949,6.832967,[ 2 10] ; [81 64],[6.34394904 5.65605096] ; [76.65605096 68.34394904],0
v1,1,0.0098,6.670973,[ 1 11] ; [67 76],[5.26451613 6.73548387] ; [62.73548387 80.26451613],0
a4,1,0.012492,6.239637,[ 1 11] ; [65 78],[5.10967742 6.89032258] ; [60.89032258 82.10967742],0
s8,1,0.015774,5.827926,[ 1 11] ; [63 80],[4.95483871 7.04516129] ; [59.04516129 83.95483871],0
a3,1,0.016888,5.707988,[4 8] ; [96 46],[7.79220779 4.20779221] ; [92.20779221 49.79220779],0
a6,1,0.027414,4.864546,[3 9] ; [84 61],[6.64968153 5.35031847] ; [80.35031847 64.64968153],0
d4,1,0.029936,4.712945,[6 6] ; [113  32],[9.0955414 2.9044586] ; [109.9044586  35.0955414],0
n3,1,0.033389,4.525714,[1 4] ; [34 16],[3.18181818 1.81818182] ; [31.81818182 18.18181818],0
s3,1,0.061011,3.509684,[3 9] ; [76 67],[6.11612903 5.88387097] ; [72.88387097 70.11612903],0
p7,1,0.061011,3.509684,[3 9] ; [76 67],[6.11612903 5.88387097] ; [72.88387097 70.11612903],0
s2,1,0.064436,3.419365,[3 9] ; [76 68],[6.07692308 5.92307692] ; [72.92307692 71.07692308],0
n2,1,0.078851,3.088436,[2 3] ; [39 12],[3.66071429 1.33928571] ; [37.33928571 13.66071429],0
b1,1,0.100338,2.700162,[9 3] ; [73 72],[6.26751592 5.73248408] ; [75.73248408 69.26751592],0
p2,1,0.133016,2.256944,[6 6] ; [102  42],[8.30769231 3.69230769] ; [99.69230769 44.30769231],0
s7,1,0.140652,2.17081,[3 8] ; [67 66],[5.34722222 5.65277778] ; [64.65277778 68.34722222],0
u2,1,0.156043,2.012159,[1 7] ; [18 29],[2.76363636 5.23636364] ; [16.23636364 30.76363636],0
v3,1,0.177747,1.816359,[ 2 10] ; [51 91],[4.12987013 7.87012987] ; [48.87012987 93.12987013],0
u3,1,0.189297,1.723077,[2 6] ; [24 24],[3.71428571 4.28571429] ; [22.28571429 25.71428571],0
d3,1,0.243628,1.359477,[6 6] ; [96 48],[7.84615385 4.15384615] ; [94.15384615 49.84615385],0
b5,1,0.27658,1.183819,[10  2] ; [99 46],[8.33121019 3.66878981] ; [100.66878981  44.33121019],0
a8,1,0.283827,1.148675,[2 8] ; [ 12 116],[1.01449275 8.98550725] ; [ 12.98550725 115.01449275],0
p12,1,0.29055,1.11707,[ 1 11] ; [  4 141],[ 0.38216561 11.61783439] ; [  4.61783439 140.38216561],0
n4,1,0.335521,0.92747,[7 5] ; [103  41],[8.46153846 3.53846154] ; [101.53846154  42.46153846],0
n5,1,0.355874,0.852402,[7 5] ; [103  42],[8.40764331 3.59235669] ; [101.59235669  43.40764331],0
p8,1,0.466168,0.531046,[3 9] ; [51 93],[4.15384615 7.84615385] ; [49.84615385 94.15384615],0
a1,1,0.498589,0.457938,[ 1 11] ; [  6 139],[ 0.53503185 11.46496815] ; [  6.46496815 138.53503185],0
b3,1,0.59982,0.275268,[3 5] ; [20 50],[2.35897436 5.64102564] ; [20.64102564 49.35897436],0
b2,1,0.59982,0.275268,[3 5] ; [20 50],[2.35897436 5.64102564] ; [20.64102564 49.35897436],0
s4,1,0.654254,0.200579,[ 2 10] ; [ 32 112],[2.61538462 9.38461538] ; [ 31.38461538 112.61538462],0
s1,1,0.696774,0.15185,[ 1 11] ; [  8 135],[ 0.69677419 11.30322581] ; [  8.30322581 134.69677419],0
b4,1,0.761632,0.092014,[7 5] ; [78 67],[6.49681529 5.50318471] ; [78.50318471 66.49681529],0
p4,1,0.907336,0.013549,[6 6] ; [74 69],[6.19354839 5.80645161] ; [73.80645161 69.19354839],0
p3,1,0.924944,0.008875,[5 7] ; [58 86],[4.84615385 7.15384615] ; [58.15384615 85.84615385],0
p5,1,0.935549,0.006539,[ 1 11] ; [ 13 131],[ 1.07692308 10.92307692] ; [ 12.92307692 131.07692308],0
p1,1,0.941132,0.005453,[ 1 11] ; [ 13 132],[ 1.07006369 10.92993631] ; [ 12.92993631 132.07006369],0
