Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,41.667097,[252   8] ; [27 12],[242.60869565  17.39130435] ; [36.39130435  2.60869565],1
r2,1,0.0,40.564743,[256   2] ; [31  8],[249.31313131   8.68686869] ; [37.68686869  1.31313131],1
u1,1,0.001825,9.717745,[ 83 177] ; [ 3 36],[ 74.7826087 185.2173913] ; [11.2173913 27.7826087],0
a2,1,0.00384,8.357737,[102 158] ; [ 6 33],[ 93.91304348 166.08695652] ; [14.08695652 24.91304348],0
r3,1,0.004508,8.06689,[255   5] ; [35  4],[252.17391304   7.82608696] ; [37.82608696  1.17391304],0
a6,1,0.009982,6.638023,[196  62] ; [22 17],[189.37373737  68.62626263] ; [28.62626263 10.37373737],0
n3,1,0.012597,6.224869,[34 11] ; [4 7],[30.53571429 14.46428571] ; [7.46428571 3.53571429],0
a7,1,0.014469,5.98,[206  54] ; [24 15],[200.  60.] ; [30.  9.],0
v4,1,0.017785,5.617221,[256   4] ; [36  3],[253.91304348   6.08695652] ; [38.08695652  0.91304348],0
n4,1,0.027485,4.860056,[222  37] ; [28 11],[217.28187919  41.71812081] ; [32.71812081  6.28187919],0
a8,1,0.037632,4.32158,[ 35 188] ; [ 1 35],[ 30.996139 192.003861] ; [ 5.003861 30.996139],0
a5,1,0.046023,3.980769,[230  30] ; [30  9],[226.08695652  33.91304348] ; [33.91304348  5.08695652],0
p7,1,0.070255,3.277049,[180  69] ; [22 16],[175.2543554  73.7456446] ; [26.7456446 11.2543554],0
p2,1,0.087723,2.915661,[229  29] ; [30  8],[225.75  32.25] ; [33.25  4.75],0
a4,1,0.120595,2.409581,[160  99] ; [19 20],[155.5738255 103.4261745] ; [23.4261745 15.5738255],0
p8,1,0.127664,2.320685,[164  91] ; [19 18],[159.81164384  95.18835616] ; [23.18835616 13.81164384],0
s7,1,0.160104,1.973244,[140 106] ; [17 21],[135.99295775 110.00704225] ; [21.00704225 16.99295775],0
p1,1,0.169159,1.890378,[ 22 237] ; [ 6 33],[ 24.33557047 234.66442953] ; [ 3.66442953 35.33557047],0
b1,1,0.188302,1.730851,[ 98 162] ; [19 20],[101.73913043 158.26086957] ; [15.26086957 23.73913043],0
p12,1,0.195258,1.677491,[ 32 225] ; [ 2 36],[ 29.62033898 227.37966102] ; [ 4.37966102 33.62033898],0
p3,1,0.227105,1.458899,[154 103] ; [26 11],[157.34693878  99.65306122] ; [22.65306122 14.34693878],0
n5,1,0.230567,1.437359,[219  40] ; [30  9],[216.41275168  42.58724832] ; [32.58724832  6.41275168],0
b2,1,0.236781,1.399654,[76 91] ; [ 9 18],[73.17010309 93.82989691] ; [11.82989691 15.17010309],0
b3,1,0.236781,1.399654,[76 91] ; [ 9 18],[73.17010309 93.82989691] ; [11.82989691 15.17010309],0
p9,1,0.251129,1.317014,[231  24] ; [33  6],[228.97959184  26.02040816] ; [35.02040816  3.97959184],0
p10,1,0.279152,1.171216,[225  31] ; [31  7],[222.91156463  33.08843537] ; [33.08843537  4.91156463],0
d4,1,0.297738,1.084298,[256   2] ; [38  1],[255.39393939   2.60606061] ; [38.60606061  0.39393939],0
p4,1,0.317646,0.998615,[189  68] ; [25 13],[186.43389831  70.56610169] ; [27.56610169 10.43389831],0
d2,1,0.390962,0.735948,[189  69] ; [26 13],[186.76767677  71.23232323] ; [28.23232323 10.76767677],0
d3,1,0.402266,0.701541,[231  28] ; [33  6],[229.44966443  29.55033557] ; [34.55033557  4.44966443],0
