Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,39.097132,[72 60] ; [ 26 116],[47.21167883 84.78832117] ; [50.78832117 91.21167883],1
p3,1,1e-06,24.435885,[49 86] ; [ 16 127],[ 31.5647482 103.4352518] ; [ 33.4352518 109.5647482],1
p2,1,1e-05,19.474029,[119  16] ; [94 49],[103.4352518  31.5647482] ; [109.5647482  33.4352518],1
p6,1,0.00022,13.65,[31 99] ; [ 11 132],[ 20. 110.] ; [ 22. 121.],1
r4,1,0.007491,7.15128,[125  10] ; [117  26],[117.51798561  17.48201439] ; [124.48201439  18.51798561],0
s8,1,0.007633,7.117719,[57 77] ; [ 39 104],[46.44043321 87.55956679] ; [49.55956679 93.44043321],0
s7,1,0.010511,6.546184,[59 72] ; [42 98],[48.82287823 82.17712177] ; [52.17712177 87.82287823],0
v4,1,0.01212,6.293223,[128   5] ; [125  17],[122.36  10.64] ; [130.64  11.36],0
r1,1,0.014203,6.012755,[109  25] ; [98 45],[100.13718412  33.86281588] ; [106.86281588  36.13718412],0
a8,1,0.028006,4.827718,[ 25 100] ; [ 14 122],[ 18.67816092 106.32183908] ; [ 20.32183908 115.67816092],0
v2,1,0.040723,4.187505,[79 52] ; [63 69],[70.73003802 60.26996198] ; [71.26996198 60.73003802],0
b4,1,0.047255,3.936285,[73 62] ; [94 49],[81.0971223 53.9028777] ; [85.9028777 57.0971223],0
p10,1,0.050872,3.812497,[109  24] ; [103  40],[102.15942029  30.84057971] ; [109.84057971  33.15942029],0
s5,1,0.059003,3.565202,[41 92] ; [ 28 107],[34.24253731 98.75746269] ; [ 34.75746269 100.24253731],0
s2,1,0.064867,3.40835,[62 73] ; [49 91],[54.49090909 80.50909091] ; [56.50909091 83.49090909],0
a6,1,0.074529,3.180352,[79 55] ; [99 44],[86.10830325 47.89169675] ; [91.89169675 51.10830325],0
s6,1,0.08663,2.935899,[81 51] ; [72 69],[73.97802198 58.02197802] ; [79.02197802 61.97802198],0
s3,1,0.164849,1.929172,[73 61] ; [65 76],[67.24363636 66.75636364] ; [70.75636364 70.24363636],0
v1,1,0.173605,1.851537,[63 68] ; [55 83],[57.46468401 73.53531599] ; [60.53531599 77.46468401],0
u3,1,0.183821,1.766459,[21 24] ; [29 19],[24.19354839 20.80645161] ; [25.80645161 22.19354839],0
v3,1,0.199375,1.646948,[51 83] ; [42 95],[45.98523985 88.01476015] ; [47.01476015 89.98523985],0
b5,1,0.212845,1.551972,[77 58] ; [92 51],[82.06834532 52.93165468] ; [86.93165468 56.06834532],0
a5,1,0.217169,1.522978,[82 53] ; [97 46],[86.92446043 48.07553957] ; [92.07553957 50.92446043],0
r3,1,0.227452,1.456724,[131   3] ; [134   7],[129.12727273   4.87272727] ; [135.87272727   5.12727273],0
n1,1,0.233195,1.42127,[ 8 24] ; [16 26],[10.37837838 21.62162162] ; [13.62162162 28.37837838],0
d5,1,0.238889,1.387138,[102  33] ; [99 44],[97.60791367 37.39208633] ; [103.39208633  39.60791367],0
n4,1,0.314773,1.010541,[99 36] ; [97 46],[95.17985612 39.82014388] ; [100.82014388  42.17985612],0
b1,1,0.329964,0.949039,[48 87] ; [ 43 100],[44.19064748 90.80935252] ; [46.80935252 96.19064748],0
n2,1,0.330062,0.948655,[23  9] ; [35  8],[24.74666667  7.25333333] ; [33.25333333  9.74666667],0
u4,1,0.342268,0.901918,[  1 134] ; [  3 140],[  1.94244604 133.05755396] ; [  2.05755396 140.94244604],0
s1,1,0.373777,0.79107,[  4 129] ; [  2 138],[  2.92307692 130.07692308] ; [  3.07692308 136.92307692],0
a4,1,0.379123,0.773544,[46 89] ; [56 87],[49.5323741 85.4676259] ; [52.4676259 90.5323741],0
n6,1,0.380732,0.768337,[114  20] ; [116  27],[111.26353791  22.73646209] ; [118.73646209  24.26353791],0
p1,1,0.396267,0.719625,[  7 127] ; [ 11 131],[  8.73913043 125.26086957] ; [  9.26086957 132.73913043],0
p9,1,0.410989,0.675937,[111  21] ; [114  28],[108.39416058  23.60583942] ; [116.60583942  25.39416058],0
n3,1,0.466976,0.529123,[26  7] ; [30 12],[24.64  8.36] ; [31.36 10.64],0
d2,1,0.475812,0.508446,[48 87] ; [56 85],[50.86956522 84.13043478] ; [53.13043478 87.86956522],0
d3,1,0.482562,0.493067,[83 52] ; [82 61],[80.12589928 54.87410072] ; [84.87410072 58.12589928],0
b3,1,0.561292,0.337473,[28 55] ; [29 47],[29.75471698 53.24528302] ; [27.24528302 48.75471698],0
b2,1,0.561292,0.337473,[28 55] ; [29 47],[29.75471698 53.24528302] ; [27.24528302 48.75471698],0
n5,1,0.583435,0.300715,[91 43] ; [92 50],[88.84782609 45.15217391] ; [94.15217391 47.84782609],0
d4,1,0.604833,0.267768,[101  34] ; [110  32],[102.83393502  32.16606498] ; [108.16606498  33.83393502],0
r2,1,0.624419,0.239705,[122   9] ; [130  12],[120.92307692  10.07692308] ; [131.07692308  10.92307692],0
a2,1,0.65314,0.201964,[ 20 115] ; [ 24 119],[ 21.36690647 113.63309353] ; [ 22.63309353 120.36690647],0
u2,1,0.689412,0.159722,[22 22] ; [26 22],[22.95652174 21.04347826] ; [25.04347826 22.95652174],0
p5,1,0.694071,0.154714,[  6 129] ; [  5 137],[  5.36101083 129.63898917] ; [  5.63898917 136.36101083],0
a1,1,0.801656,0.063104,[  4 131] ; [  5 138],[  4.3705036 130.6294964] ; [  4.6294964 138.3705036],0
u1,1,0.83923,0.04116,[ 15 120] ; [ 17 126],[ 15.53956835 119.46043165] ; [ 16.46043165 126.53956835],0
a7,1,0.853762,0.033974,[87 48] ; [90 52],[86.26353791 48.73646209] ; [90.73646209 51.26353791],0
s4,1,0.866594,0.028219,[ 19 115] ; [ 21 120],[ 19.49090909 114.50909091] ; [ 20.50909091 120.49090909],0
a3,1,0.897339,0.016647,[90 44] ; [95 48],[89.49458484 44.50541516] ; [95.50541516 47.49458484],0
p12,1,0.899588,0.015922,[  8 125] ; [  9 132],[  8.25182482 124.74817518] ; [  8.74817518 132.25182482],0
d1,1,0.937147,0.006218,[62 73] ; [65 78],[61.67266187 73.32733813] ; [65.32733813 77.67266187],0
