Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1e-06,25.249748,[ 8 48] ; [12  3],[15.77464789 40.22535211] ; [ 4.22535211 10.77464789],1
s2,1,3.3e-05,17.213736,[ 9 47] ; [11  5],[15.55555556 40.44444444] ; [ 4.44444444 11.55555556],1
b4,1,0.000417,12.454054,[21 35] ; [14  2],[27.22222222 28.77777778] ; [7.77777778 8.22222222],1
s7,1,0.00043,12.395383,[ 5 48] ; [7 7],[ 9.49253731 43.50746269] ; [ 2.50746269 11.49253731],1
p9,1,0.001002,10.823383,[20 32] ; [13  2],[25.6119403 26.3880597] ; [7.3880597 7.6119403],0
d4,1,0.005128,7.833652,[27 29] ; [14  2],[31.88888889 24.11111111] ; [9.11111111 6.88888889],0
s4,1,0.005346,7.758621,[ 7 49] ; [7 9],[10.88888889 45.11111111] ; [ 3.11111111 12.88888889],0
r4,1,0.005466,7.71846,[17 39] ; [11  5],[21.77777778 34.22222222] ; [6.22222222 9.77777778],0
p2,1,0.011614,6.368863,[22 34] ; [12  4],[26.44444444 29.55555556] ; [7.55555556 8.44444444],0
r3,1,0.014082,6.027829,[30 26] ; [14  2],[34.22222222 21.77777778] ; [9.77777778 6.22222222],0
d5,1,0.016213,5.779676,[26 29] ; [13  3],[30.21126761 24.78873239] ; [8.78873239 7.21126761],0
s8,1,0.019339,5.470644,[ 3 53] ; [ 4 12],[ 5.44444444 50.55555556] ; [ 1.55555556 14.44444444],0
v1,1,0.023211,5.152652,[13 43] ; [8 7],[16.56338028 39.43661972] ; [ 4.43661972 10.56338028],0
a6,1,0.032143,4.590844,[31 25] ; [ 4 12],[27.22222222 28.77777778] ; [7.77777778 8.22222222],0
r2,1,0.032382,4.578173,[36 18] ; [15  1],[39.34285714 14.65714286] ; [11.65714286  4.34285714],0
p10,1,0.035085,4.441048,[15 39] ; [9 7],[18.51428571 35.48571429] ; [ 5.48571429 10.51428571],0
