Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,35.761582,[109  29] ; [36 54],[87.76315789 50.23684211] ; [57.23684211 32.76315789],1
n6,1,1e-06,24.318832,[111  26] ; [45 45],[94.14977974 42.85022026] ; [61.85022026 28.14977974],1
p10,1,0.014129,6.021898,[91 46] ; [44 44],[82.2 54.8] ; [52.8 35.2],0
u2,1,0.023113,5.159999,[18 31] ; [20 12],[22.98765432 26.01234568] ; [15.01234568 16.98765432],0
d4,1,0.029531,4.736408,[95 42] ; [74 16],[101.99559471  35.00440529] ; [67.00440529 22.99559471],0
a1,1,0.032118,4.592164,[ 13 125] ; [ 2 88],[  9.07894737 128.92105263] ; [ 5.92105263 84.07894737],0
a5,1,0.032687,4.562085,[93 45] ; [48 42],[85.34210526 52.65789474] ; [55.65789474 34.34210526],0
r3,1,0.034775,4.45619,[106  30] ; [80 10],[111.92920354  24.07079646] ; [74.07079646 15.92920354],0
a2,1,0.03917,4.253469,[ 30 108] ; [10 80],[ 24.21052632 113.78947368] ; [15.78947368 74.21052632],0
p11,1,0.090652,2.862758,[92 46] ; [50 40],[85.94736842 52.05263158] ; [56.05263158 33.94736842],0
v2,1,0.096032,2.770236,[46 83] ; [40 45],[51.8411215 77.1588785] ; [34.1588785 50.8411215],0
d5,1,0.098082,2.736454,[90 48] ; [68 22],[95.63157895 42.36842105] ; [62.36842105 27.63157895],0
p9,1,0.142488,2.150879,[96 39] ; [53 33],[91.01809955 43.98190045] ; [57.98190045 28.01809955],0
d3,1,0.165027,1.927549,[73 65] ; [56 34],[78.07894737 59.92105263] ; [50.92105263 39.07894737],0
p12,1,0.205195,1.60501,[  8 129] ; [ 2 86],[  6.08888889 130.91111111] ; [ 3.91111111 84.08888889],0
s4,1,0.212229,1.556155,[ 20 116] ; [19 71],[ 23.46902655 112.53097345] ; [15.53097345 74.46902655],0
a6,1,0.232848,1.423382,[92 46] ; [53 37],[87.76315789 50.23684211] ; [57.23684211 32.76315789],0
d2,1,0.245779,1.347141,[60 75] ; [33 57],[55.8 79.2] ; [37.2 52.8],0
n2,1,0.25759,1.281662,[41 16] ; [18 12],[38.65517241 18.34482759] ; [20.34482759  9.65517241],0
u1,1,0.274786,1.192697,[ 17 121] ; [ 7 83],[ 14.52631579 123.47368421] ; [ 9.47368421 80.52631579],0
a8,1,0.312502,1.020071,[ 13 119] ; [ 5 79],[ 11. 121.] ; [ 7. 77.],0
a7,1,0.321323,0.983553,[84 53] ; [61 29],[87.51101322 49.48898678] ; [57.48898678 32.51101322],0
s8,1,0.328361,0.955352,[ 37 101] ; [19 71],[ 33.89473684 104.10526316] ; [22.10526316 67.89473684],0
v1,1,0.416144,0.66118,[47 87] ; [36 53],[49.87443946 84.12556054] ; [33.12556054 55.87443946],0
p1,1,0.476784,0.506211,[ 13 125] ; [ 6 83],[ 11.55066079 126.44933921] ; [ 7.44933921 81.55066079],0
s6,1,0.48318,0.491676,[63 73] ; [37 52],[60.44444444 75.55555556] ; [39.55555556 49.44444444],0
b4,1,0.492873,0.470248,[89 49] ; [54 36],[86.55263158 51.44736842] ; [56.44736842 33.55263158],0
u3,1,0.499311,0.456401,[23 26] ; [18 15],[24.5 24.5] ; [16.5 16.5],0
b2,1,0.502403,0.449856,[28 47] ; [20 26],[29.75206612 45.24793388] ; [18.24793388 27.75206612],0
b3,1,0.502403,0.449856,[28 47] ; [20 26],[29.75206612 45.24793388] ; [18.24793388 27.75206612],0
v3,1,0.518774,0.416331,[41 93] ; [22 61],[38.90322581 95.09677419] ; [24.09677419 58.90322581],0
p8,1,0.537878,0.379488,[ 22 116] ; [17 72],[ 23.7092511 114.2907489] ; [15.2907489 73.7092511],0
r4,1,0.539725,0.37605,[96 42] ; [66 24],[98.05263158 39.94736842] ; [63.94736842 26.05263158],0
p5,1,0.558232,0.342775,[  5 133] ; [ 2 87],[  4.25550661 133.74449339] ; [ 2.74449339 86.25550661],0
s2,1,0.563703,0.333333,[47 88] ; [28 62],[45. 90.] ; [30. 60.],0
s5,1,0.686543,0.162853,[ 25 107] ; [18 67],[ 26.15668203 105.84331797] ; [16.84331797 68.15668203],0
r2,1,0.708583,0.139696,[120  18] ; [78 10],[120.90265487  17.09734513] ; [77.09734513 10.90265487],0
d1,1,0.714822,0.133508,[61 77] ; [42 48],[62.34210526 75.65789474] ; [40.65789474 49.34210526],0
a3,1,0.745646,0.105226,[89 47] ; [57 33],[87.85840708 48.14159292] ; [58.14159292 31.85840708],0
s3,1,0.752513,0.099431,[59 76] ; [37 52],[57.85714286 77.14285714] ; [38.14285714 50.85714286],0
s1,1,0.781183,0.07716,[  5 130] ; [ 4 86],[  5.4 129.6] ; [ 3.6 86.4],0
r1,1,0.821615,0.050836,[90 48] ; [60 30],[90.78947368 47.21052632] ; [59.21052632 30.78947368],0
u4,1,0.826627,0.047974,[  2 136] ; [ 1 89],[  1.81578947 136.18421053] ; [ 1.18421053 88.81578947],0
p2,1,0.85785,0.032081,[75 63] ; [50 40],[75.65789474 62.34210526] ; [49.34210526 40.65789474],0
