Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1e-06,24.362391,[56  3] ; [20 18],[46.22680412 12.77319588] ; [29.77319588  8.22680412],1
p8,1,2e-06,22.616377,[57  3] ; [21 17],[47.75510204 12.24489796] ; [30.24489796  7.75510204],1
p4,1,0.002734,8.976921,[56  3] ; [28 10],[51.09278351  7.90721649] ; [32.90721649  5.09278351],0
s2,1,0.007226,7.216006,[41 19] ; [16 23],[34.54545455 25.45454545] ; [22.45454545 16.54545455],0
s6,1,0.009283,6.767637,[51  5] ; [26 11],[46.3655914  9.6344086] ; [30.6344086  6.3655914],0
p3,1,0.009482,6.729758,[51  8] ; [25 14],[45.75510204 13.24489796] ; [30.24489796  8.75510204],0
p12,1,0.011147,6.441673,[22 38] ; [ 5 33],[16.53061224 43.46938776] ; [10.46938776 27.53061224],0
a1,1,0.012078,6.299381,[12 48] ; [ 1 38],[ 7.87878788 52.12121212] ; [ 5.12121212 33.87878788],0
s7,1,0.014122,6.022866,[45 11] ; [21 16],[39.74193548 16.25806452] ; [26.25806452 10.74193548],0
n5,1,0.0367,4.3643,[57  3] ; [32  7],[53.93939394  6.06060606] ; [35.06060606  3.93939394],0
s3,1,0.038835,4.268059,[41 18] ; [19 20],[36.12244898 22.87755102] ; [23.87755102 15.12244898],0
r2,1,0.071961,3.237721,[58  2] ; [34  5],[55.75757576  4.24242424] ; [36.24242424  2.75757576],0
n6,1,0.076002,3.148397,[57  2] ; [34  5],[54.78571429  4.21428571] ; [36.21428571  2.78571429],0
p11,1,0.076204,3.144066,[54  6] ; [30  9],[50.90909091  9.09090909] ; [33.09090909  5.90909091],0
a2,1,0.099279,2.717094,[14 46] ; [ 4 35],[10.90909091 49.09090909] ; [ 7.09090909 31.90909091],0
s8,1,0.11438,2.492631,[39 20] ; [19 19],[35.27835052 23.72164948] ; [22.72164948 15.27835052],0
r1,1,0.120806,2.406838,[52  8] ; [29 10],[49.09090909 10.90909091] ; [31.90909091  7.09090909],0
b5,1,0.151168,2.060423,[25 35] ; [22 17],[28.48484848 31.51515152] ; [18.51515152 20.48484848],0
n4,1,0.15205,2.051558,[55  5] ; [32  7],[52.72727273  7.27272727] ; [34.27272727  4.72727273],0
r4,1,0.158359,1.989826,[58  2] ; [35  4],[56.36363636  3.63636364] ; [36.63636364  2.36363636],0
p1,1,0.166371,1.915338,[20 40] ; [ 8 31],[16.96969697 43.03030303] ; [11.03030303 27.96969697],0
a7,1,0.175011,1.839491,[46 14] ; [25 14],[43.03030303 16.96969697] ; [27.96969697 11.03030303],0
s4,1,0.20133,1.632697,[10 49] ; [ 3 35],[ 7.90721649 51.09278351] ; [ 5.09278351 32.90721649],0
b1,1,0.204063,1.613051,[23 37] ; [20 19],[26.06060606 33.93939394] ; [16.93939394 22.06060606],0
p2,1,0.252541,1.309192,[54  6] ; [32  7],[52.12121212  7.87878788] ; [33.87878788  5.12121212],0
p10,1,0.278296,1.17539,[56  4] ; [33  5],[54.48979592  5.51020408] ; [34.51020408  3.48979592],0
a4,1,0.289431,1.122267,[28 32] ; [14 25],[25.45454545 34.54545455] ; [16.54545455 22.45454545],0
d2,1,0.302133,1.064754,[27 32] ; [22 17],[29.5 29.5] ; [19.5 19.5],0
a3,1,0.308393,1.037545,[47 13] ; [27 12],[44.84848485 15.15151515] ; [29.15151515  9.84848485],0
p9,1,0.317363,0.999781,[58  2] ; [35  3],[56.93877551  3.06122449] ; [36.06122449  1.93877551],0
r3,1,0.31879,0.993902,[57  3] ; [35  4],[55.75757576  4.24242424] ; [36.24242424  2.75757576],0
s5,1,0.341564,0.904554,[38 17] ; [22 15],[35.86956522 19.13043478] ; [24.13043478 12.86956522],0
a8,1,0.36065,0.835629,[10 45] ; [ 4 32],[ 8.46153846 46.53846154] ; [ 5.53846154 30.46153846],0
