Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,7e-06,20.175049,[ 24 143] ; [23 30],[ 35.67727273 131.32272727] ; [11.32272727 41.67727273],1
p6,1,0.000268,13.279247,[ 33 132] ; [24 29],[ 43.14220183 121.85779817] ; [13.85779817 39.14220183],1
p3,1,0.000601,11.772211,[ 58 109] ; [32 20],[68.63013699 98.36986301] ; [21.36986301 30.63013699],1
s2,1,0.000697,11.49783,[ 24 141] ; [19 34],[ 32.54587156 132.45412844] ; [10.45412844 42.54587156],1
s3,1,0.00225,9.333144,[ 34 132] ; [22 31],[ 42.44748858 123.55251142] ; [13.55251142 39.44748858],0
p4,1,0.003594,8.478136,[68 97] ; [34 19],[77.20183486 87.79816514] ; [24.79816514 28.20183486],0
b3,1,0.016291,5.771208,[32 69] ; [20 17],[38.05797101 62.94202899] ; [13.94202899 23.05797101],0
b2,1,0.016291,5.771208,[32 69] ; [20 17],[38.05797101 62.94202899] ; [13.94202899 23.05797101],0
p10,1,0.022318,5.220785,[115  52] ; [45  8],[121.45454545  45.54545455] ; [38.54545455 14.45454545],0
p5,1,0.025117,5.015796,[  6 161] ; [ 6 45],[  9.19266055 157.80733945] ; [ 2.80733945 48.19266055],0
a8,1,0.038015,4.304348,[ 14 140] ; [ 9 35],[ 17.88888889 136.11111111] ; [ 5.11111111 38.88888889],0
n4,1,0.04487,4.023514,[115  52] ; [44  9],[120.69545455  46.30454545] ; [38.30454545 14.69545455],0
p7,1,0.046205,3.9741,[89 75] ; [37 16],[95.22580645 68.77419355] ; [30.77419355 22.22580645],0
u1,1,0.048181,3.903659,[ 15 152] ; [10 43],[ 18.97727273 148.02272727] ; [ 6.02272727 46.97727273],0
a3,1,0.05584,3.656813,[111  55] ; [42 10],[116.50458716  49.49541284] ; [36.49541284 15.50458716],0
v3,1,0.057635,3.604159,[ 54 105] ; [24 25],[59.625 99.375] ; [18.375 30.625],0
r4,1,0.114585,2.489812,[154  13] ; [45  8],[151.05909091  15.94090909] ; [47.94090909  5.05909091],0
r2,1,0.149382,2.078547,[158   7] ; [48  5],[155.91743119   9.08256881] ; [50.08256881  2.91743119],0
d3,1,0.190943,1.710326,[110  57] ; [40 13],[113.86363636  53.13636364] ; [36.13636364 16.86363636],0
d2,1,0.19792,1.657657,[74 92] ; [29 24],[78.07305936 87.92694064] ; [24.92694064 28.07305936],0
s4,1,0.211625,1.560272,[  8 159] ; [ 5 48],[  9.86818182 157.13181818] ; [ 3.13181818 49.86818182],0
n6,1,0.242669,1.36502,[125  42] ; [43  9],[128.10958904  38.89041096] ; [39.89041096 12.10958904],0
n1,1,0.243958,1.357576,[14 30] ; [6 6],[15.71428571 28.28571429] ; [4.28571429 7.71428571],0
a4,1,0.25118,1.31673,[ 67 100] ; [26 27],[70.59545455 96.40454545] ; [22.40454545 30.59545455],0
b5,1,0.278568,1.174062,[93 74] ; [25 28],[89.57272727 77.42727273] ; [28.42727273 24.57272727],0
n5,1,0.282452,1.155254,[105  60] ; [38 15],[108.23394495  56.76605505] ; [34.76605505 18.23394495],0
p9,1,0.303471,1.05888,[117  50] ; [41 12],[119.93636364  47.06363636] ; [38.06363636 14.93636364],0
p8,1,0.349423,0.87555,[75 90] ; [28 25],[77.9587156 87.0412844] ; [25.0412844 27.9587156],0
b4,1,0.364635,0.821867,[100  67] ; [28 25],[97.16363636 69.83636364] ; [30.83636364 22.16363636],0
p12,1,0.366276,0.81626,[  5 162] ; [ 3 50],[  6.07272727 160.92727273] ; [ 1.92727273 51.07272727],0
p2,1,0.371623,0.79823,[129  38] ; [44  9],[131.32272727  35.67727273] ; [41.67727273 11.32272727],0
p1,1,0.375298,0.786048,[ 12 155] ; [ 2 51],[ 10.62727273 156.37272727] ; [ 3.37272727 49.62727273],0
