Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.017573,5.638239,[20  3] ; [6 6],[17.08571429  5.91428571] ; [8.91428571 3.08571429],0
v1,1,0.026055,4.952381,[12 13] ; [ 2 13],[ 8.75 16.25] ; [5.25 9.75],0
s8,1,0.033722,4.508752,[16  9] ; [ 4 10],[12.82051282 12.17948718] ; [7.17948718 6.82051282],0
p11,1,0.063236,3.450418,[17  8] ; [14  1],[19.375  5.625] ; [11.625  3.375],0
s4,1,0.074791,3.174603,[10 15] ; [ 2 13],[ 7.5 17.5] ; [ 4.5 10.5],0
n1,1,0.078983,3.085714,[2 5] ; [4 1],[3.5 3.5] ; [2.5 2.5],0
s6,1,0.098868,2.72371,[22  2] ; [10  4],[20.21052632  3.78947368] ; [11.78947368  2.21052632],0
n6,1,0.10247,2.666667,[24  1] ; [12  3],[22.5  2.5] ; [13.5  1.5],0
p12,1,0.10247,2.666667,[ 1 24] ; [ 3 12],[ 2.5 22.5] ; [ 1.5 13.5],0
n5,1,0.109454,2.562092,[23  2] ; [11  4],[21.25  3.75] ; [12.75  2.25],0
p4,1,0.116626,2.462063,[12 13] ; [11  4],[14.375 10.625] ; [8.625 6.375],0
d2,1,0.170234,1.880878,[ 5 20] ; [6 9],[ 6.875 18.125] ; [ 4.125 10.875],0
p9,1,0.195801,1.673418,[22  3] ; [10  4],[20.51282051  4.48717949] ; [11.48717949  2.51282051],0
d5,1,0.250616,1.319865,[13 12] ; [ 5 10],[11.25 13.75] ; [6.75 8.25],0
p10,1,0.289651,1.121245,[20  3] ; [11  4],[18.76315789  4.23684211] ; [12.23684211  2.76315789],0
a8,1,0.31445,1.011894,[ 4 18] ; [ 1 14],[ 2.97297297 19.02702703] ; [ 2.02702703 12.97297297],0
p2,1,0.380042,0.770565,[18  6] ; [13  2],[19.07692308  4.92307692] ; [11.92307692  3.07692308],0
p1,1,0.380042,0.770565,[ 6 18] ; [ 2 13],[ 4.92307692 19.07692308] ; [ 3.07692308 11.92307692],0
r1,1,0.380042,0.770565,[18  6] ; [13  2],[19.07692308  4.92307692] ; [11.92307692  3.07692308],0
r4,1,0.387534,0.746667,[21  4] ; [14  1],[21.875  3.125] ; [13.125  1.875],0
v2,1,0.389177,0.741513,[11 13] ; [9 6],[12.30769231 11.69230769] ; [7.69230769 7.30769231],0
p3,1,0.411868,0.673401,[10 15] ; [8 7],[11.25 13.75] ; [6.75 8.25],0
n4,1,0.451801,0.566129,[20  4] ; [11  4],[19.07692308  4.92307692] ; [11.92307692  3.07692308],0
p8,1,0.497754,0.459722,[17  8] ; [8 6],[16.02564103  8.97435897] ; [8.97435897 5.02564103],0
b4,1,0.504985,0.444444,[14 11] ; [10  5],[15. 10.] ; [9. 6.],0
s1,1,0.559109,0.34125,[ 3 21] ; [ 1 14],[ 2.46153846 21.53846154] ; [ 1.53846154 13.46153846],0
a4,1,0.571608,0.32,[ 7 18] ; [ 3 12],[ 6.25 18.75] ; [ 3.75 11.25],0
p5,1,0.573683,0.316558,[ 6 18] ; [ 5 10],[ 6.76923077 17.23076923] ; [ 4.23076923 10.76923077],0
r3,1,0.586214,0.296296,[23  2] ; [13  2],[22.5  2.5] ; [13.5  1.5],0
a7,1,0.607565,0.263736,[17  8] ; [9 6],[16.25  8.75] ; [9.75 5.25],0
a6,1,0.622461,0.242424,[13 12] ; [9 6],[13.75 11.25] ; [8.25 6.75],0
p6,1,0.622461,0.242424,[12 13] ; [6 9],[11.25 13.75] ; [6.75 8.25],0
b2,1,0.678044,0.172336,[4 8] ; [3 4],[4.42105263 7.57894737] ; [2.57894737 4.42105263],0
b3,1,0.678044,0.172336,[4 8] ; [3 4],[4.42105263 7.57894737] ; [2.57894737 4.42105263],0
b5,1,0.679665,0.170503,[10 15] ; [7 8],[10.625 14.375] ; [6.375 8.625],0
b1,1,0.679665,0.170503,[10 15] ; [7 8],[10.625 14.375] ; [6.375 8.625],0
a5,1,0.679665,0.170503,[15 10] ; [8 7],[14.375 10.625] ; [8.625 6.375],0
d1,1,0.707932,0.140351,[ 1 24] ; [ 1 14],[ 1.25 23.75] ; [ 0.75 14.25],0
v3,1,0.759338,0.09385,[10 14] ; [7 8],[10.46153846 13.53846154] ; [6.53846154 8.46153846],0
u3,1,0.763573,0.090476,[6 6] ; [4 3],[6.31578947 5.68421053] ; [3.68421053 3.31578947],0
n3,1,0.793428,0.068571,[6 1] ; [4 1],[5.83333333 1.16666667] ; [4.16666667 0.83333333],0
d3,1,0.850436,0.035556,[ 6 19] ; [ 4 11],[ 6.25 18.75] ; [ 3.75 11.25],0
p7,1,0.907679,0.013448,[18  6] ; [11  4],[17.84615385  6.15384615] ; [11.15384615  3.84615385],0
a3,1,0.934844,0.006683,[13 12] ; [8 7],[13.125 11.875] ; [7.875 7.125],0
u2,1,0.959566,0.00257,[5 7] ; [3 4],[5.05263158 6.94736842] ; [2.94736842 4.05263158],0
