Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,1.2e-05,19.239377,[448 125] ; [55 41],[430.8206278 142.1793722] ; [72.1793722 23.8206278],1
r2,1,1.3e-05,19.035905,[562   9] ; [87  9],[555.59070465  15.40929535] ; [93.40929535  2.59070465],1
u1,1,0.000148,14.396346,[116 458] ; [ 4 92],[102.80597015 471.19402985] ; [17.19402985 78.80597015],1
a2,1,0.000495,12.135614,[147 427] ; [ 9 87],[133.64776119 440.35223881] ; [22.35223881 73.64776119],1
v2,1,0.001576,9.987399,[335 214] ; [40 52],[321.17784711 227.82215289] ; [53.82215289 38.17784711],0
d1,1,0.002763,8.957723,[356 218] ; [44 52],[342.68656716 231.31343284] ; [57.31343284 38.68656716],0
p7,1,0.010799,6.498151,[386 168] ; [53 41],[375.31790123 178.68209877] ; [63.68209877 30.31790123],0
d2,1,0.012249,6.27443,[284 288] ; [34 61],[272.70764618 299.29235382] ; [45.29235382 49.70764618],0
d3,1,0.016657,5.732187,[409 163] ; [57 39],[399.02994012 172.97005988] ; [66.97005988 29.02994012],0
u3,1,0.018383,5.559241,[98 54] ; [15 20],[91.85026738 60.14973262] ; [21.14973262 13.85026738],0
v1,1,0.0226,5.199001,[325 232] ; [43 51],[314.86328725 242.13671275] ; [53.13671275 40.86328725],0
a3,1,0.038114,4.299946,[422 150] ; [61 35],[413.58682635 158.41317365] ; [69.41317365 26.58682635],0
n4,1,0.041494,4.155717,[468 104] ; [70 26],[460.68263473 111.31736527] ; [77.31736527 18.68263473],0
a6,1,0.04389,4.060779,[409 162] ; [59 37],[400.64167916 170.35832084] ; [67.35832084 28.64167916],0
p4,1,0.050372,3.829038,[360 206] ; [51 45],[351.39879154 214.60120846] ; [59.60120846 36.39879154],0
a4,1,0.05222,3.768714,[263 308] ; [34 62],[254.25337331 316.74662669] ; [42.74662669 53.25337331],0
s7,1,0.058239,3.586841,[277 274] ; [36 55],[268.63395639 282.36604361] ; [44.36604361 46.63395639],0
b4,1,0.059619,3.54796,[330 244] ; [65 31],[338.40298507 235.59701493] ; [56.59701493 39.40298507],0
p2,1,0.08682,2.932368,[493  75] ; [77 19],[487.59036145  80.40963855] ; [82.40963855 13.59036145],0
p8,1,0.090902,2.858327,[329 231] ; [47 48],[321.46564885 238.53435115] ; [54.53435115 40.46564885],0
d4,1,0.091644,2.845249,[480  91] ; [74 22],[474.26386807  96.73613193] ; [79.73613193 16.26386807],0
r3,1,0.101942,2.674892,[567   6] ; [93  3],[565.29147982   7.70852018] ; [94.70852018  1.29147982],0
s3,1,0.156614,2.006617,[324 237] ; [48 48],[317.64383562 243.35616438] ; [54.35616438 41.64383562],0
b5,1,0.160334,1.971073,[333 241] ; [63 33],[339.25970149 234.74029851] ; [56.74029851 39.25970149],0
s8,1,0.177032,1.822364,[267 301] ; [38 58],[260.90361446 307.09638554] ; [44.09638554 51.90361446],0
a1,1,0.179323,1.803228,[ 24 550] ; [ 7 89],[ 26.55820896 547.44179104] ; [ 4.44179104 91.55820896],0
s2,1,0.217976,1.51765,[292 274] ; [43 53],[286.41993958 279.58006042] ; [48.58006042 47.41993958],0
s5,1,0.229537,1.443727,[196 358] ; [26 64],[190.97515528 363.02484472] ; [31.02484472 58.97515528],0
v3,1,0.264746,1.24377,[235 315] ; [34 59],[230.0933126 319.9066874] ; [38.9066874 54.0933126],0
u2,1,0.269541,1.21908,[93 58] ; [18 17],[90.11290323 60.88709677] ; [20.88709677 14.11290323],0
p1,1,0.279542,1.169315,[ 46 521] ; [11 85],[ 48.74660633 518.25339367] ; [ 8.25339367 87.74660633],0
a7,1,0.322341,0.979423,[421 151] ; [66 30],[417.01197605 154.98802395] ; [69.98802395 26.01197605],0
p9,1,0.33351,0.93522,[498  66] ; [88  8],[500.76363636  63.23636364] ; [85.23636364 10.76363636],0
n5,1,0.334999,0.929478,[446 123] ; [71 25],[442.36541353 126.63458647] ; [74.63458647 21.36541353],0
b1,1,0.341685,0.9041,[202 372] ; [29 67],[197.90149254 376.09850746] ; [33.09850746 62.90149254],0
p3,1,0.365929,0.817444,[301 268] ; [46 50],[296.90676692 272.09323308] ; [50.09323308 45.90676692],0
p10,1,0.395898,0.720749,[490  77] ; [86 10],[492.59728507  74.40271493] ; [83.40271493 12.59728507],0
d5,1,0.465412,0.532849,[465 107] ; [75 21],[462.39520958 109.60479042] ; [77.60479042 18.39520958],0
a8,1,0.467256,0.528457,[ 79 442] ; [11 79],[ 76.74304419 444.25695581] ; [13.25695581 76.74304419],0
s6,1,0.473131,0.514653,[383 178] ; [60 33],[380.00458716 180.99541284] ; [62.99541284 30.00458716],0
n1,1,0.477451,0.504681,[31 62] ; [11 16],[32.55 60.45] ; [ 9.45 17.55],0
p6,1,0.594195,0.283841,[211 351] ; [38 56],[213.32012195 348.67987805] ; [35.67987805 58.32012195],0
n2,1,0.635402,0.224807,[69 23] ; [23  6],[69.95041322 22.04958678] ; [22.04958678  6.95041322],0
p12,1,0.665561,0.186839,[ 55 510] ; [ 8 88],[ 53.85022693 511.14977307] ; [ 9.14977307 86.85022693],0
n3,1,0.667827,0.184154,[71 22] ; [21  8],[70.13114754 22.86885246] ; [21.86885246  7.13114754],0
n6,1,0.783116,0.075768,[499  71] ; [85 11],[499.81981982  70.18018018] ; [84.18018018 11.81981982],0
s1,1,0.787188,0.072881,[ 15 547] ; [ 3 92],[ 15.39726027 546.60273973] ; [ 2.60273973 92.39726027],0
b2,1,0.803171,0.062123,[145 214] ; [24 38],[144.11163895 214.88836105] ; [24.88836105 37.11163895],0
b3,1,0.803171,0.062123,[145 214] ; [24 38],[144.11163895 214.88836105] ; [24.88836105 37.11163895],0
v4,1,0.817303,0.053368,[563  10] ; [94  2],[562.72197309  10.27802691] ; [94.27802691  1.72197309],0
u4,1,0.832671,0.044638,[ 14 560] ; [ 2 94],[ 13.70746269 560.29253731] ; [ 2.29253731 93.70746269],0
s4,1,0.856058,0.032904,[ 86 476] ; [14 82],[ 85.41033435 476.58966565] ; [14.58966565 81.41033435],0
p5,1,0.903506,0.014698,[ 69 497] ; [12 83],[ 69.35854766 496.64145234] ; [11.64145234 83.35854766],0
