Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,5e-05,16.433144,[190  68] ; [28 32],[176.86792453  81.13207547] ; [41.13207547 18.86792453],1
p10,1,0.000363,12.715273,[227  30] ; [42 18],[218.0851735  38.9148265] ; [50.9148265  9.0851735],1
p4,1,0.000508,12.087732,[216  43] ; [38 22],[206.22570533  52.77429467] ; [47.77429467 12.22570533],1
p2,1,0.001016,10.798925,[238  22] ; [46 14],[230.75  29.25] ; [53.25  6.75],0
p9,1,0.001394,10.213569,[239  20] ; [47 13],[232.20689655  26.79310345] ; [53.79310345  6.20689655],0
n6,1,0.004166,8.209843,[235  23] ; [46 13],[228.70031546  29.29968454] ; [52.29968454  6.70031546],0
n5,1,0.013039,6.163766,[213  46] ; [40 19],[206.05974843  52.94025157] ; [46.94025157 12.05974843],0
d2,1,0.015917,5.811965,[128 131] ; [40 20],[136.40125392 122.59874608] ; [31.59874608 28.40125392],0
p12,1,0.016503,5.748421,[ 38 220] ; [ 2 58],[ 32.45283019 225.54716981] ; [ 7.54716981 52.45283019],0
v4,1,0.018115,5.585003,[252   8] ; [54  6],[248.625  11.375] ; [57.375  2.625],0
p7,1,0.020346,5.381948,[222  34] ; [44 15],[216.17777778  39.82222222] ; [49.82222222  9.17777778],0
s1,1,0.022256,5.225697,[  6 251] ; [ 5 55],[  8.91798107 248.08201893] ; [ 2.08201893 57.91798107],0
b5,1,0.04612,3.977199,[150 110] ; [43 17],[156.8125 103.1875] ; [36.1875 23.8125],0
n4,1,0.051123,3.804243,[222  38] ; [45 15],[216.9375  43.0625] ; [50.0625  9.9375],0
b1,1,0.088094,2.908863,[103 157] ; [31 29],[108.875 151.125] ; [25.125 34.875],0
u1,1,0.106148,2.610659,[ 53 207] ; [18 42],[ 57.6875 202.3125] ; [13.3125 46.6875],0
v1,1,0.123244,2.375598,[164  92] ; [32 28],[158.78481013  97.21518987] ; [37.21518987 22.78481013],0
p5,1,0.133508,2.251228,[ 52 208] ; [ 7 53],[ 47.9375 212.0625] ; [11.0625 48.9375],0
a2,1,0.166534,1.913868,[ 64 196] ; [20 40],[ 68.25 191.75] ; [15.75 44.25],0
s7,1,0.187033,1.740834,[150 102] ; [38 17],[154.31921824  97.68078176] ; [33.68078176 21.31921824],0
d4,1,0.274131,1.195958,[221  37] ; [48 12],[218.24528302  39.75471698] ; [50.75471698  9.24528302],0
