Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,1e-05,19.585386,[ 9 83] ; [28 44],[20.75609756 71.24390244] ; [16.24390244 55.75609756],1
r1,1,5.9e-05,16.123941,[46 48] ; [60 16],[58.61176471 35.38823529] ; [47.38823529 28.61176471],1
v1,1,7.4e-05,15.703925,[22 71] ; [40 35],[34.32142857 58.67857143] ; [27.67857143 47.32142857],1
a5,1,0.002522,9.124258,[38 56] ; [49 28],[47.8245614 46.1754386] ; [39.1754386 37.8245614],0
d5,1,0.002739,8.973542,[55 38] ; [62 15],[64.00588235 28.99411765] ; [52.99411765 24.00588235],0
s6,1,0.003518,8.517242,[31 63] ; [42 34],[40.36470588 53.63529412] ; [32.63529412 43.36470588],0
a3,1,0.004779,7.961336,[44 49] ; [53 24],[53.06470588 39.93529412] ; [43.93529412 33.06470588],0
d1,1,0.004855,7.932567,[30 64] ; [41 36],[39.02923977 54.97076023] ; [31.97076023 45.02923977],0
r3,1,0.011142,6.442602,[75 19] ; [71  5],[80.72941176 13.27058824] ; [65.27058824 10.72941176],0
r2,1,0.032356,4.579544,[74 20] ; [69  7],[79.07058824 14.92941176] ; [63.92941176 12.07058824],0
r4,1,0.039253,4.249904,[61 33] ; [61 16],[67.06432749 26.93567251] ; [54.93567251 22.06432749],0
a2,1,0.051098,3.805065,[ 6 88] ; [12 65],[ 9.89473684 84.10526316] ; [ 8.10526316 68.89473684],0
p11,1,0.070955,3.260784,[52 42] ; [53 24],[57.71929825 36.28070175] ; [47.28070175 29.71929825],0
d3,1,0.092558,2.829306,[53 39] ; [54 23],[58.24852071 33.75147929] ; [48.75147929 28.24852071],0
a1,1,0.095034,2.786963,[ 6 88] ; [ 1 76],[ 3.84795322 90.15204678] ; [ 3.15204678 73.84795322],0
a7,1,0.105731,2.616903,[58 35] ; [57 20],[62.91176471 30.08823529] ; [52.08823529 24.91176471],0
b1,1,0.115847,2.472586,[39 55] ; [23 54],[34.08187135 59.91812865] ; [27.91812865 49.08187135],0
v4,1,0.131642,2.273036,[77 16] ; [69  7],[80.34319527 12.65680473] ; [65.65680473 10.34319527],0
p4,1,0.135447,2.228937,[30 63] ; [33 43],[34.66863905 58.33136095] ; [28.33136095 47.66863905],0
p9,1,0.143214,2.143085,[57 34] ; [55 20],[61.39759036 29.60240964] ; [50.60240964 24.39759036],0
d4,1,0.14522,2.121751,[68 26] ; [63 14],[72.01169591 21.98830409] ; [58.98830409 18.01169591],0
s1,1,0.163303,1.943372,[ 7 87] ; [ 2 74],[ 4.97647059 89.02352941] ; [ 4.02352941 71.97647059],0
a6,1,0.168715,1.89432,[50 44] ; [49 28],[54.42105263 39.57894737] ; [44.57894737 32.42105263],0
p8,1,0.189352,1.722648,[31 62] ; [32 42],[35.08383234 57.91616766] ; [27.91616766 46.08383234],0
p10,1,0.194244,1.685132,[51 41] ; [49 26],[55.08982036 36.91017964] ; [44.91017964 30.08982036],0
s7,1,0.19483,1.680712,[11 78] ; [15 61],[14.02424242 74.97575758] ; [11.97575758 64.02424242],0
p12,1,0.217498,1.520806,[ 1 93] ; [ 3 73],[ 2.21176471 91.78823529] ; [ 1.78823529 74.21176471],0
b2,1,0.238897,1.387092,[ 9 40] ; [10 24],[11.21686747 37.78313253] ; [ 7.78313253 26.21686747],0
b3,1,0.238897,1.387092,[ 9 40] ; [10 24],[11.21686747 37.78313253] ; [ 7.78313253 26.21686747],0
a4,1,0.318297,0.995931,[24 70] ; [25 52],[26.93567251 67.06432749] ; [22.06432749 54.93567251],0
s2,1,0.339842,0.911026,[24 69] ; [25 52],[26.80588235 66.19411765] ; [22.19411765 54.80588235],0
u3,1,0.362827,0.828086,[28 21] ; [11 13],[26.17808219 22.82191781] ; [12.82191781 11.17808219],0
n1,1,0.377304,0.779469,[10 28] ; [ 5 24],[ 8.50746269 29.49253731] ; [ 6.49253731 22.50746269],0
p2,1,0.448798,0.573685,[61 32] ; [54 22],[63.28402367 29.71597633] ; [51.71597633 24.28402367],0
p6,1,0.465147,0.533481,[16 76] ; [16 57],[17.84242424 74.15757576] ; [14.15757576 58.84242424],0
s3,1,0.48233,0.493591,[31 63] ; [29 47],[33.17647059 60.82352941] ; [26.82352941 49.17647059],0
u1,1,0.511939,0.430101,[ 5 89] ; [ 6 71],[ 6.04678363 87.95321637] ; [ 4.95321637 72.04678363],0
p5,1,0.518002,0.417869,[ 3 89] ; [ 4 72],[ 3.83333333 88.16666667] ; [ 3.16666667 72.83333333],0
s4,1,0.535293,0.384333,[22 72] ; [15 62],[20.33918129 73.66081871] ; [16.66081871 60.33918129],0
b4,1,0.56089,0.338165,[52 42] ; [46 31],[53.87134503 40.12865497] ; [44.12865497 32.87134503],0
b5,1,0.623037,0.241622,[56 38] ; [43 34],[54.42105263 39.57894737] ; [44.57894737 32.42105263],0
n5,1,0.670251,0.181308,[31 62] ; [23 53],[29.71597633 63.28402367] ; [24.28402367 51.71597633],0
u2,1,0.6771,0.173409,[25 24] ; [11 13],[24.16438356 24.83561644] ; [11.83561644 12.16438356],0
d2,1,0.690342,0.158715,[32 62] ; [24 53],[30.78362573 63.21637427] ; [25.21637427 51.78362573],0
n3,1,0.755671,0.096827,[23 15] ; [18 10],[23.60606061 14.39393939] ; [17.39393939 10.60606061],0
p1,1,0.809251,0.05827,[ 3 90] ; [ 2 75],[ 2.73529412 90.26470588] ; [ 2.26470588 74.73529412],0
a8,1,0.829246,0.046513,[ 3 86] ; [ 2 70],[ 2.76397516 86.23602484] ; [ 2.23602484 69.76397516],0
p3,1,0.838529,0.041525,[25 69] ; [21 54],[25.58579882 68.41420118] ; [20.41420118 54.58579882],0
p7,1,0.842201,0.039632,[43 47] ; [37 38],[43.63636364 46.36363636] ; [36.36363636 38.63636364],0
n2,1,0.925002,0.008861,[24 14] ; [18 10],[24.18181818 13.81818182] ; [17.81818182 10.18181818],0
n6,1,0.954574,0.003245,[61 33] ; [49 27],[60.82352941 33.17647059] ; [49.17647059 26.82352941],0
s5,1,0.973775,0.001081,[21 72] ; [17 59],[20.9112426 72.0887574] ; [17.0887574 58.9112426],0
