Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,55.221115,[ 31 114] ; [98 55],[62.76845638 82.23154362] ; [66.23154362 86.76845638],1
p8,1,0.0,30.067904,[44 97] ; [95 55],[67.35051546 73.64948454] ; [71.64948454 78.35051546],1
p7,1,0.0,28.354711,[63 77] ; [114  37],[85.15463918 54.84536082] ; [91.84536082 59.15463918],1
p6,1,0.0,28.293326,[ 24 117] ; [70 82],[45.23549488 95.76450512] ; [ 48.76450512 103.23549488],1
p2,1,0.0,26.299228,[95 50] ; [137  15],[113.26599327  31.73400673] ; [118.73400673  33.26599327],1
p5,1,2.3e-05,17.892429,[  5 139] ; [ 29 122],[ 16.59661017 127.40338983] ; [ 17.40338983 133.59661017],1
s7,1,2.4e-05,17.848494,[44 95] ; [80 61],[61.55714286 77.44285714] ; [62.44285714 78.55714286],1
p10,1,7.6e-05,15.650161,[97 45] ; [132  19],[110.98293515  31.01706485] ; [118.01706485  32.98293515],1
r3,1,0.000628,11.69089,[116  27] ; [144   9],[125.60810811  17.39189189] ; [134.39189189  18.60810811],1
s8,1,0.001085,10.675896,[ 37 107] ; [67 86],[50.42424242 93.57575758] ; [53.57575758 99.42424242],0
r4,1,0.002223,9.355614,[108  37] ; [135  18],[118.23825503  26.76174497] ; [124.76174497  28.23825503],0
p9,1,0.003256,8.658068,[103  36] ; [134  19],[112.81849315  26.18150685] ; [124.18150685  28.81849315],0
p11,1,0.005289,7.777794,[97 48] ; [124  29],[107.53355705  37.46644295] ; [113.46644295  39.53355705],0
n6,1,0.007088,7.250543,[111  33] ; [135  17],[119.67567568  24.32432432] ; [126.32432432  25.67567568],0
s6,1,0.010018,6.631723,[80 63] ; [105  44],[90.59931507 52.40068493] ; [94.40068493 54.59931507],0
d5,1,0.016602,5.737992,[71 74] ; [96 57],[81.25838926 63.74161074] ; [85.74161074 67.25838926],0
v4,1,0.025955,4.959042,[124  21] ; [142  10],[129.86531987  15.13468013] ; [136.13468013  15.86531987],0
v2,1,0.033443,4.522959,[55 79] ; [80 69],[63.92226148 70.07773852] ; [71.07773852 77.92226148],0
a4,1,0.045324,4.00656,[ 29 115] ; [ 46 106],[ 36.48648649 107.51351351] ; [ 38.51351351 113.48648649],0
r1,1,0.051408,3.794918,[92 52] ; [113  39],[99.72972973 44.27027027] ; [105.27027027  46.72972973],0
a7,1,0.061234,3.50363,[80 65] ; [100  52],[87.87878788 57.12121212] ; [92.12121212 59.87878788],0
u2,1,0.06475,3.411326,[26 39] ; [36 28],[31.24031008 33.75968992] ; [30.75968992 33.24031008],0
v1,1,0.099327,2.716309,[63 78] ; [81 68],[70.0137931 70.9862069] ; [73.9862069 75.0137931],0
s5,1,0.116495,2.463817,[ 32 109] ; [ 46 103],[ 37.92413793 103.07586207] ; [ 40.07586207 108.92413793],0
d3,1,0.121249,2.401116,[45 99] ; [61 92],[51.39393939 92.60606061] ; [54.60606061 98.39393939],0
a1,1,0.129128,2.302954,[  9 136] ; [  4 149],[  6.32550336 138.67449664] ; [  6.67449664 146.32550336],0
a5,1,0.144938,2.124732,[76 69] ; [93 60],[82.23154362 62.76845638] ; [86.76845638 66.23154362],0
a6,1,0.181802,1.782828,[78 67] ; [94 59],[83.69127517 61.30872483] ; [88.30872483 64.69127517],0
n4,1,0.218808,1.512173,[113  32] ; [127  25],[117.17171717  27.82828283] ; [122.82828283  29.17171717],0
r2,1,0.223251,1.48335,[124  21] ; [137  15],[127.42424242  17.57575758] ; [133.57575758  18.42424242],0
s2,1,0.227948,1.453621,[55 88] ; [69 83],[60.10847458 82.89152542] ; [63.89152542 88.10847458],0
v3,1,0.310693,1.027726,[45 98] ; [56 95],[49.12585034 93.87414966] ; [51.87414966 99.12585034],0
u1,1,0.311157,1.025759,[  7 138] ; [  4 149],[  5.35234899 139.64765101] ; [  5.64765101 147.35234899],0
s1,1,0.340778,0.907503,[  8 134] ; [  5 145],[  6.32191781 135.67808219] ; [  6.67808219 143.32191781],0
s3,1,0.354537,0.857153,[68 74] ; [81 71],[71.96598639 70.03401361] ; [77.03401361 74.96598639],0
s4,1,0.357015,0.848367,[ 29 116] ; [ 24 127],[ 25.96283784 119.03716216] ; [ 27.03716216 123.96283784],0
p1,1,0.365885,0.817591,[ 10 134] ; [ 15 137],[ 12.16216216 131.83783784] ; [ 12.83783784 139.16216216],0
u3,1,0.384305,0.756886,[29 37] ; [33 31],[31.47692308 34.52307692] ; [30.52307692 33.47692308],0
d4,1,0.43425,0.61143,[74 71] ; [85 68],[77.36577181 67.63422819] ; [81.63422819 71.36577181],0
p12,1,0.535104,0.38469,[  7 136] ; [ 10 142],[  8.24067797 134.75932203] ; [  8.75932203 143.24067797],0
n1,1,0.548511,0.359991,[21 26] ; [16 15],[22.29487179 24.70512821] ; [14.70512821 16.29487179],0
a2,1,0.554807,0.348776,[  8 137] ; [ 11 142],[  9.24496644 135.75503356] ; [  9.75503356 143.24496644],0
b2,1,0.569936,0.32279,[26 50] ; [35 56],[27.76047904 48.23952096] ; [33.23952096 57.76047904],0
b3,1,0.569936,0.32279,[26 50] ; [35 56],[27.76047904 48.23952096] ; [33.23952096 57.76047904],0
n2,1,0.589212,0.291577,[39  8] ; [25  7],[38.07594937  8.92405063] ; [25.92405063  6.07594937],0
n3,1,0.59982,0.275268,[32 14] ; [24  8],[33.02564103 12.97435897] ; [22.97435897  9.02564103],0
a3,1,0.611709,0.257694,[79 64] ; [89 64],[81.16216216 61.83783784] ; [86.83783784 66.16216216],0
a8,1,0.618999,0.247277,[ 23 117] ; [ 20 120],[ 21.5 118.5] ; [ 21.5 118.5],0
b5,1,0.764076,0.090079,[84 61] ; [86 67],[82.71812081 62.28187919] ; [87.28187919 65.71812081],0
b4,1,0.779562,0.078338,[81 64] ; [83 70],[79.79865772 65.20134228] ; [84.20134228 68.79865772],0
b1,1,0.866476,0.02827,[63 82] ; [65 88],[62.28187919 82.71812081] ; [65.71812081 87.28187919],0
d2,1,0.933087,0.00705,[ 25 119] ; [ 26 127],[ 24.72727273 119.27272727] ; [ 26.27272727 126.72727273],0
