Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,7e-06,20.149986,[28 97] ; [26 18],[39.9408284 85.0591716] ; [14.0591716 29.9408284],1
p7,1,9.7e-05,15.194835,[40 84] ; [29 15],[50.92857143 73.07142857] ; [18.07142857 25.92857143],1
p6,1,0.015015,5.914749,[ 17 107] ; [13 30],[ 22.2754491 101.7245509] ; [ 7.7245509 35.2754491],0
s4,1,0.018077,5.58871,[ 13 111] ; [11 33],[ 17.71428571 106.28571429] ; [ 6.28571429 37.71428571],0
s6,1,0.020025,5.409716,[41 85] ; [23 21],[47.43529412 78.56470588] ; [16.56470588 27.43529412],0
s2,1,0.043775,4.065218,[ 24 101] ; [15 29],[28.84615385 96.15384615] ; [10.15384615 33.84615385],0
p11,1,0.056318,3.642642,[61 65] ; [14 30],[55.58823529 70.41176471] ; [19.41176471 24.58823529],0
n2,1,0.068836,3.310561,[34 25] ; [11  2],[36.875 22.125] ; [8.125 4.875],0
p8,1,0.086667,2.935218,[26 97] ; [15 29],[30.19760479 92.80239521] ; [10.80239521 33.19760479],0
b1,1,0.094157,2.801826,[56 70] ; [26 18],[60.77647059 65.22352941] ; [21.22352941 22.77647059],0
r4,1,0.096973,2.75463,[77 49] ; [33 11],[81.52941176 44.47058824] ; [28.47058824 15.52941176],0
p2,1,0.099972,2.705984,[65 61] ; [29 15],[69.67058824 56.32941176] ; [24.32941176 19.67058824],0
d2,1,0.111781,2.528855,[59 64] ; [15 29],[54.50299401 68.49700599] ; [19.49700599 24.50299401],0
r3,1,0.118126,2.441998,[93 31] ; [38  6],[96.69047619 27.30952381] ; [34.30952381  9.69047619],0
u3,1,0.160262,1.971755,[18 34] ; [11 10],[20.65753425 31.34246575] ; [ 8.34246575 12.65753425],0
s3,1,0.16227,1.952948,[41 81] ; [20 24],[44.8313253 77.1686747] ; [16.1686747 27.8313253],0
d1,1,0.168809,1.89349,[55 71] ; [14 30],[51.14117647 74.85882353] ; [17.85882353 26.14117647],0
a2,1,0.170325,1.880076,[ 26 100] ; [ 5 39],[ 22.97647059 103.02352941] ; [ 8.02352941 35.97647059],0
n5,1,0.200368,1.639688,[68 57] ; [19 25],[64.34911243 60.65088757] ; [22.65088757 21.34911243],0
v1,1,0.238887,1.387151,[36 88] ; [17 27],[39.11904762 84.88095238] ; [13.88095238 30.11904762],0
n3,1,0.262118,1.257538,[35 23] ; [10  3],[36.76056338 21.23943662] ; [8.23943662 4.76056338],0
v3,1,0.291688,1.111816,[25 96] ; [12 30],[27.46625767 93.53374233] ; [ 9.53374233 32.46625767],0
s5,1,0.304499,1.054388,[ 18 108] ; [ 9 34],[ 20.13017751 105.86982249] ; [ 6.86982249 36.13017751],0
p9,1,0.309058,1.034698,[37 83] ; [10 34],[34.3902439 85.6097561] ; [12.6097561 31.3902439],0
a4,1,0.315188,1.008811,[53 71] ; [15 29],[50.19047619 73.80952381] ; [17.80952381 26.19047619],0
v4,1,0.357412,0.846967,[93 31] ; [36  8],[95.21428571 28.78571429] ; [33.78571429 10.21428571],0
a3,1,0.362678,0.828599,[74 49] ; [23 21],[71.44311377 51.55688623] ; [25.55688623 18.44311377],0
b3,1,0.366736,0.814694,[25 52] ; [ 6 20],[23.17475728 53.82524272] ; [ 7.82524272 18.17475728],0
b2,1,0.366736,0.814694,[25 52] ; [ 6 20],[23.17475728 53.82524272] ; [ 7.82524272 18.17475728],0
d3,1,0.38285,0.761531,[72 53] ; [22 22],[69.52662722 55.47337278] ; [24.47337278 19.52662722],0
n6,1,0.491881,0.472409,[71 54] ; [27 16],[72.91666667 52.08333333] ; [25.08333333 17.91666667],0
d4,1,0.518843,0.416192,[83 40] ; [32 12],[84.7005988 38.2994012] ; [30.2994012 13.7005988],0
u1,1,0.522554,0.40885,[ 16 110] ; [ 4 40],[ 14.82352941 111.17647059] ; [ 5.17647059 38.82352941],0
s1,1,0.559207,0.341078,[  8 116] ; [ 4 40],[  8.85714286 115.14285714] ; [ 3.14285714 40.85714286],0
a6,1,0.603178,0.27023,[71 54] ; [23 21],[69.52662722 55.47337278] ; [24.47337278 19.52662722],0
b4,1,0.625023,0.238871,[72 54] ; [27 17],[73.37647059 52.62352941] ; [25.62352941 18.37647059],0
a8,1,0.627108,0.236002,[ 11 103] ; [ 3 39],[ 10.23076923 103.76923077] ; [ 3.76923077 38.23076923],0
a7,1,0.635091,0.22522,[71 53] ; [27 17],[72.33333333 51.66666667] ; [25.66666667 18.33333333],0
u2,1,0.742045,0.108337,[20 31] ; [ 7 13],[19.3943662 31.6056338] ; [ 7.6056338 12.3943662],0
b5,1,0.766658,0.08806,[77 49] ; [28 16],[77.82352941 48.17647059] ; [27.17647059 16.82352941],0
n4,1,0.801268,0.063356,[74 51] ; [27 17],[74.70414201 50.29585799] ; [26.29585799 17.70414201],0
a1,1,0.810085,0.057752,[ 10 116] ; [ 3 41],[  9.63529412 116.36470588] ; [ 3.36470588 40.63529412],0
d5,1,0.819961,0.051799,[80 45] ; [29 15],[80.62130178 44.37869822] ; [28.37869822 15.62130178],0
r2,1,0.847406,0.037029,[99 24] ; [36  8],[99.43113772 23.56886228] ; [35.56886228  8.43113772],0
v2,1,0.889418,0.019332,[44 78] ; [15 28],[43.62424242 78.37575758] ; [15.37575758 27.62424242],0
r1,1,0.931439,0.007402,[77 47] ; [27 17],[76.76190476 47.23809524] ; [27.23809524 16.76190476],0
p1,1,0.932698,0.007132,[  8 116] ; [ 3 41],[  8.11904762 115.88095238] ; [ 2.88095238 41.11904762],0
a5,1,0.947259,0.004376,[68 58] ; [24 20],[68.18823529 57.81176471] ; [23.81176471 20.18823529],0
n1,1,0.972147,0.001219,[23 36] ; [5 8],[22.94444444 36.05555556] ; [5.05555556 7.94444444],0
s7,1,0.997704,8e-06,[23 95] ; [ 8 33],[23.00628931 94.99371069] ; [ 7.99371069 33.00628931],0
