Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,3e-06,21.842976,[104   9] ; [20 14],[95.31972789 17.68027211] ; [28.68027211  5.31972789],1
r4,1,9e-06,19.662347,[94 19] ; [16 19],[83.98648649 29.01351351] ; [26.01351351  8.98648649],1
p10,1,2.5e-05,17.747513,[71 40] ; [ 7 25],[60.54545455 50.45454545] ; [17.45454545 14.54545455],1
s6,1,8.8e-05,15.387943,[75 34] ; [11 24],[65.09722222 43.90277778] ; [20.90277778 14.09722222],1
r3,1,9.1e-05,15.322231,[93 19] ; [17 17],[84.38356164 27.61643836] ; [25.61643836  8.38356164],1
p4,1,9.1e-05,15.321579,[61 50] ; [ 6 29],[50.93835616 60.06164384] ; [16.06164384 18.93835616],1
s8,1,0.000198,13.851923,[52 60] ; [ 4 31],[42.66666667 69.33333333] ; [13.33333333 21.66666667],1
p8,1,0.00161,9.948808,[44 69] ; [ 3 29],[36.62758621 76.37241379] ; [10.37241379 21.62758621],0
p3,1,0.002121,9.441991,[48 64] ; [ 5 30],[40.38095238 71.61904762] ; [12.61904762 22.38095238],0
r1,1,0.002994,8.811305,[86 25] ; [18 17],[79.06849315 31.93150685] ; [24.93150685 10.06849315],0
p6,1,0.005406,7.738263,[42 69] ; [ 4 29],[35.45833333 75.54166667] ; [10.54166667 22.45833333],0
d4,1,0.006402,7.433502,[86 27] ; [17 16],[79.71917808 33.28082192] ; [23.28082192  9.71917808],0
p9,1,0.006446,7.421267,[77 33] ; [14 18],[70.49295775 39.50704225] ; [20.50704225 11.49295775],0
a1,1,0.0073,7.197644,[  6 107] ; [ 7 28],[  9.92567568 103.07432432] ; [ 3.07432432 31.92567568],0
p2,1,0.007345,7.186708,[79 33] ; [16 19],[72.38095238 39.61904762] ; [22.61904762 12.38095238],0
d5,1,0.008067,7.018582,[89 24] ; [19 15],[83.02040816 29.97959184] ; [24.97959184  9.02040816],0
s7,1,0.011672,6.359992,[54 49] ; [ 9 24],[47.71323529 55.28676471] ; [15.28676471 17.71323529],0
s2,1,0.032741,4.559275,[55 57] ; [10 25],[49.52380952 62.47619048] ; [15.47619048 19.52380952],0
b5,1,0.035594,4.416473,[77 36] ; [17 18],[71.77027027 41.22972973] ; [22.22972973 12.77027027],0
r2,1,0.05187,3.779951,[103   7] ; [29  6],[100.13793103   9.86206897] ; [31.86206897  3.13793103],0
n4,1,0.060337,3.528103,[98 14] ; [26  9],[94.47619048 17.52380952] ; [29.52380952  5.47619048],0
d1,1,0.063605,3.440794,[59 54] ; [12 23],[54.20945946 58.79054054] ; [16.79054054 18.20945946],0
s5,1,0.075587,3.157315,[36 71] ; [ 6 28],[31.87234043 75.12765957] ; [10.12765957 23.87234043],0
n2,1,0.078997,3.085415,[32  9] ; [10  8],[29.18644068 11.81355932] ; [12.81355932  5.18644068],0
v2,1,0.093807,2.807805,[50 62] ; [ 9 23],[45.88888889 66.11111111] ; [13.11111111 18.88888889],0
u1,1,0.10947,2.561851,[23 90] ; [ 3 32],[19.85135135 93.14864865] ; [ 6.14864865 28.85135135],0
p7,1,0.119174,2.428143,[57 53] ; [12 21],[53.07692308 56.92307692] ; [15.92307692 17.07692308],0
a6,1,0.122785,2.381437,[63 50] ; [24 10],[66.87755102 46.12244898] ; [20.12244898 13.87755102],0
u3,1,0.128271,2.313312,[19 19] ; [3 9],[16.72 21.28] ; [5.28 6.72],0
v1,1,0.160268,1.971696,[54 59] ; [12 23],[50.39189189 62.60810811] ; [15.60810811 19.39189189],0
a7,1,0.160737,1.967282,[79 34] ; [20 15],[75.58783784 37.41216216] ; [23.41216216 11.58783784],0
v3,1,0.186909,1.741811,[41 71] ; [ 8 25],[37.84827586 74.15172414] ; [11.15172414 21.84827586],0
a8,1,0.222095,1.490781,[14 83] ; [ 8 26],[16.29007634 80.70992366] ; [ 5.70992366 28.29007634],0
s3,1,0.268382,1.225,[60 52] ; [15 20],[57.14285714 54.85714286] ; [17.85714286 17.14285714],0
a5,1,0.319705,0.990151,[75 38] ; [20 15],[72.53378378 40.46621622] ; [22.46621622 12.53378378],0
p5,1,0.357831,0.845491,[13 99] ; [ 2 31],[ 11.5862069 100.4137931] ; [ 3.4137931 29.5862069],0
d3,1,0.390654,0.736907,[71 42] ; [18 15],[68.88356164 44.11643836] ; [20.11643836 12.88356164],0
s4,1,0.43136,0.619158,[19 93] ; [ 4 31],[17.52380952 94.47619048] ; [ 5.47619048 29.52380952],0
b1,1,0.473454,0.513902,[60 53] ; [21 14],[61.84459459 51.15540541] ; [19.15540541 15.84459459],0
n3,1,0.500969,0.452883,[25 15] ; [9 8],[23.85964912 16.14035088] ; [10.14035088  6.85964912],0
n1,1,0.651512,0.203999,[22 17] ; [9 9],[21.21052632 17.78947368] ; [9.78947368 8.21052632],0
p1,1,0.725731,0.123067,[ 12 101] ; [ 3 32],[ 11.4527027 101.5472973] ; [ 3.5472973 31.4527027],0
a2,1,0.742057,0.108327,[26 87] ; [ 9 26],[26.72297297 86.27702703] ; [ 8.27702703 26.72297297],0
b2,1,0.865576,0.028656,[23 39] ; [ 7 13],[22.68292683 39.31707317] ; [ 7.31707317 12.68292683],0
b3,1,0.865576,0.028656,[23 39] ; [ 7 13],[22.68292683 39.31707317] ; [ 7.31707317 12.68292683],0
a4,1,0.870541,0.02656,[49 62] ; [16 19],[49.41780822 61.58219178] ; [15.58219178 19.41780822],0
d2,1,0.927329,0.008319,[57 55] ; [17 17],[56.76712329 55.23287671] ; [17.23287671 16.76712329],0
s1,1,0.928572,0.008036,[  7 104] ; [ 2 32],[  6.88965517 104.11034483] ; [ 2.11034483 31.88965517],0
b4,1,0.935359,0.006578,[59 54] ; [18 17],[58.79054054 54.20945946] ; [18.20945946 16.79054054],0
u2,1,0.953884,0.003344,[12 25] ; [4 8],[12.08163265 24.91836735] ; [3.91836735 8.08163265],0
a3,1,0.993087,7.5e-05,[75 36] ; [23 11],[75.02068966 35.97931034] ; [22.97931034 11.02068966],0
