Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,4.5e-05,16.630498,[17  7] ; [19 57],[ 8.64 15.36] ; [27.36 48.64],1
b4,1,0.020576,5.362317,[19  5] ; [41 37],[14.11764706  9.88235294] ; [45.88235294 32.11764706],0
v1,1,0.02102,5.325123,[11 13] ; [17 61],[ 6.58823529 17.41176471] ; [21.41176471 56.58823529],0
v4,1,0.023614,5.122734,[22  2] ; [52 24],[17.76  6.24] ; [56.24 19.76],0
n4,1,0.057068,3.620619,[19  5] ; [45 33],[15.05882353  8.94117647] ; [48.94117647 29.05882353],0
d5,1,0.090033,2.873786,[19  5] ; [47 31],[15.52941176  8.47058824] ; [50.47058824 27.52941176],0
d4,1,0.104426,2.636615,[18  5] ; [46 31],[14.72  8.28] ; [49.28 27.72],0
u3,1,0.111574,2.53178,[6 4] ; [12 25],[3.82978723 6.17021277] ; [14.17021277 22.82978723],0
n2,1,0.155022,2.022129,[6 2] ; [18 20],[4.17391304 3.82608696] ; [19.82608696 18.17391304],0
r4,1,0.1716,1.86891,[17  7] ; [43 35],[14.11764706  9.88235294] ; [45.88235294 32.11764706],0
r1,1,0.188945,1.725828,[18  6] ; [47 31],[15.29411765  8.70588235] ; [49.70588235 28.29411765],0
p10,1,0.195386,1.676529,[ 8 16] ; [16 62],[ 5.64705882 18.35294118] ; [18.35294118 59.64705882],0
n3,1,0.222237,1.489865,[6 2] ; [19 18],[4.44444444 3.55555556] ; [20.55555556 16.44444444],0
n6,1,0.246985,1.340279,[16  8] ; [41 36],[13.54455446 10.45544554] ; [43.45544554 33.54455446],0
b5,1,0.248385,1.332366,[14 10] ; [35 43],[11.52941176 12.47058824] ; [37.47058824 40.52941176],0
n1,1,0.25015,1.322463,[4 3] ; [13 25],[2.64444444 4.35555556] ; [14.35555556 23.64444444],0
p3,1,0.279485,1.169591,[ 8 16] ; [17 59],[ 6. 18.] ; [19. 57.],0
u2,1,0.331105,0.944573,[3 7] ; [17 19],[4.34782609 5.65217391] ; [15.65217391 20.34782609],0
s2,1,0.345269,0.89077,[ 5 19] ; [10 67],[ 3.56435644 20.43564356] ; [11.43564356 65.56435644],0
u1,1,0.357682,0.846016,[ 1 23] ; [ 8 70],[ 2.11764706 21.88235294] ; [ 6.88235294 71.11764706],0
a2,1,0.38003,0.770604,[ 2 22] ; [12 66],[ 3.29411765 20.70588235] ; [10.70588235 67.29411765],0
p8,1,0.392263,0.731915,[ 7 17] ; [16 61],[ 5.46534653 18.53465347] ; [17.53465347 59.46534653],0
a5,1,0.39231,0.73177,[15  9] ; [41 37],[13.17647059 10.82352941] ; [42.82352941 35.17647059],0
n5,1,0.409933,0.678994,[14 10] ; [38 40],[12.23529412 11.76470588] ; [39.76470588 38.23529412],0
d3,1,0.409933,0.678994,[14 10] ; [38 40],[12.23529412 11.76470588] ; [39.76470588 38.23529412],0
p4,1,0.464074,0.536052,[ 8 15] ; [21 57],[ 6.6039604 16.3960396] ; [22.3960396 55.6039604],0
s8,1,0.467746,0.527295,[ 3 21] ; [ 6 72],[ 2.11764706 21.88235294] ; [ 6.88235294 71.11764706],0
s4,1,0.467746,0.527295,[ 3 21] ; [ 6 72],[ 2.11764706 21.88235294] ; [ 6.88235294 71.11764706],0
p2,1,0.474884,0.510589,[14 10] ; [39 39],[12.47058824 11.52941176] ; [40.52941176 37.47058824],0
b2,1,0.555864,0.346917,[5 7] ; [16 33],[4.13114754 7.86885246] ; [16.86885246 32.13114754],0
b3,1,0.555864,0.346917,[5 7] ; [16 33],[4.13114754 7.86885246] ; [16.86885246 32.13114754],0
p11,1,0.564069,0.332707,[13 11] ; [37 41],[11.76470588 12.23529412] ; [38.23529412 39.76470588],0
d1,1,0.596048,0.280998,[11 13] ; [31 47],[ 9.88235294 14.11764706] ; [32.11764706 45.88235294],0
a4,1,0.61925,0.246923,[ 8 16] ; [30 47],[ 9.02970297 14.97029703] ; [28.97029703 48.02970297],0
a7,1,0.625547,0.238147,[14  9] ; [43 35],[12.98019802 10.01980198] ; [44.01980198 33.98019802],0
d2,1,0.647956,0.208487,[12 11] ; [36 41],[11.04 11.96] ; [36.96 40.04],0
a3,1,0.662187,0.190877,[14 10] ; [41 36],[13.06930693 10.93069307] ; [41.93069307 35.06930693],0
r3,1,0.665846,0.1865,[17  6] ; [54 24],[16.16831683  6.83168317] ; [54.83168317 23.16831683],0
s5,1,0.706135,0.142169,[ 3 20] ; [ 8 70],[ 2.5049505 20.4950495] ; [ 8.4950495 69.5049505],0
a8,1,0.749933,0.101587,[ 1 20] ; [ 5 70],[ 1.3125 19.6875] ; [ 4.6875 70.3125],0
a6,1,0.843932,0.038756,[15  9] ; [47 31],[14.58823529  9.41176471] ; [47.41176471 30.58823529],0
s3,1,0.856381,0.032755,[ 7 17] ; [21 56],[ 6.65346535 17.34653465] ; [21.34653465 55.65346535],0
p7,1,0.870792,0.026456,[ 9 14] ; [32 46],[ 9.33663366 13.66336634] ; [31.66336634 46.33663366],0
p1,1,0.909442,0.012937,[ 2 22] ; [ 7 70],[ 2.13861386 21.86138614] ; [ 6.86138614 70.13861386],0
b1,1,0.912514,0.012071,[12 12] ; [40 38],[12.23529412 11.76470588] ; [39.76470588 38.23529412],0
p6,1,0.938444,0.005964,[ 4 20] ; [12 63],[ 3.87878788 20.12121212] ; [12.12121212 62.87878788],0
s1,1,0.967113,0.0017,[ 2 21] ; [ 7 71],[ 2.04950495 20.95049505] ; [ 6.95049505 71.04950495],0
s7,1,0.968034,0.001606,[ 4 18] ; [13 60],[ 3.93684211 18.06315789] ; [13.06315789 59.93684211],0
