Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.006385,7.43833,[ 2 15] ; [16 15],[ 6.375 10.625] ; [11.625 19.375],0
u2,1,0.031633,4.618254,[3 4] ; [13  2],[5.09090909 1.90909091] ; [10.90909091  4.09090909],0
b4,1,0.036505,4.373362,[13  4] ; [14 17],[9.5625 7.4375] ; [17.4375 13.5625],0
d2,1,0.043534,4.074538,[10  7] ; [ 9 22],[ 6.72916667 10.27083333] ; [12.27083333 18.72916667],0
a8,1,0.062812,3.461538,[ 4 11] ; [ 2 28],[ 2. 13.] ; [ 4. 26.],0
p7,1,0.074187,3.187856,[ 7 10] ; [21 10],[9.91666667 7.08333333] ; [18.08333333 12.91666667],0
p1,1,0.083825,2.989132,[ 3 14] ; [ 1 30],[ 1.41666667 15.58333333] ; [ 2.58333333 28.41666667],0
s4,1,0.090757,2.860896,[ 1 16] ; [ 8 23],[ 3.1875 13.8125] ; [ 5.8125 25.1875],0
p2,1,0.130811,2.282858,[11  6] ; [26  5],[13.10416667  3.89583333] ; [23.89583333  7.10416667],0
s8,1,0.135223,2.231499,[8 9] ; [ 8 23],[ 5.66666667 11.33333333] ; [10.33333333 20.66666667],0
r3,1,0.162079,1.954724,[12  4] ; [28  3],[13.61702128  2.38297872] ; [26.38297872  4.61702128],0
a4,1,0.17522,1.837705,[ 7 10] ; [ 7 24],[ 4.95833333 12.04166667] ; [ 9.04166667 21.95833333],0
d3,1,0.18103,1.789148,[ 7 10] ; [19 12],[9.20833333 7.79166667] ; [16.79166667 14.20833333],0
a6,1,0.18103,1.789148,[ 7 10] ; [19 12],[9.20833333 7.79166667] ; [16.79166667 14.20833333],0
u3,1,0.227776,1.454694,[1 6] ; [6 9],[2.22727273 4.77272727] ; [ 4.77272727 10.22727273],0
u1,1,0.242462,1.366224,[ 2 15] ; [ 1 30],[ 1.0625 15.9375] ; [ 1.9375 29.0625],0
a2,1,0.242462,1.366224,[ 2 15] ; [ 1 30],[ 1.0625 15.9375] ; [ 1.9375 29.0625],0
a5,1,0.285913,1.138768,[12  5] ; [17 14],[10.27083333  6.72916667] ; [18.72916667 12.27083333],0
n4,1,0.285913,1.138768,[12  5] ; [17 14],[10.27083333  6.72916667] ; [18.72916667 12.27083333],0
p3,1,0.285965,1.13852,[ 4 13] ; [12 19],[ 5.66666667 11.33333333] ; [10.33333333 20.66666667],0
n2,1,0.301409,1.067949,[3 2] ; [10  2],[3.82352941 1.17647059] ; [9.17647059 2.82352941],0
a7,1,0.341822,0.903587,[8 9] ; [19 12],[9.5625 7.4375] ; [17.4375 13.5625],0
p8,1,0.365258,0.819734,[ 7 10] ; [17 14],[8.5 8.5] ; [15.5 15.5],0
b1,1,0.365258,0.819734,[ 7 10] ; [17 14],[8.5 8.5] ; [15.5 15.5],0
b5,1,0.488799,0.479168,[10  7] ; [15 16],[8.85416667 8.14583333] ; [16.14583333 14.85416667],0
p10,1,0.518357,0.417161,[11  5] ; [24  7],[11.91489362  4.08510638] ; [23.08510638  7.91489362],0
n5,1,0.524574,0.404892,[13  4] ; [21 10],[12.04166667  4.95833333] ; [21.95833333  9.04166667],0
n6,1,0.524574,0.404892,[13  4] ; [21 10],[12.04166667  4.95833333] ; [21.95833333  9.04166667],0
s2,1,0.606153,0.265815,[ 4 12] ; [10 21],[ 4.76595745 11.23404255] ; [ 9.23404255 21.76595745],0
a3,1,0.631573,0.229933,[10  7] ; [16 15],[9.20833333 7.79166667] ; [16.79166667 14.20833333],0
p9,1,0.654088,0.200785,[12  4] ; [25  6],[12.59574468  3.40425532] ; [24.40425532  6.59574468],0
d1,1,0.654415,0.20038,[ 6 11] ; [ 9 22],[ 5.3125 11.6875] ; [ 9.6875 21.3125],0
s1,1,0.659572,0.194043,[ 1 16] ; [ 1 30],[ 0.70833333 16.29166667] ; [ 1.29166667 29.70833333],0
s6,1,0.732196,0.117105,[9 8] ; [18 13],[9.5625 7.4375] ; [17.4375 13.5625],0
p4,1,0.732196,0.117105,[9 8] ; [18 13],[9.5625 7.4375] ; [17.4375 13.5625],0
s7,1,0.763406,0.090608,[ 4 11] ; [ 9 20],[ 4.43181818 10.56818182] ; [ 8.56818182 20.43181818],0
v3,1,0.788067,0.072265,[ 5 12] ; [ 8 23],[ 4.60416667 12.39583333] ; [ 8.39583333 22.60416667],0
p6,1,0.788067,0.072265,[ 5 12] ; [ 8 23],[ 4.60416667 12.39583333] ; [ 8.39583333 22.60416667],0
n1,1,0.793258,0.068687,[2 3] ; [4 8],[1.76470588 3.23529412] ; [4.23529412 7.76470588],0
p12,1,0.820885,0.05126,[ 2 15] ; [ 3 28],[ 1.77083333 15.22916667] ; [ 3.22916667 27.77083333],0
d4,1,0.838766,0.041401,[12  5] ; [21 10],[11.6875  5.3125] ; [21.3125  9.6875],0
v2,1,0.846321,0.037564,[8 9] ; [15 15],[8.31914894 8.68085106] ; [14.68085106 15.31914894],0
s5,1,0.861675,0.030361,[ 4 13] ; [ 8 23],[ 4.25 12.75] ; [ 7.75 23.25],0
d5,1,0.867259,0.027936,[10  7] ; [19 12],[10.27083333  6.72916667] ; [18.72916667 12.27083333],0
v1,1,0.867259,0.027936,[ 7 10] ; [12 19],[ 6.72916667 10.27083333] ; [12.27083333 18.72916667],0
s3,1,0.874822,0.024818,[ 5 11] ; [ 9 22],[ 4.76595745 11.23404255] ; [ 9.23404255 21.76595745],0
p5,1,0.884728,0.021019,[ 3 14] ; [ 6 25],[ 3.1875 13.8125] ; [ 5.8125 25.1875],0
r1,1,0.989511,0.000173,[ 6 11] ; [11 20],[ 6.02083333 10.97916667] ; [10.97916667 20.02083333],0
b2,1,1.0,0.0,[3 9] ; [ 4 12],[3. 9.] ; [ 4. 12.],0
b3,1,1.0,0.0,[3 9] ; [ 4 12],[3. 9.] ; [ 4. 12.],0
