Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,27.55802,[34  8] ; [ 7 27],[22.65789474 19.34210526] ; [18.34210526 15.65789474],1
d4,1,0.012998,6.169436,[19 23] ; [25  9],[24.31578947 17.68421053] ; [19.68421053 14.31578947],0
r3,1,0.018175,5.579215,[21 21] ; [26  8],[25.97368421 16.02631579] ; [21.02631579 12.97368421],0
a2,1,0.030712,4.668999,[ 8 34] ; [ 1 33],[ 4.97368421 37.02631579] ; [ 4.02631579 29.97368421],0
s5,1,0.036973,4.351648,[ 5 34] ; [11 22],[ 8.66666667 30.33333333] ; [ 7.33333333 25.66666667],0
p3,1,0.086263,2.942768,[10 32] ; [14 19],[13.44 28.56] ; [10.56 22.44],0
n1,1,0.089906,2.876058,[8 9] ; [ 2 10],[ 5.86206897 11.13793103] ; [4.13793103 7.86206897],0
s2,1,0.105335,2.622854,[10 32] ; [14 20],[13.26315789 28.73684211] ; [10.73684211 23.26315789],0
b4,1,0.121897,2.39277,[16 26] ; [19 15],[19.34210526 22.65789474] ; [15.65789474 18.34210526],0
p7,1,0.141548,2.161051,[14 28] ; [17 17],[17.13157895 24.86842105] ; [13.86842105 20.13157895],0
d3,1,0.153004,2.042042,[18 23] ; [20 13],[21.05405405 19.94594595] ; [16.94594595 16.05405405],0
u3,1,0.162587,1.95,[ 6 18] ; [7 8],[ 8. 16.] ; [ 5. 10.],0
a6,1,0.166302,1.915966,[24 18] ; [14 20],[21. 21.] ; [17. 17.],0
v4,1,0.174366,1.845005,[26 16] ; [26  8],[28.73684211 13.26315789] ; [23.26315789 10.73684211],0
s4,1,0.184921,1.757629,[ 7 35] ; [10 24],[ 9.39473684 32.60526316] ; [ 7.60526316 26.39473684],0
u2,1,0.191189,1.708433,[ 6 17] ; [7 8],[ 7.86842105 15.13157895] ; [5.13157895 9.86842105],0
a3,1,0.205667,1.60167,[18 24] ; [19 14],[20.72 21.28] ; [16.28 16.72],0
s1,1,0.211064,1.564115,[ 1 41] ; [ 3 31],[ 2.21052632 39.78947368] ; [ 1.78947368 32.21052632],0
a1,1,0.235256,1.408799,[ 6 36] ; [ 2 32],[ 4.42105263 37.57894737] ; [ 3.57894737 30.42105263],0
