Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,56.68167,[227  64] ; [49 74],[194.  97.] ; [82. 41.],1
d3,1,0.0,49.566314,[219  72] ; [48 75],[187.67391304 103.32608696] ; [79.32608696 43.67391304],1
r4,1,0.0,25.533594,[263  28] ; [87 36],[246.01449275  44.98550725] ; [103.98550725  19.01449275],1
d5,1,8e-06,19.880615,[248  43] ; [81 42],[231.25362319  59.74637681] ; [97.74637681 25.25362319],1
a5,1,3.6e-05,17.078321,[230  61] ; [73 50],[212.97826087  78.02173913] ; [90.02173913 32.97826087],1
a2,1,4.3e-05,16.719462,[ 82 209] ; [ 12 111],[ 66.07246377 224.92753623] ; [27.92753623 95.07246377],1
u1,1,4.4e-05,16.674186,[ 65 226] ; [  7 116],[ 50.60869565 240.39130435] ; [ 21.39130435 101.60869565],1
v4,1,0.000103,15.087642,[273  17] ; [99 22],[262.48175182  27.51824818] ; [109.51824818  11.48175182],1
d4,1,0.000486,12.167365,[245  46] ; [85 38],[231.95652174  59.04347826] ; [98.04347826 24.95652174],1
r1,1,0.00049,12.151488,[236  53] ; [81 42],[222.36165049  66.63834951] ; [94.63834951 28.36165049],1
r3,1,0.001336,10.292699,[270  18] ; [103  20],[261.37226277  26.62773723] ; [111.62773723  11.37226277],0
r2,1,0.002858,8.896112,[268  15] ; [104  17],[260.58415842  22.41584158] ; [111.41584158   9.58415842],0
b5,1,0.008115,7.007974,[185 106] ; [61 62],[172.91304348 118.08695652] ; [73.08695652 49.91304348],0
d1,1,0.010525,6.543889,[170 121] ; [55 68],[158.15217391 132.84782609] ; [66.84782609 56.15217391],0
b1,1,0.013162,6.147239,[104 187] ; [60 63],[115.27536232 175.72463768] ; [48.72463768 74.27536232],0
u3,1,0.013665,6.080938,[48 32] ; [18 30],[41.25 38.75] ; [24.75 23.25],0
n3,1,0.015614,5.845839,[49 14] ; [19 16],[43.71428571 19.28571429] ; [24.28571429 10.71428571],0
p4,1,0.017586,5.636973,[177 113] ; [59 63],[166.11650485 123.88349515] ; [69.88349515 52.11650485],0
a3,1,0.018712,5.528251,[210  79] ; [75 48],[199.91504854  89.08495146] ; [85.08495146 37.91504854],0
p2,1,0.029071,4.763424,[245  46] ; [90 30],[237.18978102  53.81021898] ; [97.81021898 22.18978102],0
p10,1,0.037899,4.30956,[234  55] ; [86 34],[226.11246944  62.88753056] ; [93.88753056 26.11246944],0
a8,1,0.055112,3.678684,[ 48 219] ; [ 12 105],[ 41.71875 225.28125] ; [18.28125 98.71875],0
s2,1,0.056278,3.643819,[140 149] ; [47 76],[131.1723301 157.8276699] ; [55.8276699 67.1723301],0
p7,1,0.058743,3.572512,[179 107] ; [63 57],[170.4729064 115.5270936] ; [71.5270936 48.4729064],0
v2,1,0.062444,3.471254,[123 159] ; [40 79],[114.62842893 167.37157107] ; [48.37157107 70.62842893],0
s6,1,0.076483,3.138088,[195  93] ; [69 49],[187.27093596 100.72906404] ; [76.72906404 41.27093596],0
p9,1,0.081445,3.035824,[241  46] ; [92 28],[234.81818182  52.18181818] ; [98.18181818 21.81818182],0
n6,1,0.0848,2.970426,[251  38] ; [97 24],[245.29756098  43.70243902] ; [102.70243902  18.29756098],0
n2,1,0.102157,2.671537,[49 15] ; [22 14],[45.44 18.56] ; [25.56 10.44],0
v1,1,0.116456,2.464345,[133 148] ; [47 74],[125.82089552 155.17910448] ; [54.17910448 66.82089552],0
a1,1,0.12444,2.360527,[ 14 277] ; [  2 121],[ 11.24637681 279.75362319] ; [  4.75362319 118.24637681],0
u4,1,0.135922,2.223535,[  2 289] ; [  3 120],[  3.51449275 287.48550725] ; [  1.48550725 121.51449275],0
p8,1,0.144966,2.124434,[146 141] ; [52 69],[139.27941176 147.72058824] ; [58.72058824 62.27941176],0
b2,1,0.153808,2.03407,[ 61 113] ; [38 48],[ 66.25384615 107.74615385] ; [32.74615385 53.25384615],0
b3,1,0.153808,2.03407,[ 61 113] ; [38 48],[ 66.25384615 107.74615385] ; [32.74615385 53.25384615],0
p12,1,0.171622,1.868715,[ 14 275] ; [ 10 110],[ 16.95843521 272.04156479] ; [  7.04156479 112.95843521],0
u2,1,0.20768,1.587525,[45 35] ; [21 26],[41.57480315 38.42519685] ; [24.42519685 22.57480315],0
p1,1,0.252633,1.308683,[ 19 270] ; [ 12 110],[ 21.79805353 267.20194647] ; [  9.20194647 112.79805353],0
s5,1,0.258083,1.279011,[ 82 198] ; [41 76],[ 86.75062972 193.24937028] ; [36.24937028 80.75062972],0
p3,1,0.282171,1.156602,[138 152] ; [51 71],[133.03398058 156.96601942] ; [55.96601942 66.03398058],0
p6,1,0.293462,1.103671,[109 180] ; [38 80],[104.38083538 184.61916462] ; [42.61916462 75.38083538],0
n5,1,0.330948,0.945184,[234  54] ; [104  18],[237.42439024  50.57560976] ; [100.57560976  21.42439024],0
p11,1,0.34286,0.899709,[230  61] ; [92 31],[226.33333333  64.66666667] ; [95.66666667 27.33333333],0
s8,1,0.482222,0.493835,[112 178] ; [43 80],[108.8377724 181.1622276] ; [46.1622276 76.8377724],0
s3,1,0.521934,0.410069,[161 129] ; [63 58],[158.05352798 131.94647202] ; [65.94647202 55.05352798],0
s1,1,0.593432,0.285016,[ 11 278] ; [  6 115],[ 11.98292683 277.01707317] ; [  5.01707317 115.98292683],0
b4,1,0.709863,0.138414,[169 122] ; [69 54],[167.28985507 123.71014493] ; [70.71014493 52.28985507],0
a4,1,0.750008,0.101525,[132 158] ; [53 68],[130.53527981 159.46472019] ; [54.46472019 66.53527981],0
s4,1,0.752563,0.09939,[ 50 235] ; [23 99],[ 51.11793612 233.88206388] ; [ 21.88206388 100.11793612],0
