Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,3e-06,21.97003,[203  20] ; [7 7],[197.59493671  25.40506329] ; [12.40506329  1.59493671],1
a7,1,0.000465,12.250536,[172  50] ; [5 9],[166.5  55.5] ; [10.5  3.5],1
a1,1,0.00096,10.903397,[  7 216] ; [ 3 11],[  9.4092827 213.5907173] ; [ 0.5907173 13.4092827],1
r2,1,0.003859,8.348774,[205  15] ; [10  4],[202.13675214  17.86324786] ; [12.86324786  1.13675214],0
s3,1,0.004367,8.124607,[122  96] ; [ 2 11],[117.02164502 100.97835498] ; [6.97835498 6.02164502],0
p11,1,0.010513,6.545765,[177  46] ; [7 7],[173.13080169  49.86919831] ; [10.86919831  3.13080169],0
d5,1,0.025911,4.961931,[182  41] ; [8 6],[178.77637131  44.22362869] ; [11.22362869  2.77637131],0
v2,1,0.031214,4.641181,[112  96] ; [ 3 10],[108.23529412  99.76470588] ; [6.76470588 6.23529412],0
a6,1,0.038234,4.294599,[155  68] ; [6 8],[151.48945148  71.51054852] ; [9.51054852 4.48945148],0
p10,1,0.044264,4.046444,[175  44] ; [8 6],[172.00429185  46.99570815] ; [10.99570815  3.00429185],0
p2,1,0.053045,3.742513,[184  38] ; [8 5],[181.3787234  40.6212766] ; [10.6212766  2.3787234],0
r1,1,0.060867,3.513607,[174  47] ; [8 6],[171.15744681  49.84255319] ; [10.84255319  3.15744681],0
d3,1,0.138334,2.196392,[154  69] ; [7 7],[151.48945148  71.51054852] ; [9.51054852 4.48945148],0
b1,1,0.160677,1.96784,[ 71 152] ; [7 7],[ 73.39240506 149.60759494] ; [4.60759494 9.39240506],0
v4,1,0.172499,1.861093,[210  12] ; [12  2],[208.83050847  13.16949153] ; [13.16949153  0.83050847],0
p6,1,0.184669,1.759642,[ 68 151] ; [ 2 12],[ 65.79399142 153.20600858] ; [4.20600858 9.79399142],0
d1,1,0.18829,1.730949,[120 103] ; [5 9],[117.61603376 105.38396624] ; [7.38396624 6.61603376],0
n1,1,0.196969,1.664709,[16 35] ; [3 2],[17.30357143 33.69642857] ; [1.69642857 3.30357143],0
b5,1,0.211725,1.559595,[148  75] ; [7 7],[145.84388186  77.15611814] ; [9.15611814 4.84388186],0
s2,1,0.229874,1.441643,[ 99 121] ; [ 4 10],[ 96.83760684 123.16239316] ; [6.16239316 7.83760684],0
u3,1,0.258379,1.277419,[53 40] ; [2 4],[51.66666667 41.33333333] ; [3.33333333 2.66666667],0
s8,1,0.282968,1.152779,[ 61 162] ; [ 2 12],[ 59.27848101 163.72151899] ; [ 3.72151899 10.27848101],0
p4,1,0.2937,1.102584,[127  95] ; [6 8],[125.11016949  96.88983051] ; [7.88983051 6.11016949],0
p7,1,0.327159,0.960111,[130  87] ; [6 7],[128.31304348  88.68695652] ; [7.68695652 5.31304348],0
s5,1,0.329967,0.949026,[ 66 151] ; [6 8],[ 67.63636364 149.36363636] ; [4.36363636 9.63636364],0
p9,1,0.334709,0.930591,[180  40] ; [10  4],[178.63247863  41.36752137] ; [11.36752137  2.63247863],0
n2,1,0.337414,0.920233,[41 11] ; [3 2],[40.14035088 11.85964912] ; [3.85964912 1.14035088],0
d4,1,0.345885,0.888497,[182  41] ; [10  4],[180.65822785  42.34177215] ; [11.34177215  2.65822785],0
a5,1,0.372551,0.795137,[153  70] ; [8 6],[151.48945148  71.51054852] ; [9.51054852 4.48945148],0
s4,1,0.375548,0.785224,[ 41 176] ; [ 4 10],[ 42.27272727 174.72727273] ; [ 2.72727273 11.27272727],0
n4,1,0.414886,0.664757,[152  71] ; [11  3],[153.37130802  69.62869198] ; [9.62869198 4.37130802],0
n5,1,0.427654,0.629187,[152  70] ; [11  3],[153.33050847  68.66949153] ; [9.66949153 4.33050847],0
b4,1,0.474363,0.511795,[138  85] ; [10  4],[139.25738397  83.74261603] ; [8.74261603 5.25738397],0
a4,1,0.544684,0.366927,[ 87 135] ; [4 9],[ 85.96595745 136.03404255] ; [5.03404255 7.96595745],0
v3,1,0.554568,0.349197,[ 66 148] ; [ 3 10],[ 65.04845815 148.95154185] ; [3.95154185 9.04845815],0
n6,1,0.612171,0.257026,[178  44] ; [12  2],[178.72881356  43.27118644] ; [11.27118644  2.72881356],0
p1,1,0.652915,0.202245,[ 10 211] ; [ 1 13],[ 10.34468085 210.65531915] ; [ 0.65531915 13.34468085],0
v1,1,0.664423,0.188195,[110 105] ; [8 6],[110.7860262 104.2139738] ; [7.2139738 6.7860262],0
p8,1,0.674788,0.176052,[107 113] ; [6 8],[106.23931624 113.76068376] ; [6.76068376 7.23931624],0
a3,1,0.745197,0.105612,[127  96] ; [8 5],[127.56355932  95.43644068] ; [7.43644068 5.56355932],0
b3,1,0.79639,0.066576,[31 75] ; [3 6],[31.33913043 74.66086957] ; [2.66086957 6.33913043],0
b2,1,0.79639,0.066576,[31 75] ; [3 6],[31.33913043 74.66086957] ; [2.66086957 6.33913043],0
d2,1,0.811485,0.056887,[ 88 134] ; [6 8],[ 88.42372881 133.57627119] ; [5.57627119 8.42372881],0
p3,1,0.826147,0.048244,[ 96 127] ; [6 7],[ 96.38135593 126.61864407] ; [5.61864407 7.38135593],0
n3,1,0.85842,0.031822,[39 12] ; [4 1],[39.16071429 11.83928571] ; [3.83928571 1.16071429],0
u2,1,0.879297,0.023062,[50 44] ; [3 3],[49.82 44.18] ; [3.18 2.82],0
p5,1,0.896442,0.016941,[ 15 207] ; [ 1 12],[ 15.11489362 206.88510638] ; [ 0.88510638 12.11489362],0
p12,1,0.897559,0.016575,[ 18 204] ; [ 1 13],[ 17.87288136 204.12711864] ; [ 1.12711864 12.87288136],0
