Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.001665,9.886812,[254  39] ; [30 14],[246.91988131  46.08011869] ; [37.08011869  6.91988131],0
s5,1,0.001995,9.553686,[ 99 186] ; [25 17],[108.0733945 176.9266055] ; [15.9266055 26.0733945],0
n5,1,0.006412,7.430609,[243  49] ; [29 15],[236.38095238  55.61904762] ; [35.61904762  8.38095238],0
s6,1,0.006907,7.296998,[195  93] ; [37  5],[202.47272727  85.52727273] ; [29.52727273 12.47272727],0
s3,1,0.01481,5.938875,[163 122] ; [33 10],[170.30487805 114.69512195] ; [25.69512195 17.30487805],0
s2,1,0.025186,5.011019,[157 134] ; [31 12],[163.79640719 127.20359281] ; [24.20359281 18.79640719],0
s7,1,0.057815,3.598977,[155 118] ; [31 12],[160.68987342 112.31012658] ; [25.31012658 17.68987342],0
v1,1,0.060042,3.536217,[199  90] ; [24 20],[193.53453453  95.46546547] ; [29.46546547 14.53453453],0
v2,1,0.086776,2.933182,[234  53] ; [31 13],[229.7734139  57.2265861] ; [35.2265861  8.7734139],0
a8,1,0.192065,1.701705,[ 41 222] ; [ 3 36],[ 38.31788079 224.68211921] ; [ 5.68211921 33.31788079],0
n1,1,0.193852,1.688099,[16 31] ; [ 2 11],[14.1 32.9] ; [3.9 9.1],0
b2,1,0.195685,1.674293,[ 78 110] ; [ 7 18],[ 75.02347418 112.97652582] ; [ 9.97652582 15.02347418],0
b3,1,0.195685,1.674293,[ 78 110] ; [ 7 18],[ 75.02347418 112.97652582] ; [ 9.97652582 15.02347418],0
p11,1,0.202412,1.624882,[243  50] ; [33 11],[239.96439169  53.03560831] ; [36.03560831  7.96439169],0
a3,1,0.271988,1.206691,[215  75] ; [36  8],[217.93413174  72.06586826] ; [33.06586826 10.93413174],0
s8,1,0.285984,1.138432,[153 137] ; [27 17],[156.28742515 133.71257485] ; [23.71257485 20.28742515],0
a5,1,0.311364,1.024881,[226  66] ; [31 13],[223.3452381  68.6547619] ; [33.6547619 10.3452381],0
d3,1,0.328432,0.955071,[204  87] ; [34 10],[206.74029851  84.25970149] ; [31.25970149 12.74029851],0
r4,1,0.331642,0.942474,[276  17] ; [43  1],[277.35014837  15.64985163] ; [41.64985163  2.35014837],0
u1,1,0.331666,0.942383,[ 55 238] ; [11 33],[ 57.38278932 235.61721068] ; [ 8.61721068 35.38278932],0
r1,1,0.360849,0.834937,[248  44] ; [35  9],[245.94047619  46.05952381] ; [37.05952381  6.94047619],0
p1,1,0.39838,0.71321,[ 32 259] ; [ 3 41],[ 30.40298507 260.59701493] ; [ 4.59701493 39.40298507],0
a4,1,0.444258,0.58526,[137 154] ; [18 26],[134.64179104 156.35820896] ; [20.35820896 23.64179104],0
p7,1,0.472232,0.516748,[196  88] ; [32 11],[198.01834862  85.98165138] ; [29.98165138 13.01834862],0
n3,1,0.48451,0.488696,[40 11] ; [9 4],[39.046875 11.953125] ; [9.953125 3.046875],0
p12,1,0.485127,0.487316,[ 37 252] ; [ 4 40],[ 35.58258258 253.41741742] ; [ 5.41741742 38.58258258],0
b1,1,0.516411,0.421054,[108 185] ; [14 30],[106.07121662 186.92878338] ; [15.92878338 28.07121662],0
a7,1,0.519079,0.415722,[212  79] ; [30 14],[210.21492537  80.78507463] ; [31.78507463 12.21492537],0
p4,1,0.519626,0.414636,[184 103] ; [26 18],[182.08459215 104.91540785] ; [27.91540785 16.08459215],0
