Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,25.472226,[41 10] ; [ 7 23],[30.22222222 20.77777778] ; [17.77777778 12.22222222],1
r3,1,1.5e-05,18.73058,[45  6] ; [13 17],[36.51851852 14.48148148] ; [21.48148148  8.51851852],1
r2,1,0.000312,12.995267,[47  4] ; [17 12],[40.8 10.2] ; [23.2  5.8],1
s2,1,0.018687,5.530574,[17 34] ; [ 3 27],[12.59259259 38.40740741] ; [ 7.40740741 22.59259259],0
a1,1,0.01917,5.485939,[ 2 49] ; [ 6 24],[ 5.03703704 45.96296296] ; [ 2.96296296 27.03703704],0
d4,1,0.024695,5.045172,[38 11] ; [16 14],[33.49367089 15.50632911] ; [20.50632911  9.49367089],0
n5,1,0.050894,3.811765,[16 35] ; [16 14],[20.14814815 30.85185185] ; [11.85185185 18.14814815],0
v4,1,0.058421,3.581645,[37 13] ; [16 14],[33.125 16.875] ; [19.875 10.125],0
a7,1,0.060775,3.516116,[33 18] ; [13 17],[28.96296296 22.03703704] ; [17.03703704 12.96296296],0
b4,1,0.060775,3.516116,[33 18] ; [13 17],[28.96296296 22.03703704] ; [17.03703704 12.96296296],0
d3,1,0.064672,3.413333,[29 21] ; [11 19],[25. 25.] ; [15. 15.],0
b1,1,0.065662,3.388268,[25 26] ; [21  9],[28.96296296 22.03703704] ; [17.03703704 12.96296296],0
s4,1,0.097883,2.739706,[ 5 46] ; [ 7 23],[ 7.55555556 43.44444444] ; [ 4.44444444 25.55555556],0
b5,1,0.127863,2.318258,[31 20] ; [13 17],[27.7037037 23.2962963] ; [16.2962963 13.7037037],0
d1,1,0.188384,1.730208,[21 30] ; [ 8 22],[18.25925926 32.74074074] ; [10.74074074 19.25925926],0
a5,1,0.193336,1.692012,[33 18] ; [15 15],[30.22222222 20.77777778] ; [17.77777778 12.22222222],0
s3,1,0.207681,1.587516,[25 26] ; [10 19],[22.3125 28.6875] ; [12.6875 16.3125],0
