Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b3,1,0.012851,6.189474,[4 4] ; [ 1 15],[1.66666667 6.33333333] ; [ 3.33333333 12.66666667],0
b2,1,0.012851,6.189474,[4 4] ; [ 1 15],[1.66666667 6.33333333] ; [ 3.33333333 12.66666667],0
s8,1,0.014378,5.991153,[6 4] ; [ 4 19],[3.03030303 6.96969697] ; [ 6.96969697 16.03030303],0
s5,1,0.022807,5.183152,[5 5] ; [ 3 20],[2.42424242 7.57575758] ; [ 5.57575758 17.42424242],0
d5,1,0.052821,3.749565,[8 2] ; [10 13],[5.45454545 4.54545455] ; [12.54545455 10.45454545],0
b5,1,0.06187,3.486522,[3 7] ; [15  8],[5.45454545 4.54545455] ; [12.54545455 10.45454545],0
n3,1,0.071031,3.259028,[2 3] ; [7 1],[3.46153846 1.53846154] ; [5.53846154 2.46153846],0
s6,1,0.085681,2.95371,[8 2] ; [11 12],[5.75757576 4.24242424] ; [13.24242424  9.75757576],0
a4,1,0.094245,2.800321,[1 9] ; [ 9 14],[3.03030303 6.96969697] ; [ 6.96969697 16.03030303],0
p10,1,0.094245,2.800321,[9 1] ; [14  9],[6.96969697 3.03030303] ; [16.03030303  6.96969697],0
p3,1,0.102959,2.659095,[7 3] ; [ 9 14],[4.84848485 5.15151515] ; [11.15151515 11.84848485],0
p8,1,0.10924,2.565182,[8 2] ; [11 11],[5.9375 4.0625] ; [13.0625  8.9375],0
r1,1,0.110175,2.551706,[6 4] ; [ 7 16],[3.93939394 6.06060606] ; [ 9.06060606 13.93939394],0
a5,1,0.132725,2.260334,[8 2] ; [12 11],[6.06060606 3.93939394] ; [13.93939394  9.06060606],0
p9,1,0.141815,2.158152,[9 1] ; [15  8],[7.27272727 2.72727273] ; [16.72727273  6.27272727],0
s4,1,0.163687,1.939826,[4 6] ; [ 4 19],[2.42424242 7.57575758] ; [ 5.57575758 17.42424242],0
p6,1,0.180503,1.793478,[5 5] ; [ 6 17],[3.33333333 6.66666667] ; [ 7.66666667 15.33333333],0
r3,1,0.208082,1.584717,[9 1] ; [16  7],[7.57575758 2.42424242] ; [17.42424242  5.57575758],0
a6,1,0.239731,1.382174,[7 3] ; [11 12],[5.45454545 4.54545455] ; [12.54545455 10.45454545],0
v1,1,0.268509,1.224348,[6 4] ; [ 9 14],[4.54545455 5.45454545] ; [10.45454545 12.54545455],0
v3,1,0.279044,1.171739,[4 6] ; [ 5 18],[2.72727273 7.27272727] ; [ 6.27272727 16.72727273],0
v4,1,0.284005,1.147826,[8 2] ; [14  9],[6.66666667 3.33333333] ; [15.33333333  7.66666667],0
d4,1,0.284005,1.147826,[8 2] ; [14  9],[6.66666667 3.33333333] ; [15.33333333  7.66666667],0
p4,1,0.284005,1.147826,[8 2] ; [14  9],[6.66666667 3.33333333] ; [15.33333333  7.66666667],0
n6,1,0.340987,0.906718,[7 3] ; [12 11],[5.75757576 4.24242424] ; [13.24242424  9.75757576],0
n4,1,0.340987,0.906718,[7 3] ; [12 11],[5.75757576 4.24242424] ; [13.24242424  9.75757576],0
p12,1,0.360505,0.836132,[2 8] ; [ 2 21],[1.21212121 8.78787879] ; [ 2.78787879 20.21212121],0
d1,1,0.421671,0.645652,[1 9] ; [ 5 18],[1.81818182 8.18181818] ; [ 4.18181818 18.81818182],0
p5,1,0.453508,0.56187,[3 7] ; [ 4 18],[2.1875 7.8125] ; [ 4.8125 17.1875],0
b4,1,0.466473,0.530318,[3 7] ; [10 13],[3.93939394 6.06060606] ; [ 9.06060606 13.93939394],0
d3,1,0.520171,0.413555,[4 6] ; [12 11],[4.84848485 5.15151515] ; [11.15151515 11.84848485],0
u1,1,0.531725,0.391094,[1 9] ; [ 1 22],[0.60606061 9.39393939] ; [ 1.39393939 21.60606061],0
a8,1,0.554628,0.349091,[1 9] ; [ 4 18],[1.5625 8.4375] ; [ 3.4375 18.5625],0
s3,1,0.561496,0.33712,[5 5] ; [ 9 14],[4.24242424 5.75757576] ; [ 9.75757576 13.24242424],0
n5,1,0.616311,0.251087,[7 3] ; [14  9],[6.36363636 3.63636364] ; [14.63636364  8.36363636],0
a3,1,0.678187,0.172174,[6 4] ; [12 11],[5.45454545 4.54545455] ; [12.54545455 10.45454545],0
s2,1,0.774622,0.081988,[4 6] ; [ 8 15],[3.63636364 6.36363636] ; [ 8.36363636 14.63636364],0
d2,1,0.788821,0.071739,[3 7] ; [ 8 15],[3.33333333 6.66666667] ; [ 7.66666667 15.33333333],0
a7,1,0.908575,0.013187,[5 5] ; [11 12],[4.84848485 5.15151515] ; [11.15151515 11.84848485],0
n2,1,0.928177,0.008125,[3 2] ; [5 3],[3.07692308 1.92307692] ; [4.92307692 3.07692308],0
n1,1,0.928177,0.008125,[2 3] ; [3 5],[1.92307692 3.07692308] ; [3.07692308 4.92307692],0
v2,1,0.962527,0.002207,[4 6] ; [ 9 14],[3.93939394 6.06060606] ; [ 9.06060606 13.93939394],0
r4,1,0.962527,0.002207,[4 6] ; [ 9 14],[3.93939394 6.06060606] ; [ 9.06060606 13.93939394],0
b1,1,0.962527,0.002207,[6 4] ; [14  9],[6.06060606 3.93939394] ; [13.93939394  9.06060606],0
