Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1e-06,25.151568,[16 34] ; [200  90],[31.76470588 18.23529412] ; [184.23529412 105.76470588],1
p4,1,1e-06,23.732892,[13 38] ; [182 111],[28.90988372 22.09011628] ; [166.09011628 126.90988372],1
p11,1,2e-06,22.191505,[34 19] ; [261  32],[45.18786127  7.81213873] ; [249.81213873  43.18786127],1
v1,1,9e-06,19.62185,[12 40] ; [162 125],[26.69026549 25.30973451] ; [147.30973451 139.69026549],1
p9,1,5.4e-05,16.294125,[41 11] ; [278  15],[48.08115942  3.91884058] ; [270.91884058  22.08115942],1
p8,1,0.000297,13.089587,[18 35] ; [175 113],[29.99706745 23.00293255] ; [163.00293255 124.99706745],1
v4,1,0.000323,12.930437,[44  9] ; [279  12],[49.76453488  3.23546512] ; [273.23546512  17.76453488],1
p6,1,0.000375,12.654456,[ 5 48] ; [ 98 192],[15.9154519 37.0845481] ; [ 87.0845481 202.9154519],1
r4,1,0.000796,11.251133,[39 14] ; [264  29],[46.4132948  6.5867052] ; [256.5867052  36.4132948],1
d5,1,0.002101,9.459573,[34 19] ; [242  51],[42.27745665 10.72254335] ; [233.72254335  59.27745665],0
s1,1,0.005298,7.774866,[ 3 50] ; [  2 290],[ 0.76811594 52.23188406] ; [  4.23188406 287.76811594],0
r3,1,0.007505,7.147957,[45  8] ; [277  15],[49.46666667  3.53333333] ; [272.53333333  19.46666667],0
s6,1,0.023614,5.12279,[18 35] ; [146 141],[25.56470588 27.43529412] ; [138.43529412 148.56470588],0
n4,1,0.044175,4.049877,[34 19] ; [226  67],[39.8265896 13.1734104] ; [220.1734104  72.8265896],0
r1,1,0.047364,3.932411,[36 17] ; [234  58],[41.47826087 11.52173913] ; [228.52173913  63.47826087],0
d3,1,0.057364,3.612008,[29 24] ; [199  93],[35.02608696 17.97391304] ; [192.97391304  99.02608696],0
b1,1,0.078061,3.104813,[24 29] ; [ 96 197],[18.38150289 34.61849711] ; [101.61849711 191.38150289],0
n6,1,0.107686,2.587862,[41 12] ; [252  41],[44.88150289  8.11849711] ; [248.11849711  44.88150289],0
p3,1,0.110434,2.547994,[21 32] ; [151 142],[26.34682081 26.65317919] ; [145.65317919 147.34682081],0
s4,1,0.117974,2.444012,[ 9 43] ; [ 29 263],[ 5.74418605 46.25581395] ; [ 32.25581395 259.74418605],0
r2,1,0.119835,2.419475,[44  7] ; [269  21],[46.81231672  4.18768328] ; [266.18768328  23.81231672],0
a1,1,0.12838,2.31199,[ 3 50] ; [  6 287],[ 1.37861272 51.62138728] ; [  7.62138728 285.37861272],0
n1,1,0.202138,1.62686,[7 8] ; [17 41],[ 4.93150685 10.06849315] ; [19.06849315 38.93150685],0
a5,1,0.296474,1.089985,[35 18] ; [214  79],[38.1416185 14.8583815] ; [210.8583815  82.1416185],0
a6,1,0.317682,0.998465,[34 19] ; [208  85],[37.06936416 15.93063584] ; [204.93063584  88.06936416],0
n2,1,0.337103,0.921418,[12  3] ; [39 19],[10.47945205  4.52054795] ; [40.52054795 17.47945205],0
u3,1,0.377887,0.777565,[ 8 11] ; [50 44],[9.75221239 9.24778761] ; [48.24778761 45.75221239],0
d1,1,0.389495,0.740519,[25 28] ; [157 136],[27.87861272 25.12138728] ; [154.12138728 138.87861272],0
u1,1,0.400866,0.705726,[ 5 48] ; [ 40 253],[ 6.89306358 46.10693642] ; [ 38.10693642 254.89306358],0
p12,1,0.410656,0.6769,[ 4 49] ; [ 14 277],[ 2.77325581 50.22674419] ; [ 15.22674419 275.77325581],0
n5,1,0.452841,0.56353,[37 15] ; [222  70],[39.15116279 12.84883721] ; [219.84883721  72.15116279],0
a4,1,0.473704,0.513323,[19 34] ; [120 172],[21.35362319 31.64637681] ; [117.64637681 174.35362319],0
