Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1.1e-05,19.255284,[3 4] ; [80  5],[6.31521739 0.68478261] ; [76.68478261  8.31521739],1
s6,1,1.5e-05,18.743546,[3 4] ; [78  5],[6.3 0.7] ; [74.7  8.3],1
p10,1,0.000141,14.48589,[3 4] ; [77  7],[6.15384615 0.84615385] ; [73.84615385 10.15384615],1
v4,1,0.004967,7.891402,[5 2] ; [82  3],[6.61956522 0.38043478] ; [80.38043478  4.61956522],0
r2,1,0.00552,7.700535,[4 1] ; [84  1],[4.88888889 0.11111111] ; [83.11111111  1.88888889],0
r1,1,0.009125,6.798254,[3 4] ; [71 14],[5.63043478 1.36956522] ; [68.36956522 16.63043478],0
s1,1,0.013968,6.042238,[2 5] ; [ 4 81],[0.45652174 6.54347826] ; [ 5.54347826 79.45652174],0
p11,1,0.014195,6.013685,[2 5] ; [62 23],[4.86956522 2.13043478] ; [59.13043478 25.86956522],0
p9,1,0.015742,5.831487,[4 3] ; [75  9],[6.07692308 0.92307692] ; [72.92307692 11.07692308],0
p7,1,0.025986,4.956971,[2 5] ; [58 25],[4.66666667 2.33333333] ; [55.33333333 27.66666667],0
s3,1,0.04103,4.17479,[3 4] ; [66 19],[5.25 1.75] ; [63.75 21.25],0
s8,1,0.049324,3.864292,[2 5] ; [56 29],[4.41304348 2.58695652] ; [53.58695652 31.41304348],0
b1,1,0.058386,3.582654,[5 2] ; [30 55],[2.66304348 4.33695652] ; [32.33695652 52.66304348],0
s7,1,0.081183,3.041062,[2 4] ; [56 26],[3.95454545 2.04545455] ; [54.04545455 27.95454545],0
a3,1,0.08382,2.989234,[4 3] ; [71 14],[5.70652174 1.29347826] ; [69.29347826 15.70652174],0
b4,1,0.092177,2.83594,[2 5] ; [52 33],[4.10869565 2.89130435] ; [49.89130435 35.10869565],0
p2,1,0.131082,2.279641,[4 3] ; [69 16],[5.55434783 1.44565217] ; [67.44565217 17.55434783],0
a6,1,0.149705,2.075258,[3 4] ; [59 26],[4.7173913 2.2826087] ; [57.2826087 27.7173913],0
v2,1,0.18081,1.790956,[2 5] ; [45 37],[3.69662921 3.30337079] ; [43.30337079 38.69662921],0
s5,1,0.22133,1.495726,[2 4] ; [46 32],[3.42857143 2.57142857] ; [44.57142857 33.42857143],0
s2,1,0.221533,1.49441,[4 3] ; [66 19],[5.32608696 1.67391304] ; [64.67391304 20.32608696],0
v1,1,0.238136,1.391597,[2 5] ; [44 41],[3.5 3.5] ; [42.5 42.5],0
n6,1,0.306144,1.047237,[5 2] ; [73 12],[5.93478261 1.06521739] ; [72.06521739 12.93478261],0
n4,1,0.334019,0.933253,[6 1] ; [58 27],[4.86956522 2.13043478] ; [59.13043478 25.86956522],0
a2,1,0.334019,0.933253,[1 6] ; [27 58],[2.13043478 4.86956522] ; [25.86956522 59.13043478],0
p4,1,0.372239,0.796176,[4 3] ; [62 23],[5.02173913 1.97826087] ; [60.97826087 24.02173913],0
a4,1,0.375769,0.784497,[5 2] ; [46 39],[3.88043478 3.11956522] ; [47.11956522 37.88043478],0
p3,1,0.375933,0.78396,[3 4] ; [51 34],[4.10869565 2.89130435] ; [49.89130435 35.10869565],0
u1,1,0.392929,0.729858,[1 6] ; [25 60],[1.97826087 5.02173913] ; [24.02173913 60.97826087],0
b2,1,0.442452,0.589916,[2 2] ; [15 33],[1.30769231 2.69230769] ; [15.69230769 32.30769231],0
b3,1,0.442452,0.589916,[2 2] ; [15 33],[1.30769231 2.69230769] ; [15.69230769 32.30769231],0
u2,1,0.453388,0.562169,[1 2] ; [8 6],[1.58823529 1.41176471] ; [7.41176471 6.58823529],0
a7,1,0.457412,0.552221,[4 3] ; [60 25],[4.86956522 2.13043478] ; [59.13043478 25.86956522],0
n1,1,0.481991,0.494355,[2 2] ; [ 7 15],[1.38461538 2.61538462] ; [ 7.61538462 14.38461538],0
p8,1,0.499062,0.45693,[3 4] ; [46 36],[3.85393258 3.14606742] ; [45.14606742 36.85393258],0
n2,1,0.606089,0.265909,[2 2] ; [14  8],[2.46153846 1.53846154] ; [13.53846154  8.46153846],0
n5,1,0.640753,0.217759,[4 3] ; [56 29],[4.56521739 2.43478261] ; [55.43478261 29.56521739],0
b5,1,0.688406,0.160816,[4 3] ; [55 30],[4.48913043 2.51086957] ; [54.51086957 30.48913043],0
v3,1,0.733474,0.115946,[2 5] ; [29 54],[2.41111111 4.58888889] ; [28.58888889 54.41111111],0
p6,1,0.855498,0.033163,[4 3] ; [45 39],[3.76923077 3.23076923] ; [45.23076923 38.76923077],0
u3,1,0.86952,0.026984,[2 1] ; [10  4],[2.11764706 0.88235294] ; [9.88235294 4.11764706],0
a5,1,0.919131,0.010308,[6 1] ; [74 11],[6.08695652 0.91304348] ; [73.91304348 11.08695652],0
n3,1,0.924899,0.008886,[3 1] ; [16  6],[2.92307692 1.07692308] ; [16.07692308  5.92307692],0
d2,1,0.984853,0.00036,[5 2] ; [61 24],[5.02173913 1.97826087] ; [60.97826087 24.02173913],0
