Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,98.715639,[338  75] ; [61 95],[289.60808436 123.39191564] ; [109.39191564  46.60808436],1
d3,1,0.0,60.517746,[338  75] ; [77 79],[301.22144112 111.77855888] ; [113.77855888  42.22144112],1
a2,1,0.0,36.481525,[149 265] ; [ 16 140],[119.84210526 294.15789474] ; [ 45.15789474 110.84210526],1
u1,1,0.0,26.397108,[115 299] ; [ 12 144],[ 92.24210526 321.75789474] ; [ 34.75789474 121.24210526],1
b5,1,3e-06,21.812632,[277 137] ; [71 85],[252.75789474 161.24210526] ; [95.24210526 60.75789474],1
r4,1,0.000229,13.575767,[385  29] ; [129  27],[373.32631579  40.67368421] ; [140.67368421  15.32631579],1
r1,1,0.00771,7.099589,[347  63] ; [117  39],[336.1130742  73.8869258] ; [127.8869258  28.1130742],0
d1,1,0.009353,6.754164,[306 108] ; [98 58],[293.43157895 120.56842105] ; [110.56842105  45.43157895],0
r3,1,0.011827,6.336601,[393  17] ; [141  15],[386.81978799  23.18021201] ; [147.18021201   8.81978799],0
b1,1,0.014614,5.962425,[150 264] ; [74 82],[162.69473684 251.30526316] ; [61.30526316 94.69473684],0
u3,1,0.035426,4.424511,[60 40] ; [11 18],[55.03875969 44.96124031] ; [15.96124031 13.03875969],0
b3,1,0.064728,3.411907,[ 92 163] ; [48 55],[ 99.72067039 155.27932961] ; [40.27932961 62.72067039],0
b2,1,0.064728,3.411907,[ 92 163] ; [48 55],[ 99.72067039 155.27932961] ; [40.27932961 62.72067039],0
s7,1,0.079586,3.073334,[196 194] ; [88 62],[205.11111111 184.88888889] ; [78.88888889 71.11111111],0
s5,1,0.095152,2.784985,[132 263] ; [62 89],[140.34798535 254.65201465] ; [53.65201465 97.34798535],0
r2,1,0.104412,2.636828,[394  16] ; [142  11],[390.3374778  19.6625222] ; [145.6625222   7.3374778],0
a8,1,0.106771,2.601381,[ 65 299] ; [ 18 131],[ 58.89278752 305.10721248] ; [ 24.10721248 124.89278752],0
p8,1,0.11474,2.48769,[228 178] ; [74 78],[219.73476703 186.26523297] ; [82.26523297 69.73476703],0
v2,1,0.124914,2.354596,[237 157] ; [81 72],[229.05301645 164.94698355] ; [88.94698355 64.05301645],0
p4,1,0.130927,2.281478,[280 133] ; [94 60],[272.41975309 140.58024691] ; [101.58024691  52.41975309],0
p1,1,0.135526,2.228036,[ 37 376] ; [  8 147],[ 32.72007042 380.27992958] ; [ 12.27992958 142.72007042],0
b4,1,0.170366,1.87972,[244 170] ; [82 74],[236.77894737 177.22105263] ; [89.22105263 66.77894737],0
a3,1,0.184592,1.760261,[314  98] ; [127  29],[319.88028169  92.11971831] ; [121.11971831  34.88028169],0
u2,1,0.199761,1.64412,[60 40] ; [13 15],[57.03125 42.96875] ; [15.96875 12.03125],0
v3,1,0.21226,1.555942,[165 229] ; [74 81],[171.52276867 222.47723133] ; [67.47723133 87.52276867],0
s8,1,0.264468,1.245216,[194 216] ; [82 74],[199.92932862 210.07067138] ; [76.07067138 79.92932862],0
d4,1,0.271451,1.2094,[367  47] ; [133  23],[363.15789474  50.84210526] ; [136.84210526  19.15789474],0
v4,1,0.315838,1.006103,[394  18] ; [146  10],[391.69014085  20.30985915] ; [148.30985915   7.69014085],0
p12,1,0.321554,0.982613,[ 38 375] ; [ 10 142],[ 35.08672566 377.91327434] ; [ 12.91327434 139.08672566],0
p5,1,0.383965,0.757967,[ 52 358] ; [ 24 131],[ 55.15044248 354.84955752] ; [ 20.84955752 134.15044248],0
p11,1,0.393702,0.727478,[332  82] ; [130  26],[335.55789474  78.44210526] ; [126.44210526  29.55789474],0
p3,1,0.521531,0.410864,[227 186] ; [80 74],[223.61728395 189.38271605] ; [83.38271605 70.61728395],0
p2,1,0.593908,0.284282,[356  58] ; [128  24],[354.02120141  59.97879859] ; [129.97879859  22.02120141],0
s6,1,0.647773,0.20872,[287 118] ; [104  47],[284.81115108 120.18884892] ; [106.18884892  44.81115108],0
n4,1,0.667463,0.184584,[373  40] ; [139  17],[371.62741652  41.37258348] ; [140.37258348  15.62741652],0
p9,1,0.667475,0.18457,[357  50] ; [133  21],[355.49019608  51.50980392] ; [134.50980392  19.49019608],0
p7,1,0.67612,0.174526,[266 135] ; [103  48],[268.05978261 132.94021739] ; [100.94021739  50.05978261],0
s4,1,0.678221,0.172135,[ 62 342] ; [ 26 129],[ 63.59928444 340.40071556] ; [ 24.40071556 130.59928444],0
n1,1,0.728557,0.120441,[34 43] ; [18 26],[33.09090909 43.90909091] ; [18.90909091 25.09090909],0
p10,1,0.744658,0.106075,[348  62] ; [129  25],[346.75531915  63.24468085] ; [130.24468085  23.75531915],0
v1,1,0.75905,0.094082,[238 165] ; [87 64],[236.41696751 166.58303249] ; [88.58303249 62.41696751],0
p6,1,0.759152,0.094,[159 249] ; [61 90],[160.57245081 247.42754919] ; [59.42754919 91.57245081],0
a1,1,0.78287,0.075945,[ 24 390] ; [ 10 146],[ 24.69473684 389.30526316] ; [  9.30526316 146.69473684],0
n3,1,0.826631,0.047972,[54 24] ; [32 13],[54.53658537 23.46341463] ; [31.46341463 13.53658537],0
