Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,4e-06,21.129389,[35 20] ; [ 1 20],[26.05263158 28.94736842] ; [ 9.94736842 11.05263158],1
d3,1,0.00082,11.195764,[46  9] ; [ 9 11],[40.33333333 14.66666667] ; [14.66666667  5.33333333],1
d5,1,0.010233,6.5939,[46  9] ; [11  9],[41.8 13.2] ; [15.2  4.8],0
v4,1,0.015313,5.880046,[52  3] ; [15  5],[49.13333333  5.86666667] ; [17.86666667  2.13333333],0
a4,1,0.032874,4.552336,[22 33] ; [ 3 18],[18.09210526 36.90789474] ; [ 6.90789474 14.09210526],0
a3,1,0.039093,4.25681,[40 15] ; [10 11],[36.18421053 18.81578947] ; [13.81578947  7.18421053],0
d2,1,0.046904,3.948835,[24 31] ; [ 4 17],[20.26315789 34.73684211] ; [ 7.73684211 13.26315789],0
p6,1,0.049629,3.853943,[17 37] ; [ 2 19],[13.68 40.32] ; [ 5.32 15.68],0
a5,1,0.051503,3.791846,[37 18] ; [ 9 12],[33.28947368 21.71052632] ; [12.71052632  8.28947368],0
v2,1,0.065002,3.404939,[25 28] ; [ 5 16],[21.48648649 31.51351351] ; [ 8.51351351 12.48648649],0
b4,1,0.072555,3.224242,[31 24] ; [ 7 14],[27.5 27.5] ; [10.5 10.5],0
p9,1,0.073932,3.1935,[42 12] ; [12  9],[38.88 15.12] ; [15.12  5.88],0
u2,1,0.098168,2.735065,[9 6] ; [3 8],[6.92307692 8.07692308] ; [5.07692308 5.92307692],0
u1,1,0.103292,2.653968,[11 44] ; [ 1 20],[ 8.68421053 46.31578947] ; [ 3.31578947 17.68421053],0
p10,1,0.113033,2.511301,[43 11] ; [13  8],[40.32 13.68] ; [15.68  5.32],0
a6,1,0.173479,1.85262,[38 17] ; [11 10],[35.46052632 19.53947368] ; [13.53947368  7.46052632],0
p4,1,0.199638,1.645022,[30 25] ; [ 8 13],[27.5 27.5] ; [10.5 10.5],0
v3,1,0.20517,1.605185,[15 38] ; [ 3 18],[12.89189189 40.10810811] ; [ 5.10810811 15.89189189],0
p8,1,0.219915,1.504925,[26 27] ; [ 7 14],[23.63513514 29.36486486] ; [ 9.36486486 11.63513514],0
a7,1,0.22114,1.496959,[41 14] ; [12  8],[38.86666667 16.13333333] ; [14.13333333  5.86666667],0
s6,1,0.277224,1.180649,[41 14] ; [13  8],[39.07894737 15.92105263] ; [14.92105263  6.07894737],0
p11,1,0.277224,1.180649,[41 14] ; [13  8],[39.07894737 15.92105263] ; [14.92105263  6.07894737],0
a2,1,0.27811,1.176301,[11 44] ; [ 2 19],[ 9.40789474 45.59210526] ; [ 3.59210526 17.40789474],0
s3,1,0.286422,1.136364,[35 20] ; [10 10],[33. 22.] ; [12.  8.],0
p1,1,0.304022,1.056469,[ 2 53] ; [ 2 19],[ 2.89473684 52.10526316] ; [ 1.10526316 19.89473684],0
s1,1,0.313846,1.01442,[ 2 52] ; [ 2 19],[ 2.88 51.12] ; [ 1.12 19.88],0
v1,1,0.320803,0.985668,[19 35] ; [10 11],[20.88 33.12] ; [ 8.12 12.88],0
r1,1,0.358418,0.843428,[40 15] ; [13  8],[38.35526316 16.64473684] ; [14.64473684  6.35526316],0
r2,1,0.363962,0.824176,[48  6] ; [17  4],[46.8  7.2] ; [18.2  2.8],0
s8,1,0.433736,0.612799,[21 34] ; [ 6 15],[19.53947368 35.46052632] ; [ 7.46052632 13.53947368],0
u3,1,0.530236,0.393939,[10  5] ; [6 5],[9.23076923 5.76923077] ; [6.76923077 4.23076923],0
r4,1,0.535757,0.38346,[43 12] ; [15  6],[41.97368421 13.02631579] ; [16.02631579  4.97368421],0
b5,1,0.620113,0.245708,[36 19] ; [15  6],[36.90789474 18.09210526] ; [14.09210526  6.90789474],0
s2,1,0.624449,0.239663,[31 24] ; [10 10],[30.06666667 24.93333333] ; [10.93333333  9.06666667],0
s7,1,0.632455,0.228747,[22 31] ; [10 11],[22.91891892 30.08108108] ; [ 9.08108108 11.91891892],0
p7,1,0.632455,0.228747,[31 22] ; [11 10],[30.08108108 22.91891892] ; [11.91891892  9.08108108],0
p2,1,0.71565,0.132698,[44 11] ; [16  5],[43.42105263 11.57894737] ; [16.57894737  4.42105263],0
p3,1,0.729831,0.119267,[26 29] ; [ 9 12],[25.32894737 29.67105263] ; [ 9.67105263 11.32894737],0
n6,1,0.763164,0.090799,[42 12] ; [17  4],[42.48 11.52] ; [16.52  4.48],0
n1,1,0.823261,0.049887,[ 5 10] ; [2 5],[ 4.77272727 10.22727273] ; [2.22727273 4.77272727],0
n4,1,0.879254,0.023078,[33 22] ; [13  8],[33.28947368 21.71052632] ; [12.71052632  8.28947368],0
r3,1,0.879734,0.022894,[47  7] ; [18  3],[46.8  7.2] ; [18.2  2.8],0
n2,1,0.898977,0.016117,[9 6] ; [4 3],[8.86363636 6.13636364] ; [4.13636364 2.86363636],0
n5,1,0.92066,0.009921,[36 19] ; [14  7],[36.18421053 18.81578947] ; [13.81578947  7.18421053],0
n3,1,0.925558,0.00873,[11  4] ; [5 2],[10.90909091  4.09090909] ; [5.09090909 1.90909091],0
b1,1,0.994456,4.8e-05,[21 34] ; [ 8 13],[20.98684211 34.01315789] ; [ 8.01315789 12.98684211],0
