Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.01727,5.668675,[12 40] ; [15 16],[16.91566265 35.08433735] ; [10.08433735 20.91566265],0
d5,1,0.017304,5.665309,[32 19] ; [27  4],[36.69512195 14.30487805] ; [22.30487805  8.69512195],0
a5,1,0.030149,4.700751,[26 26] ; [23  8],[30.69879518 21.30120482] ; [18.30120482 12.69879518],0
r1,1,0.032401,4.577157,[30 22] ; [25  6],[34.45783133 17.54216867] ; [20.54216867 10.45783133],0
s5,1,0.075127,3.167295,[19 29] ; [17 11],[22.73684211 25.26315789] ; [13.26315789 14.73684211],0
s8,1,0.103665,2.648236,[19 33] ; [17 14],[22.55421687 29.44578313] ; [13.44578313 17.55421687],0
p4,1,0.107585,2.589346,[13 39] ; [13 18],[16.28915663 35.71084337] ; [ 9.71084337 21.28915663],0
n2,1,0.144377,2.130682,[13  7] ; [9 1],[14.66666667  5.33333333] ; [7.33333333 2.66666667],0
a3,1,0.168778,1.893761,[29 23] ; [22  9],[31.95180723 20.04819277] ; [19.04819277 11.95180723],0
p10,1,0.172977,1.856953,[38 14] ; [25  4],[40.44444444 11.55555556] ; [22.55555556  6.44444444],0
s2,1,0.194972,1.679642,[32 19] ; [23  7],[34.62962963 16.37037037] ; [20.37037037  9.62962963],0
a2,1,0.205555,1.60246,[ 5 47] ; [ 6 25],[ 6.89156627 45.10843373] ; [ 4.10843373 26.89156627],0
s6,1,0.223618,1.481001,[38 14] ; [23  4],[40.15189873 11.84810127] ; [20.84810127  6.15189873],0
n5,1,0.22649,1.462768,[30 22] ; [22  9],[32.57831325 19.42168675] ; [19.42168675 11.57831325],0
u1,1,0.231775,1.429936,[ 4 48] ; [ 5 26],[ 5.63855422 46.36144578] ; [ 3.36144578 27.63855422],0
v2,1,0.278301,1.17537,[20 29] ; [16 14],[22.32911392 26.67088608] ; [13.67088608 16.32911392],0
p1,1,0.280111,1.166552,[ 2 50] ; [ 3 28],[ 3.13253012 48.86746988] ; [ 1.86746988 29.13253012],0
n4,1,0.317946,0.997378,[26 26] ; [19 12],[28.19277108 23.80722892] ; [16.80722892 14.19277108],0
s3,1,0.349657,0.874701,[31 20] ; [22  9],[32.96341463 18.03658537] ; [20.03658537 10.96341463],0
b5,1,0.383441,0.759641,[32 20] ; [22  9],[33.8313253 18.1686747] ; [20.1686747 10.8313253],0
p9,1,0.39169,0.73369,[40 11] ; [25  4],[41.4375  9.5625] ; [23.5625  5.4375],0
p7,1,0.392901,0.729947,[20 30] ; [14 14],[21.79487179 28.20512821] ; [12.20512821 15.79487179],0
p8,1,0.444918,0.583565,[14 37] ; [10 18],[15.49367089 35.50632911] ; [ 8.50632911 19.49367089],0
s7,1,0.456061,0.555544,[26 26] ; [17 12],[27.60493827 24.39506173] ; [15.39506173 13.60493827],0
n3,1,0.541552,0.372671,[16  4] ; [7 3],[15.33333333  4.66666667] ; [7.66666667 2.33333333],0
a8,1,0.548813,0.359448,[ 2 46] ; [ 2 25],[ 2.56 45.44] ; [ 1.44 25.56],0
n1,1,0.559305,0.340909,[ 6 14] ; [2 8],[ 5.33333333 14.66666667] ; [2.66666667 7.33333333],0
n6,1,0.57455,0.315129,[41 11] ; [26  5],[41.97590361 10.02409639] ; [25.02409639  5.97590361],0
b1,1,0.687229,0.162102,[13 39] ; [ 9 22],[13.78313253 38.21686747] ; [ 8.21686747 22.78313253],0
b2,1,0.691977,0.156953,[ 6 19] ; [ 3 13],[ 5.48780488 19.51219512] ; [ 3.51219512 12.48780488],0
b3,1,0.691977,0.156953,[ 6 19] ; [ 3 13],[ 5.48780488 19.51219512] ; [ 3.51219512 12.48780488],0
u2,1,0.694188,0.154589,[12 11] ; [4 5],[11.5 11.5] ; [4.5 4.5],0
d1,1,0.713135,0.135166,[23 29] ; [15 16],[23.80722892 28.19277108] ; [14.19277108 16.80722892],0
b4,1,0.713135,0.135166,[29 23] ; [16 15],[28.19277108 23.80722892] ; [16.80722892 14.19277108],0
p6,1,0.756786,0.095917,[11 41] ; [ 7 22],[11.55555556 40.44444444] ; [ 6.44444444 22.55555556],0
u3,1,0.760705,0.092754,[14  9] ; [6 3],[14.375  8.625] ; [5.625 3.375],0
d4,1,0.764708,0.089583,[37 15] ; [23  8],[37.59036145 14.40963855] ; [22.40963855  8.59036145],0
d2,1,0.843196,0.039128,[19 33] ; [12 19],[19.42168675 32.57831325] ; [11.57831325 19.42168675],0
v3,1,0.853635,0.034034,[11 40] ; [ 7 23],[11.33333333 39.66666667] ; [ 6.66666667 23.33333333],0
p2,1,0.867487,0.027839,[36 16] ; [22  9],[36.3373494 15.6626506] ; [21.6626506  9.3373494],0
d3,1,0.870536,0.026562,[37 14] ; [23  8],[37.31707317 13.68292683] ; [22.68292683  8.31707317],0
a7,1,0.87717,0.023888,[37 14] ; [22  9],[36.69512195 14.30487805] ; [22.30487805  8.69512195],0
a6,1,0.889464,0.019316,[31 21] ; [18 13],[30.69879518 21.30120482] ; [18.30120482 12.69879518],0
p11,1,0.922933,0.009359,[33 19] ; [20 11],[33.20481928 18.79518072] ; [19.79518072 11.20481928],0
