Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,66.51366,[459  16] ; [81 29],[438.46153846  36.53846154] ; [101.53846154   8.46153846],1
p9,1,0.0,64.677662,[426  44] ; [64 43],[399.13344887  70.86655113] ; [90.86655113 16.13344887],1
p10,1,0.0,55.677528,[418  55] ; [63 45],[391.58864028  81.41135972] ; [89.41135972 18.58864028],1
p4,1,0.0,51.752286,[322 155] ; [32 75],[289.14041096 187.85958904] ; [64.85958904 42.14041096],1
r4,1,0.0,46.598726,[442  36] ; [76 34],[421.0952381  56.9047619] ; [96.9047619 13.0952381],1
p8,1,0.0,41.181232,[276 193] ; [27 82],[245.85986159 223.14013841] ; [57.14013841 51.85986159],1
p7,1,0.0,39.84998,[324 145] ; [38 67],[295.7804878 173.2195122] ; [66.2195122 38.7804878],1
v4,1,0.0,35.083214,[456  19] ; [88 22],[441.70940171  33.29059829] ; [102.29059829   7.70940171],1
p11,1,0.0,34.941785,[400  78] ; [64 46],[377.19727891 100.80272109] ; [86.80272109 23.19727891],1
v1,1,1e-06,24.77387,[288 177] ; [38 69],[265.01748252 199.98251748] ; [60.98251748 46.01748252],1
n6,1,2e-06,22.20033,[435  42] ; [81 27],[420.73846154  56.26153846] ; [95.26153846 12.73846154],1
r1,1,5e-06,20.875444,[395  80] ; [70 40],[377.56410256  97.43589744] ; [87.43589744 22.56410256],1
d5,1,9e-06,19.647416,[399  78] ; [70 38],[382.41538462  94.58461538] ; [86.58461538 21.41538462],1
s6,1,1.4e-05,18.91139,[321 148] ; [51 59],[301.32642487 167.67357513] ; [70.67357513 39.32642487],1
d4,1,0.000176,14.076419,[393  82] ; [72 36],[378.8593482  96.1406518] ; [86.1406518 21.8593482],1
p3,1,0.000203,13.806666,[256 221] ; [37 72],[238.5 238.5] ; [54.5 54.5],1
p6,1,0.00022,13.656136,[191 283] ; [23 85],[174.28865979 299.71134021] ; [39.71134021 68.28865979],1
r2,1,0.000379,12.635114,[452  22] ; [93 15],[443.86597938  30.13402062] ; [101.13402062   6.86597938],1
v2,1,0.000396,12.549604,[282 178] ; [44 60],[265.88652482 194.11347518] ; [60.11347518 43.88652482],1
s1,1,0.000613,11.735269,[  9 459] ; [  9 100],[ 14.59965338 453.40034662] ; [  3.40034662 105.59965338],1
d3,1,0.000713,11.45602,[325 152] ; [55 53],[309.84615385 167.15384615] ; [70.15384615 37.84615385],1
a1,1,0.001709,9.837949,[ 20 458] ; [13 97],[ 26.82653061 451.17346939] ; [  6.17346939 103.82653061],0
b1,1,0.002412,9.206294,[181 297] ; [59 51],[195.10204082 282.89795918] ; [44.89795918 65.10204082],0
s5,1,0.005016,7.873645,[155 311] ; [21 87],[142.88501742 323.11498258] ; [33.11498258 74.88501742],0
s2,1,0.011535,6.381047,[239 233] ; [41 69],[227.0790378 244.9209622] ; [52.9209622 57.0790378],0
s7,1,0.011859,6.331829,[239 211] ; [41 63],[227.4368231 222.5631769] ; [52.5631769 51.4368231],0
n4,1,0.013957,6.043623,[433  44] ; [91 19],[425.80579216  51.19420784] ; [98.19420784 11.80579216],0
s8,1,0.032991,4.546242,[223 251] ; [39 70],[213.01543739 260.98456261] ; [48.98456261 60.01543739],0
s3,1,0.040427,4.199859,[265 206] ; [49 59],[255.43005181 215.56994819] ; [58.56994819 49.43005181],0
a7,1,0.066125,3.376688,[341 135] ; [69 41],[333.03754266 142.96245734] ; [76.96245734 33.03754266],0
a3,1,0.076549,3.136684,[353 123] ; [71 37],[345.5890411 130.4109589] ; [78.4109589 29.5890411],0
a5,1,0.083189,3.00147,[364 114] ; [75 35],[356.87414966 121.12585034] ; [82.12585034 27.87414966],0
d1,1,0.105355,2.622544,[288 190] ; [57 53],[280.45918367 197.54081633] ; [64.54081633 45.45918367],0
n3,1,0.124297,2.362328,[64 27] ; [22 17],[60.2 30.8] ; [25.8 13.2],0
n1,1,0.189293,1.723112,[39 50] ; [22 17],[42.4140625 46.5859375] ; [18.5859375 20.4140625],0
u2,1,0.205127,1.605489,[70 54] ; [17 21],[66.59259259 57.40740741] ; [20.40740741 17.59259259],0
u1,1,0.232102,1.427931,[ 93 385] ; [16 94],[ 88.60884354 389.39115646] ; [20.39115646 89.60884354],0
p12,1,0.299063,1.078368,[ 45 429] ; [  7 103],[ 42.20547945 431.79452055] ; [  9.79452055 100.20547945],0
u3,1,0.323029,0.976644,[69 56] ; [18 21],[66.31097561 58.68902439] ; [20.68902439 18.31097561],0
v3,1,0.325381,0.967194,[212 252] ; [42 62],[207.49295775 256.50704225] ; [46.50704225 57.49295775],0
a8,1,0.370017,0.803606,[ 78 348] ; [15 88],[ 74.89224953 351.10775047] ; [18.10775047 84.89224953],0
p5,1,0.393052,0.729478,[ 69 407] ; [12 94],[ 66.24742268 409.75257732] ; [14.75257732 91.24742268],0
b5,1,0.399898,0.708632,[286 192] ; [61 49],[282.08503401 195.91496599] ; [64.91496599 45.08503401],0
n2,1,0.447152,0.577861,[70 21] ; [29 12],[68.25 22.75] ; [30.75 10.25],0
u4,1,0.604913,0.267649,[ 13 465] ; [  4 106],[ 13.81972789 464.18027211] ; [  3.18027211 106.81972789],0
