Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,55.643758,[28 53] ; [238  68],[55.6744186 25.3255814] ; [210.3255814  95.6744186],1
p6,1,0.0,34.229765,[17 64] ; [175 129],[40.39480519 40.60519481] ; [151.60519481 152.39480519],1
p2,1,1.4e-05,18.921782,[62 19] ; [284  21],[72.60621762  8.39378238] ; [273.39378238  31.60621762],1
r3,1,0.001795,9.747871,[73  8] ; [296   7],[77.8359375  3.1640625] ; [291.1640625  11.8359375],0
v3,1,0.007613,7.122256,[26 50] ; [153 145],[36.37433155 39.62566845] ; [142.62566845 155.37433155],0
s7,1,0.009162,6.790888,[34 40] ; [181 108],[43.8292011 30.1707989] ; [171.1707989 117.8292011],0
r1,1,0.015747,5.830893,[59 21] ; [259  45],[66.25 13.75] ; [251.75  52.25],0
v2,1,0.021082,5.319974,[41 38] ; [196 101],[49.79521277 29.20478723] ; [187.20478723 109.79521277],0
a8,1,0.027138,4.882002,[ 4 70] ; [ 42 235],[ 9.6980057 64.3019943] ; [ 36.3019943 240.6980057],0
r4,1,0.055483,3.667507,[72  9] ; [290  16],[75.76744186  5.23255814] ; [286.23255814  19.76744186],0
s4,1,0.08493,2.967946,[ 9 71] ; [ 59 243],[14.2408377 65.7591623] ; [ 53.7591623 248.2408377],0
a2,1,0.085084,2.965016,[17 64] ; [ 94 212],[23.23255814 57.76744186] ; [ 87.76744186 218.23255814],0
p5,1,0.106416,2.606661,[10 69] ; [ 63 242],[15.01822917 63.98177083] ; [ 57.98177083 247.01822917],0
p11,1,0.111289,2.535822,[67 14] ; [273  33],[71.1627907  9.8372093] ; [268.8372093  37.1627907],0
v1,1,0.150295,2.069252,[42 34] ; [192 107],[47.424 28.576] ; [186.576 112.424],0
b4,1,0.161972,1.955719,[52 29] ; [170 136],[46.46511628 34.53488372] ; [175.53488372 130.46511628],0
s5,1,0.198848,1.650816,[27 48] ; [130 164],[31.91056911 43.08943089] ; [125.08943089 168.91056911],0
s8,1,0.217773,1.518984,[38 43] ; [166 138],[42.91948052 38.08051948] ; [161.08051948 142.91948052],0
p1,1,0.227741,1.454913,[14 67] ; [ 37 267],[10.72987013 70.27012987] ; [ 40.27012987 263.72987013],0
d3,1,0.232029,1.42838,[53 28] ; [221  85],[57.34883721 23.65116279] ; [216.65116279  89.34883721],0
a5,1,0.234648,1.412463,[62 19] ; [252  54],[65.72093023 15.27906977] ; [248.27906977  57.72093023],0
p4,1,0.256411,1.28803,[64 17] ; [258  48],[67.39534884 13.60465116] ; [254.60465116  51.39534884],0
a1,1,0.256435,1.287904,[ 3 78] ; [ 22 284],[ 5.23255814 75.76744186] ; [ 19.76744186 286.23255814],0
n1,1,0.25852,1.276668,[9 9] ; [13 25],[ 7.07142857 10.92857143] ; [14.92857143 23.07142857],0
p9,1,0.283306,1.151163,[77  4] ; [298   8],[78.48837209  2.51162791] ; [296.51162791   9.48837209],0
a3,1,0.382902,0.761365,[60 21] ; [239  65],[62.90649351 18.09350649] ; [236.09350649  67.90649351],0
n3,1,0.425482,0.635123,[13  5] ; [31  7],[14.14285714  3.85714286] ; [29.85714286  8.14285714],0
n2,1,0.446356,0.579889,[12  6] ; [29  9],[13.17857143  4.82142857] ; [27.82142857 10.17857143],0
r2,1,0.452329,0.564808,[79  2] ; [290  13],[77.8359375  3.1640625] ; [291.1640625  11.8359375],0
n4,1,0.453869,0.560972,[71 10] ; [258  48],[68.86046512 12.13953488] ; [260.13953488  45.86046512],0
u4,1,0.478081,0.503238,[ 3 78] ; [  7 298],[ 2.0984456 78.9015544] ; [  7.9015544 297.0984456],0
v4,1,0.481177,0.496195,[77  4] ; [294  10],[78.05454545  2.94545455] ; [292.94545455  11.05454545],0
b5,1,0.482564,0.493063,[48 33] ; [168 138],[45.20930233 35.79069767] ; [170.79069767 135.20930233],0
a4,1,0.498116,0.458947,[38 43] ; [156 149],[40.70984456 40.29015544] ; [153.29015544 151.70984456],0
d4,1,0.573812,0.316346,[67 14] ; [260  45],[68.61917098 12.38082902] ; [258.38082902  46.61917098],0
n5,1,0.583852,0.300049,[69 12] ; [252  53],[67.36010363 13.63989637] ; [253.63989637  51.36010363],0
d5,1,0.601968,0.272037,[68 13] ; [263  42],[69.45854922 11.54145078] ; [261.54145078  43.45854922],0
u3,1,0.648927,0.207255,[12  9] ; [42 25],[12.88636364  8.11363636] ; [41.11363636 25.88636364],0
u1,1,0.668309,0.183586,[18 63] ; [ 75 231],[19.46511628 61.53488372] ; [ 73.53488372 232.46511628],0
d2,1,0.671298,0.180087,[45 35] ; [164 142],[43.31606218 36.68393782] ; [165.68393782 140.31606218],0
b2,1,0.700571,0.147879,[19 30] ; [ 84 117],[20.188 28.812] ; [ 82.812 118.188],0
b3,1,0.700571,0.147879,[19 30] ; [ 84 117],[20.188 28.812] ; [ 82.812 118.188],0
n6,1,0.735012,0.114559,[72  9] ; [275  30],[72.81606218  8.18393782] ; [274.18393782  30.81606218],0
a6,1,0.754339,0.097921,[57 24] ; [220  85],[58.12694301 22.87305699] ; [218.87305699  86.12694301],0
p12,1,0.787588,0.0726,[11 70] ; [ 38 267],[10.28238342 70.71761658] ; [ 38.71761658 266.28238342],0
s6,1,0.806589,0.059941,[58 23] ; [216  80],[58.87002653 22.12997347] ; [215.12997347  80.87002653],0
s3,1,0.825186,0.048788,[49 32] ; [178 123],[48.13350785 32.86649215] ; [178.86649215 122.13350785],0
b1,1,0.859612,0.031282,[33 48] ; [128 178],[33.69767442 47.30232558] ; [127.30232558 178.69767442],0
a7,1,0.865863,0.028532,[59 22] ; [225  80],[59.59585492 21.40414508] ; [224.40414508  80.59585492],0
s1,1,0.914022,0.011657,[ 2 78] ; [  7 298],[ 1.87012987 78.12987013] ; [  7.12987013 297.87012987],0
s2,1,0.943601,0.005005,[45 36] ; [167 136],[44.71875 36.28125] ; [167.28125 135.71875],0
u2,1,0.953457,0.003407,[13  8] ; [41 26],[12.88636364  8.11363636] ; [41.11363636 25.88636364],0
d1,1,0.965837,0.001834,[53 28] ; [201 105],[53.1627907 27.8372093] ; [200.8372093 105.1627907],0
