Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,5.2e-05,16.367412,[103  25] ; [11 15],[94.75324675 33.24675325] ; [19.24675325  6.75324675],1
r3,1,0.000539,11.974297,[123   5] ; [20  6],[118.85714286   9.14285714] ; [24.14285714  1.85714286],1
n4,1,0.000673,11.561562,[104  24] ; [13 13],[97.24675325 30.75324675] ; [19.75324675  6.24675325],1
r4,1,0.002894,8.872987,[117  12] ; [18  8],[112.35483871  16.64516129] ; [22.64516129  3.35483871],0
p11,1,0.005459,7.720884,[99 30] ; [13 13],[93.21290323 35.78709677] ; [18.78709677  7.21290323],0
s7,1,0.026578,4.918025,[62 60] ; [ 7 19],[56.87837838 65.12162162] ; [12.12162162 13.87837838],0
p7,1,0.029295,4.750196,[61 60] ; [ 7 19],[55.97278912 65.02721088] ; [12.02721088 13.97278912],0
s5,1,0.038968,4.262246,[41 85] ; [ 3 22],[36.71523179 89.28476821] ; [ 7.28476821 17.71523179],0
v4,1,0.042116,4.130529,[123   6] ; [22  4],[120.67741935   8.32258065] ; [24.32258065  1.67741935],0
s8,1,0.044308,4.044785,[62 66] ; [ 7 19],[57.35064935 70.64935065] ; [11.64935065 14.35064935],0
s6,1,0.080178,3.061282,[85 40] ; [13 13],[81.12582781 43.87417219] ; [16.87417219  9.12582781],0
u1,1,0.097473,2.746417,[ 21 108] ; [ 1 25],[ 18.30967742 110.69032258] ; [ 3.69032258 22.30967742],0
a8,1,0.130025,2.292203,[19 96] ; [ 1 22],[16.66666667 98.33333333] ; [ 3.33333333 19.66666667],0
s3,1,0.141325,2.16347,[69 54] ; [10 15],[65.65540541 57.34459459] ; [13.34459459 11.65540541],0
p10,1,0.147166,2.10138,[95 31] ; [16 10],[92.01315789 33.98684211] ; [18.98684211  7.01315789],0
u3,1,0.1486,2.086568,[21 15] ; [2 5],[19.25581395 16.74418605] ; [3.74418605 3.25581395],0
a2,1,0.160223,1.972116,[31 98] ; [ 3 23],[ 28.29677419 100.70322581] ; [ 5.70322581 20.29677419],0
d2,1,0.16105,1.964342,[68 59] ; [10 16],[64.74509804 62.25490196] ; [13.25490196 12.74509804],0
s4,1,0.172194,1.86374,[ 17 111] ; [ 1 25],[ 14.96103896 113.03896104] ; [ 3.03896104 22.96103896],0
s2,1,0.172745,1.858955,[68 60] ; [10 16],[64.83116883 63.16883117] ; [13.16883117 12.83116883],0
r2,1,0.17851,1.809983,[121   6] ; [23  3],[119.52941176   7.47058824] ; [24.47058824  1.52941176],0
p2,1,0.180827,1.790811,[96 33] ; [16 10],[93.21290323 35.78709677] ; [18.78709677  7.21290323],0
p6,1,0.242416,1.366491,[33 93] ; [ 4 22],[30.67105263 95.32894737] ; [ 6.32894737 19.67105263],0
p1,1,0.247141,1.339394,[  7 122] ; [ 3 23],[  8.32258065 120.67741935] ; [ 1.67741935 24.32258065],0
s1,1,0.259201,1.273017,[  4 122] ; [ 2 23],[  5.00662252 120.99337748] ; [ 0.99337748 24.00662252],0
u2,1,0.311633,1.023742,[20 16] ; [6 2],[21.27272727 14.72727273] ; [4.72727273 3.27272727],0
d1,1,0.322792,0.977601,[78 51] ; [13 13],[75.73548387 53.26451613] ; [15.26451613 10.73548387],0
a1,1,0.333618,0.934802,[  8 121] ; [ 3 23],[  9.15483871 119.84516129] ; [ 1.84516129 24.15483871],0
b5,1,0.351753,0.867123,[82 47] ; [14 12],[79.89677419 49.10322581] ; [16.10322581  9.89677419],0
d4,1,0.355091,0.85518,[108  20] ; [20  6],[106.38961039  21.61038961] ; [21.61038961  4.38961039],0
v2,1,0.376548,0.781942,[97 30] ; [17  8],[95.25 31.75] ; [18.75  6.25],0
p8,1,0.378295,0.776236,[55 70] ; [ 9 17],[52.98013245 72.01986755] ; [11.01986755 14.98013245],0
r1,1,0.385988,0.751544,[104  25] ; [19  7],[102.36774194  26.63225806] ; [20.63225806  5.36774194],0
n3,1,0.398361,0.713268,[26 11] ; [5 4],[24.93478261 12.06521739] ; [6.06521739 2.93478261],0
p5,1,0.415214,0.663821,[ 11 118] ; [ 1 25],[  9.98709677 119.01290323] ; [ 2.01290323 23.98709677],0
a4,1,0.54233,0.371239,[58 71] ; [10 16],[56.59354839 72.40645161] ; [11.40645161 14.59354839],0
p12,1,0.547915,0.361066,[  9 119] ; [ 1 25],[  8.31168831 119.68831169] ; [ 1.68831169 24.31168831],0
d3,1,0.560318,0.339155,[92 37] ; [20  6],[93.21290323 35.78709677] ; [18.78709677  7.21290323],0
a5,1,0.572917,0.317827,[87 42] ; [19  7],[88.21935484 40.78064516] ; [17.78064516  8.21935484],0
b1,1,0.601671,0.272483,[38 91] ; [ 9 17],[39.11612903 89.88387097] ; [ 7.88387097 18.11612903],0
p4,1,0.608655,0.262138,[50 75] ; [ 9 17],[48.8410596 76.1589404] ; [10.1589404 15.8410596],0
v1,1,0.677747,0.172673,[74 53] ; [14 12],[73.04575163 53.95424837] ; [14.95424837 11.04575163],0
b4,1,0.686593,0.162799,[84 45] ; [18  8],[84.89032258 44.10967742] ; [17.10967742  8.89032258],0
n2,1,0.706299,0.142002,[27 10] ; [6 3],[26.54347826 10.45652174] ; [6.45652174 2.54347826],0
a6,1,0.742164,0.108234,[85 44] ; [18  8],[85.72258065 43.27741935] ; [17.27741935  8.72258065],0
a3,1,0.767762,0.087204,[93 36] ; [18  8],[92.38064516 36.61935484] ; [18.61935484  7.38064516],0
d5,1,0.778552,0.079077,[101  28] ; [21  5],[101.53548387  27.46451613] ; [20.46451613  5.53548387],0
n1,1,0.838993,0.041283,[10 25] ; [2 6],[ 9.76744186 25.23255814] ; [2.23255814 5.76744186],0
p9,1,0.884082,0.021257,[97 27] ; [20  6],[96.72 27.28] ; [20.28  5.72],0
a7,1,0.964976,0.001928,[93 35] ; [19  7],[93.09090909 34.90909091] ; [18.90909091  7.09090909],0
b2,1,0.98224,0.000496,[29 50] ; [4 7],[28.96666667 50.03333333] ; [4.03333333 6.96666667],0
b3,1,0.98224,0.000496,[29 50] ; [4 7],[28.96666667 50.03333333] ; [4.03333333 6.96666667],0
