Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.005516,7.701834,[ 6 10] ; [10  1],[9.48148148 6.51851852] ; [6.51851852 4.48148148],0
p8,1,0.014196,6.013636,[ 4 12] ; [8 3],[7.11111111 8.88888889] ; [4.88888889 6.11111111],0
b4,1,0.052539,3.758523,[13  3] ; [5 6],[10.66666667  5.33333333] ; [7.33333333 3.66666667],0
p10,1,0.079182,3.081613,[9 6] ; [10  1],[10.96153846  4.03846154] ; [8.03846154 2.96153846],0
p11,1,0.092521,2.829947,[8 8] ; [9 2],[10.07407407  5.92592593] ; [6.92592593 4.07407407],0
s6,1,0.096104,2.769034,[ 5 11] ; [7 4],[7.11111111 8.88888889] ; [4.88888889 6.11111111],0
u2,1,0.136844,2.213095,[2 3] ; [5 1],[3.18181818 1.81818182] ; [3.81818182 2.18181818],0
a3,1,0.148856,2.083939,[11  4] ; [5 6],[9.23076923 5.76923077] ; [6.76923077 4.23076923],0
d5,1,0.16612,1.917614,[9 7] ; [9 2],[10.66666667  5.33333333] ; [7.33333333 3.66666667],0
a8,1,0.172946,1.85722,[ 1 13] ; [3 8],[ 2.24 11.76] ; [1.76 9.24],0
v3,1,0.267938,1.227273,[ 4 12] ; [5 6],[ 5.33333333 10.66666667] ; [3.66666667 7.33333333],0
n6,1,0.279426,1.169881,[10  5] ; [5 6],[8.65384615 6.34615385] ; [6.34615385 4.65384615],0
p6,1,0.304807,1.053044,[ 3 13] ; [4 7],[ 4.14814815 11.85185185] ; [2.85185185 8.14814815],0
d3,1,0.309558,1.032561,[7 9] ; [7 4],[8.2962963 7.7037037] ; [5.7037037 5.2962963],0
p9,1,0.315266,1.008485,[8 7] ; [8 3],[9.23076923 5.76923077] ; [6.76923077 4.23076923],0
s5,1,0.331567,0.942769,[ 2 14] ; [3 8],[ 2.96296296 13.03703704] ; [2.03703704 8.96296296],0
s4,1,0.332373,0.939631,[ 1 15] ; [2 9],[ 1.77777778 14.22222222] ; [1.22222222 9.77777778],0
u3,1,0.376462,0.782222,[2 3] ; [4 2],[2.72727273 2.27272727] ; [3.27272727 2.72727273],0
a4,1,0.383666,0.758924,[7 9] ; [3 8],[ 5.92592593 10.07407407] ; [4.07407407 6.92592593],0
b1,1,0.383666,0.758924,[9 7] ; [8 3],[10.07407407  5.92592593] ; [6.92592593 4.07407407],0
b3,1,0.438578,0.6,[4 6] ; [1 4],[3.33333333 6.66666667] ; [1.66666667 3.33333333],0
b2,1,0.438578,0.6,[4 6] ; [1 4],[3.33333333 6.66666667] ; [1.66666667 3.33333333],0
a6,1,0.452651,0.564004,[ 5 11] ; [5 6],[ 5.92592593 10.07407407] ; [4.07407407 6.92592593],0
a7,1,0.483522,0.490909,[8 8] ; [7 4],[8.88888889 7.11111111] ; [6.11111111 4.88888889],0
b5,1,0.483522,0.490909,[8 8] ; [7 4],[8.88888889 7.11111111] ; [6.11111111 4.88888889],0
d2,1,0.52518,0.403708,[ 4 12] ; [4 7],[ 4.74074074 11.25925926] ; [3.25925926 7.74074074],0
p3,1,0.52518,0.403708,[ 4 12] ; [4 7],[ 4.74074074 11.25925926] ; [3.25925926 7.74074074],0
v2,1,0.530236,0.393939,[ 6 10] ; [5 5],[6.76923077 9.23076923] ; [4.23076923 5.76923077],0
v1,1,0.579639,0.306818,[ 6 10] ; [3 8],[ 5.33333333 10.66666667] ; [3.66666667 7.33333333],0
s2,1,0.61193,0.257374,[ 4 11] ; [2 9],[ 3.46153846 11.53846154] ; [2.53846154 8.46153846],0
s8,1,0.679365,0.170842,[ 6 10] ; [5 6],[6.51851852 9.48148148] ; [4.48148148 6.51851852],0
n4,1,0.679365,0.170842,[10  6] ; [6 5],[9.48148148 6.51851852] ; [6.51851852 4.48148148],0
n5,1,0.679365,0.170842,[10  6] ; [6 5],[9.48148148 6.51851852] ; [6.51851852 4.48148148],0
a5,1,0.701122,0.147308,[9 7] ; [7 4],[9.48148148 6.51851852] ; [6.51851852 4.48148148],0
s1,1,0.781814,0.076705,[ 2 14] ; [ 1 10],[ 1.77777778 14.22222222] ; [1.22222222 9.77777778],0
s7,1,0.794625,0.067761,[7 7] ; [4 5],[6.69565217 7.30434783] ; [4.30434783 4.69565217],0
p4,1,0.816334,0.053946,[8 8] ; [6 5],[8.2962963 7.7037037] ; [5.7037037 5.2962963],0
d1,1,0.824016,0.049454,[ 5 11] ; [3 8],[ 4.74074074 11.25925926] ; [3.25925926 7.74074074],0
n3,1,0.886508,0.02037,[4 5] ; [1 1],[4.09090909 4.90909091] ; [0.90909091 1.09090909],0
p2,1,0.89466,0.017532,[12  4] ; [8 3],[11.85185185  4.14814815] ; [8.14814815 2.85185185],0
d4,1,0.89466,0.017532,[12  4] ; [8 3],[11.85185185  4.14814815] ; [8.14814815 2.85185185],0
p5,1,0.97021,0.001395,[ 3 13] ; [2 9],[ 2.96296296 13.03703704] ; [2.03703704 8.96296296],0
s3,1,0.972542,0.001185,[ 4 11] ; [3 8],[ 4.03846154 10.96153846] ; [2.96153846 8.03846154],0
