Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,1.7e-05,18.541714,[69 11] ; [ 6 10],[62.5 17.5] ; [12.5  3.5],1
d2,1,0.001186,10.511374,[44 36] ; [ 2 15],[37.93814433 42.06185567] ; [8.06185567 8.93814433],0
a4,1,0.010791,6.499412,[36 44] ; [ 2 15],[31.34020619 48.65979381] ; [ 6.65979381 10.34020619],0
v2,1,0.042542,4.113491,[38 37] ; [ 4 13],[34.23913043 40.76086957] ; [7.76086957 9.23913043],0
p8,1,0.060071,3.535415,[19 59] ; [8 9],[22.16842105 55.83157895] ; [ 4.83157895 12.16842105],0
p7,1,0.07374,3.197738,[28 51] ; [10  7],[31.27083333 47.72916667] ; [ 6.72916667 10.27083333],0
d3,1,0.076309,3.141818,[58 22] ; [8 8],[55. 25.] ; [11.  5.],0
b4,1,0.084728,2.971782,[51 29] ; [ 7 10],[47.83505155 32.16494845] ; [10.16494845  6.83505155],0
r1,1,0.088705,2.897726,[55 25] ; [8 9],[51.95876289 28.04123711] ; [11.04123711  5.95876289],0
a3,1,0.09215,2.836408,[50 29] ; [ 7 10],[46.90625 32.09375] ; [10.09375  6.90625],0
s6,1,0.114107,2.496397,[44 34] ; [ 6 11],[41.05263158 36.94736842] ; [8.94736842 8.05263158],0
n6,1,0.1522,2.050065,[36 43] ; [11  6],[38.67708333 40.32291667] ; [8.32291667 8.67708333],0
p2,1,0.188952,1.725774,[42 37] ; [12  5],[44.4375 34.5625] ; [9.5625 7.4375],0
p4,1,0.191613,1.705168,[28 50] ; [9 8],[30.37894737 47.62105263] ; [ 6.62105263 10.37894737],0
p10,1,0.21913,1.510057,[37 40] ; [ 5 11],[34.77419355 42.22580645] ; [7.22580645 8.77419355],0
u2,1,0.258116,1.278832,[17 11] ; [4 6],[15.47368421 12.52631579] ; [5.52631579 4.47368421],0
s4,1,0.260993,1.263482,[25 55] ; [ 3 14],[23.09278351 56.90721649] ; [ 4.90721649 12.09278351],0
a5,1,0.280383,1.165233,[49 31] ; [8 9],[47.01030928 32.98969072] ; [9.98969072 7.01030928],0
v3,1,0.309508,1.032775,[23 50] ; [ 3 13],[21.3258427 51.6741573] ; [ 4.6741573 11.3258427],0
v1,1,0.328242,0.955822,[28 50] ; [ 4 13],[26.27368421 51.72631579] ; [ 5.72631579 11.27368421],0
p6,1,0.33789,0.918419,[17 60] ; [ 2 15],[15.56382979 61.43617021] ; [ 3.43617021 13.56382979],0
s2,1,0.358599,0.842792,[38 42] ; [ 6 11],[36.28865979 43.71134021] ; [7.71134021 9.28865979],0
a6,1,0.376965,0.780576,[47 33] ; [8 9],[45.36082474 34.63917526] ; [9.63917526 7.36082474],0
n3,1,0.426763,0.631616,[23 10] ; [2 2],[22.2972973 10.7027027] ; [2.7027027 1.2972973],0
p1,1,0.434247,0.611439,[ 5 74] ; [ 2 15],[ 5.76041667 73.23958333] ; [ 1.23958333 15.76041667],0
b1,1,0.450592,0.569163,[39 41] ; [10  7],[40.41237113 39.58762887] ; [8.58762887 8.41237113],0
r4,1,0.467386,0.528149,[54 26] ; [13  4],[55.25773196 24.74226804] ; [11.74226804  5.25773196],0
s1,1,0.561576,0.336984,[ 6 74] ; [ 2 15],[ 6.59793814 73.40206186] ; [ 1.40206186 15.59793814],0
s7,1,0.563566,0.333568,[23 48] ; [ 4 12],[22.03448276 48.96551724] ; [ 4.96551724 11.03448276],0
p9,1,0.582237,0.302632,[39 37] ; [7 9],[38. 38.] ; [8. 8.],0
u3,1,0.586682,0.295556,[14 14] ; [6 4],[14.73684211 13.26315789] ; [5.26315789 4.73684211],0
r2,1,0.628935,0.233507,[66 13] ; [15  2],[66.65625 12.34375] ; [14.34375  2.65625],0
r3,1,0.730305,0.118832,[68 12] ; [15  2],[68.45360825 11.54639175] ; [14.54639175  2.45360825],0
b5,1,0.789929,0.07097,[49 31] ; [11  6],[49.48453608 30.51546392] ; [10.51546392  6.48453608],0
n2,1,0.819187,0.052254,[18 15] ; [3 2],[18.23684211 14.76315789] ; [2.76315789 2.23684211],0
b2,1,0.848006,0.036735,[ 8 27] ; [2 8],[ 7.77777778 27.22222222] ; [2.22222222 7.77777778],0
b3,1,0.848006,0.036735,[ 8 27] ; [2 8],[ 7.77777778 27.22222222] ; [2.22222222 7.77777778],0
v4,1,0.887909,0.019867,[67 13] ; [14  3],[66.80412371 13.19587629] ; [14.19587629  2.80412371],0
s8,1,0.947169,0.004391,[18 61] ; [ 4 13],[18.10416667 60.89583333] ; [ 3.89583333 13.10416667],0
n4,1,0.956391,0.00299,[23 57] ; [ 5 12],[23.09278351 56.90721649] ; [ 4.90721649 12.09278351],0
p3,1,0.962498,0.002211,[28 50] ; [ 6 11],[27.91578947 50.08421053] ; [ 6.08421053 10.91578947],0
s3,1,0.977491,0.000796,[37 41] ; [8 9],[36.94736842 41.05263158] ; [8.05263158 8.94736842],0
a7,1,1.0,0.0,[55 25] ; [11  5],[55. 25.] ; [11.  5.],0
