Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,4e-06,21.405405,[4 7] ; [70  7],[9.25 1.75] ; [64.75 12.25],1
v4,1,0.000411,12.482375,[6 5] ; [71  6],[9.625 1.375] ; [67.375  9.625],1
p4,1,0.011289,6.41929,[4 7] ; [57 20],[7.625 3.375] ; [53.375 23.625],0
r2,1,0.011363,6.407659,[8 3] ; [73  4],[10.125  0.875] ; [70.875  6.125],0
r1,1,0.029913,4.714286,[5 6] ; [59 18],[8. 3.] ; [56. 21.],0
n6,1,0.034926,4.448798,[5 6] ; [57 18],[7.93023256 3.06976744] ; [54.06976744 20.93023256],0
s6,1,0.037746,4.31642,[5 6] ; [56 18],[7.89411765 3.10588235] ; [53.10588235 20.89411765],0
p6,1,0.057267,3.614827,[2 9] ; [37 39],[4.93103448 6.06896552] ; [34.06896552 41.93103448],0
s7,1,0.057518,3.607547,[2 7] ; [38 30],[4.67532468 4.32467532] ; [35.32467532 32.67532468],0
p2,1,0.072499,3.225505,[6 5] ; [61 16],[8.375 2.625] ; [58.625 18.375],0
s8,1,0.080544,3.053888,[2 9] ; [35 41],[4.67816092 6.32183908] ; [32.32183908 43.67816092],0
d5,1,0.094638,2.793651,[7 4] ; [65 12],[9. 2.] ; [63. 14.],0
v2,1,0.106456,2.606061,[3 8] ; [40 35],[5.5 5.5] ; [37.5 37.5],0
p1,1,0.165395,1.924199,[3 8] ; [ 9 67],[1.51724138 9.48275862] ; [10.48275862 65.51724138],0
a6,1,0.167947,1.901174,[4 7] ; [45 32],[6.125 4.875] ; [42.875 34.125],0
a2,1,0.219139,1.510001,[ 1 10] ; [20 57],[2.625 8.375] ; [18.375 58.625],0
n5,1,0.275555,1.188882,[5 6] ; [47 28],[6.65116279 4.34883721] ; [45.34883721 29.65116279],0
a3,1,0.287534,1.13113,[9 2] ; [50 26],[7.45977011 3.54022989] ; [51.54022989 24.45977011],0
a5,1,0.299246,1.077551,[6 5] ; [54 23],[7.5 3.5] ; [52.5 24.5],0
a7,1,0.299246,1.077551,[6 5] ; [54 23],[7.5 3.5] ; [52.5 24.5],0
b3,1,0.428014,0.628205,[1 6] ; [12 30],[1.85714286 5.14285714] ; [11.14285714 30.85714286],0
b2,1,0.428014,0.628205,[1 6] ; [12 30],[1.85714286 5.14285714] ; [11.14285714 30.85714286],0
s1,1,0.446478,0.579578,[ 1 10] ; [ 3 73],[ 0.50574713 10.49425287] ; [ 3.49425287 72.50574713],0
u1,1,0.453232,0.562557,[ 1 10] ; [14 63],[1.875 9.125] ; [13.125 63.875],0
d4,1,0.453232,0.562557,[10  1] ; [63 14],[9.125 1.875] ; [63.875 13.125],0
n3,1,0.464069,0.536062,[2 1] ; [16  3],[2.45454545 0.54545455] ; [15.54545455  3.45454545],0
a4,1,0.517413,0.419048,[4 7] ; [36 41],[5. 6.] ; [35. 42.],0
s2,1,0.541805,0.372206,[5 6] ; [42 34],[5.94252874 5.05747126] ; [41.05747126 34.94252874],0
p7,1,0.560179,0.339394,[6 5] ; [49 28],[6.875 4.125] ; [48.125 28.875],0
p12,1,0.601571,0.272633,[ 1 10] ; [ 4 73],[ 0.625 10.375] ; [ 4.375 72.625],0
p8,1,0.625512,0.238195,[4 7] ; [34 43],[4.75 6.25] ; [33.25 43.75],0
n2,1,0.637144,0.222497,[2 1] ; [15  4],[2.31818182 0.68181818] ; [14.68181818  4.31818182],0
v1,1,0.656159,0.198223,[5 6] ; [40 36],[5.68965517 5.31034483] ; [39.31034483 36.68965517],0
s4,1,0.685198,0.164333,[2 9] ; [18 58],[2.52873563 8.47126437] ; [17.47126437 58.52873563],0
b5,1,0.72933,0.119728,[7 4] ; [53 24],[7.5 3.5] ; [52.5 24.5],0
a8,1,0.795671,0.067057,[ 1 10] ; [ 8 60],[1.25316456 9.74683544] ; [ 7.74683544 60.25316456],0
p5,1,0.799567,0.064469,[ 1 10] ; [ 9 68],[1.25 9.75] ; [ 8.75 68.25],0
b1,1,0.804933,0.060993,[7 4] ; [46 31],[6.625 4.375] ; [46.375 30.625],0
b4,1,0.804933,0.060993,[7 4] ; [46 31],[6.625 4.375] ; [46.375 30.625],0
n4,1,0.839519,0.04101,[8 3] ; [53 23],[7.71264368 3.28735632] ; [53.28735632 22.71264368],0
d3,1,0.859807,0.031195,[8 3] ; [54 23],[7.75 3.25] ; [54.25 22.75],0
d1,1,0.868554,0.027389,[7 4] ; [47 30],[6.75 4.25] ; [47.25 29.75],0
p10,1,0.905393,0.014126,[6 5] ; [40 36],[5.81609195 5.18390805] ; [40.18390805 35.81609195],0
d2,1,0.935356,0.006578,[6 5] ; [43 34],[6.125 4.875] ; [42.875 34.125],0
p9,1,0.956778,0.002937,[7 4] ; [49 27],[7.08045977 3.91954023] ; [48.91954023 27.08045977],0
s5,1,0.960321,0.002475,[4 7] ; [26 44],[4.07407407 6.92592593] ; [25.92592593 44.07407407],0
v3,1,0.987045,0.000264,[4 7] ; [26 46],[3.97590361 7.02409639] ; [26.02409639 45.97590361],0
s3,1,1.0,0.0,[6 5] ; [42 35],[6. 5.] ; [42. 35.],0
